CODI_DIVISIO_TERRITORIAL;CODI_NIVELL_ACADEMIC;NRE_HOMES;NRE_DONES
D-01;1;249;227
D-01;11;167;177
D-01;21;108;143
D-01;22;332;394
D-01;31;379;321
D-01;32;140;103
D-01;41;157;133
D-01;42;302;291
D-01;43;21;20
D-01;44;89;195
D-01;45;52;11
D-01;46;235;277
D-01;47;13;6
D-01;48;33;62
D-01;99;2;0
D-02;1;426;401
D-02;11;339;369
D-02;21;232;315
D-02;22;751;790
D-02;31;687;637
D-02;32;261;211
D-02;41;246;215
D-02;42;465;498
D-02;43;33;31
D-02;44;114;302
D-02;45;67;11
D-02;46;311;331
D-02;47;19;11
D-02;48;31;63
D-03;1;146;162
D-03;11;49;54
D-03;21;40;63
D-03;22;146;116
D-03;31;180;153
D-03;32;45;29
D-03;41;53;48
D-03;42;118;128
D-03;43;4;11
D-03;44;30;50
D-03;45;8;4
D-03;46;69;86
D-03;47;4;7
D-03;48;14;23
D-03;99;2;0
D-04;1;314;271
D-04;11;319;336
D-04;21;350;516
D-04;22;1131;1131
D-04;31;742;694
D-04;32;250;184
D-04;41;193;197
D-04;42;352;353
D-04;43;15;21
D-04;44;57;143
D-04;45;31;9
D-04;46;115;160
D-04;47;7;12
D-04;48;15;15
D-04;99;4;1
D-05;1;115;133
D-05;11;140;152
D-05;21;154;230
D-05;22;491;506
D-05;31;362;348
D-05;32;112;99
D-05;41;100;107
D-05;42;158;161
D-05;43;6;8
D-05;44;29;75
D-05;45;18;5
D-05;46;68;83
D-05;47;4;5
D-05;48;8;16
D-06;1;208;148
D-06;11;199;171
D-06;21;201;275
D-06;22;615;594
D-06;31;397;333
D-06;32;122;99
D-06;41;111;89
D-06;42;167;176
D-06;43;11;11
D-06;44;26;67
D-06;45;14;3
D-06;46;50;64
D-06;47;7;3
D-06;48;3;7
D-06;99;0;1
D-07;1;131;110
D-07;11;76;70
D-07;21;19;40
D-07;22;31;32
D-07;31;77;59
D-07;32;18;17
D-07;41;19;20
D-07;42;71;71
D-07;43;1;6
D-07;44;15;24
D-07;45;8;7
D-07;46;56;59
D-07;47;4;2
D-07;48;9;11
D-07;99;1;0
