CODI_DIVISIO_TERRITORIAL;TIPOLOGIA;RESULTAT
S-02008   ;Vots candidatures;575
S-05001   ;Vots candidatures;333
S-02001   ;Vots candidatures;683
S-02004   ;Vots candidatures;278
S-07002   ;Vots candidatures;774
S-01001   ;Vots candidatures;749
S-01004   ;Vots candidatures;826
S-02005   ;Vots candidatures;596
S-04004   ;Vots candidatures;570
S-06002   ;Vots candidatures;270
S-06004   ;Vots candidatures;461
S-04001   ;Vots candidatures;480
S-01002   ;Vots candidatures;576
S-03003   ;Vots candidatures;738
S-06001   ;Vots candidatures;530
S-07001   ;Vots candidatures;712
S-01003   ;Vots candidatures;568
S-02002   ;Vots candidatures;274
S-02003   ;Vots candidatures;381
S-02007   ;Vots candidatures;598
S-04002   ;Vots candidatures;333
S-03002   ;Vots candidatures;500
S-02006   ;Vots candidatures;573
S-03001   ;Vots candidatures;553
S-03004   ;Vots candidatures;762
S-03005   ;Vots candidatures;663
S-04003   ;Vots candidatures;331
S-05002   ;Vots candidatures;265
S-06003   ;Vots candidatures;268
S-07003   ;Vots candidatures;421
S-02008   ;Abstencio;691
S-05001   ;Abstencio;486
S-02001   ;Abstencio;691
S-02004   ;Abstencio;232
S-07002   ;Abstencio;728
S-01001   ;Abstencio;513
S-01004   ;Abstencio;704
S-02005   ;Abstencio;505
S-04004   ;Abstencio;634
S-06002   ;Abstencio;344
S-06004   ;Abstencio;519
S-04001   ;Abstencio;605
S-01002   ;Abstencio;371
S-03003   ;Abstencio;581
S-06001   ;Abstencio;855
S-07001   ;Abstencio;679
S-01003   ;Abstencio;460
S-02002   ;Abstencio;231
S-02003   ;Abstencio;635
S-02007   ;Abstencio;609
S-04002   ;Abstencio;491
S-03002   ;Abstencio;599
S-02006   ;Abstencio;741
S-03001   ;Abstencio;695
S-03004   ;Abstencio;674
S-03005   ;Abstencio;624
S-04003   ;Abstencio;428
S-05002   ;Abstencio;409
S-06003   ;Abstencio;405
S-07003   ;Abstencio;403
S-02008   ;Vots blancs;12
S-05001   ;Vots blancs;5
S-02001   ;Vots blancs;26
S-02004   ;Vots blancs;1
S-07002   ;Vots blancs;21
S-01001   ;Vots blancs;11
S-01004   ;Vots blancs;23
S-02005   ;Vots blancs;10
S-04004   ;Vots blancs;14
S-06002   ;Vots blancs;7
S-06004   ;Vots blancs;15
S-04001   ;Vots blancs;14
S-01002   ;Vots blancs;11
S-03003   ;Vots blancs;16
S-06001   ;Vots blancs;18
S-07001   ;Vots blancs;13
S-01003   ;Vots blancs;20
S-02002   ;Vots blancs;6
S-02003   ;Vots blancs;6
S-02007   ;Vots blancs;14
S-04002   ;Vots blancs;9
S-03002   ;Vots blancs;9
S-02006   ;Vots blancs;25
S-03001   ;Vots blancs;19
S-03004   ;Vots blancs;13
S-03005   ;Vots blancs;11
S-04003   ;Vots blancs;8
S-05002   ;Vots blancs;4
S-06003   ;Vots blancs;5
S-07003   ;Vots blancs;7
S-02008   ;Vots nuls;7
S-05001   ;Vots nuls;2
S-02001   ;Vots nuls;9
S-02004   ;Vots nuls;4
S-07002   ;Vots nuls;6
S-01001   ;Vots nuls;4
S-01004   ;Vots nuls;5
S-02005   ;Vots nuls;4
S-04004   ;Vots nuls;4
S-06002   ;Vots nuls;3
S-06004   ;Vots nuls;7
S-04001   ;Vots nuls;6
S-01002   ;Vots nuls;3
S-03003   ;Vots nuls;5
S-06001   ;Vots nuls;7
S-07001   ;Vots nuls;6
S-01003   ;Vots nuls;11
S-02002   ;Vots nuls;0
S-02003   ;Vots nuls;7
S-02007   ;Vots nuls;2
S-04002   ;Vots nuls;7
S-03002   ;Vots nuls;10
S-02006   ;Vots nuls;10
S-03001   ;Vots nuls;4
S-03004   ;Vots nuls;1
S-03005   ;Vots nuls;5
S-04003   ;Vots nuls;6
S-05002   ;Vots nuls;1
S-06003   ;Vots nuls;9
S-07003   ;Vots nuls;2
