ID_PARTIDA;DESCRIPCIO;ANY_PRESSUPOST;CAPITOL;ARTICLE;NOM_ARTICLE;CONCEPTE;NOM_CONCEPTE;CODI_ECONOMIC;CODI_PROGRAMA;CODI_ORGANIC;CREDIT_INICIAL;CREDIT_ACTUAL;A;D;O;P;RP;SALDO;MODIFICACIO
15     132  21300   ;MAQ.INST.I UTILL-SEGURETAT                        ;2015;2;;;;;21300  ;132  ;;11625;11625;9898,98;9898,98;9898,98;;;0;0
15     241  21300   ;MAQ.INST.I UTILL-PROM.OCUPAC.                     ;2015;2;;;;;21300  ;241  ;;7000;7000;5200,63;2960,7;1516,84;;;0;0
15     9260122204   ;COMUNIC.INFORMAT-INFORMATICA                      ;2015;2;;;;;22204  ;92601;;26000;26000;25066,36;25066,36;25066,36;;;0;0
15     132  22101   ;AIGUA - SEGURETAT                                 ;2015;2;;;;;22101  ;132  ;;1800;1800;1537,16;1537,16;1537,16;;;0;0
15     150  12101   ;COMPLEMENT ESPECÍFIC URBANISME                    ;2015;1;;;;;12101  ;150  ;;351607;344607;338967,4;338967,4;338967,4;;;-7000;-7000
15     150  12103   ;ALTRES COMPLEMENTS URBANISME                      ;2015;1;;;;;12103  ;150  ;;10037;3037;8694,53;8694,53;8694,53;;;-7000;-7000
15     1531012000   ;RETRIBUCIONS BÀSIQUES GRUP A1 MOBILITAT           ;2015;1;;;;;12000  ;15310;;0;0;11650,61;11650,61;11650,61;;;0;0
15     2320122706   ;EST.I TREB.TECNICS-PROGRAMA DONA                  ;2015;2;;;;;22706  ;23201;;35000;35000;29984,96;29984,96;26696,06;;;0;0
15     2320413000   ;RETRIBUCIONS BÀSIQUES LABORALS SERVEIS PERSONALS  ;2015;1;;;;;13000  ;23204;;116594;102217,01;99867,43;99867,43;99867,43;;;-14376,99;-14376,99
15     241  12100   ;COMPLEMENT DESTÍ FORMACIÓ I OCUPACIÓ              ;2015;1;;;;;12100  ;241  ;;6627;56247,14;62318,3;62318,3;57988,24;;;49620,14;49620,14
15     313  13000   ;RETRIBUCIONS BÀSIQUES LABORALS SALUT PÚBLICA      ;2015;1;;;;;13000  ;313  ;;17118;17677,57;17677,55;17677,55;17677,55;;;559,57;559,57
15     320  13000   ;RETRIBUCIONS BÀSIQUES LABORALS ENSENYAMENT        ;2015;1;;;;;13000  ;320  ;;40213;42727,63;39322,72;39322,72;39322,72;;;2514,63;2514,63
15     3230113002   ;ALTRES RETRIBUCIONS LABORALS CENTRES 0-3          ;2015;1;;;;;13002  ;32301;;551474;527744;502220,81;502220,81;502220,81;;;-23730;-23730
15     330  22706   ;ESTUDIS I TREB.TÈCNICS- ADM.GRAL CULTURA          ;2015;2;;;;;22706  ;330  ;;80500;70157,94;71552,62;71552,62;68018,55;;;-10342,06;-10342,06
15     340  12100   ;COMPLEMENT DESTÍ ESPORTS                          ;2015;1;;;;;12100  ;340  ;;4122;4122;5238,87;5238,87;5238,87;;;0;0
15     9120010000   ;ALTS CARRECS - RETRIBUCIONS OG                    ;2015;1;;;;;10000  ;91200;;443834;434734;443013,96;443013,96;443013,96;;;-9100;-9100
15     9120012103   ;ALTRES COMPLEMENTS ÒRGANS DE GOVERN               ;2015;1;;;;;12103  ;91200;;26313;4574,83;4029,06;4029,06;4029,06;;;-21738,17;-21738,17
15     920  12006   ;TRIENIS SERVEIS GENERALS                          ;2015;1;;;;;12006  ;920  ;;67582;67582;67301,65;67301,65;67301,65;;;0;0
15     920  12100   ;COMPLEMENT DESTÍ SERVEIS GENERALS                 ;2015;1;;;;;12100  ;920  ;;107793;107793;107462,31;107462,31;107462,31;;;0;0
15     920  13101   ;LABORAL EVENTUAL SUBS.- ADM.GENERAL               ;2015;1;;;;;13101  ;920  ;;84894;84894;44841,72;44841,72;44841,72;;;0;0
15     920  15000   ;PRODUCTIVITAT                                     ;2015;1;;;;;15000  ;920  ;;0;128955;135886,37;135886,37;135886,37;;;128955;128955
15     920  15101   ;PLUSOS I ALTRES - ADM.GENERAL                     ;2015;1;;;;;15101  ;920  ;;220000;254000;260912,84;260912,84;260912,84;;;34000;34000
15     920  20500   ;MOBILIARI I ESTRIS - ADM.GRAL.                    ;2015;2;;;;;20500  ;920  ;;84216;84216;83523,81;83523,81;63162;;;0;0
15     9260112001   ;RETRIBUCIONS BÀSIQUES GRUP A2 SISTEMES D INFORMACI;2015;1;;;;;12001  ;92601;;12907;13621,31;13620,83;13620,83;13620,83;;;714,31;714,31
15     9260112101   ;COMPLEMENT ESPECÍFIC SISTEMES D INFORMACIÓ        ;2015;1;;;;;12101  ;92601;;129426;129426;138014,14;138014,14;138014,14;;;0;0
15     9260112103   ;ALTRES COMPLEMENTS SISTEMES D INFORMACIÓ          ;2015;1;;;;;12103  ;92601;;24489;16189;16157,82;16157,82;16157,82;;;-8300;-8300
15     931  12100   ;COMPLEMENT DESTÍ SERVEIS ECONÒMICS                ;2015;1;;;;;12100  ;931  ;;64347;64347;48612,95;48612,95;48612,95;;;0;0
15     942  46400   ;TRANSF. AREA METROPOLITANA                        ;2015;4;;;;;46400  ;942  ;;1705366;1721331;1723128,74;1723128,74;1712868;;;15965;15965
15     151  22001   ;PREMSA I PUB.-URB.I ARQ.                          ;2015;2;;;;;22001  ;151  ;;400;400;107;107;107;;;0;0
15     231  22001   ;PREMSA I PUB.-ACCIO SOCIAL                        ;2015;2;;;;;22001  ;231  ;;2300;2300;1765;1765;1765;;;0;0
15     2320322609   ;FESTES POPULARS - SOLIDARITAT I COOPERACIO        ;2015;2;;;;;22609  ;23203;;1000;1000;225,03;225,03;225,03;;;0;0
15     241  22699   ;ALTRES DESP.ESP.SERV.-PROM.OC.                    ;2015;2;;;;;22699  ;241  ;;500;4724;5559,89;5559,89;5559,89;;;4224;4224
15     333  22706   ;EST.I TREB.TECNICS-CIUTAT DE LES ROSES            ;2015;2;;;;;22706  ;333  ;;51100;35675,72;35675,67;35675,67;35675,67;;;-15424,28;-15424,28
15     3340122300   ;TRANSPORTS-JOVENTUT                               ;2015;2;;;;;22300  ;33401;;2000;2000;1049,87;1049,87;1049,87;;;0;0
15     920  21200   ;EDIF.I ALTR.CONST-ADM.GENERAL                     ;2015;2;;;;;21200  ;920  ;;9000;9000;11501,72;11296,22;11296,22;;;0;0
