EXPEDIENTE;ASUNTO;Nº INVITADOS;Nº LICITADORES;FECHA ADJUDICACIÓN;PRECIO;EMPRESA
2015/CONASO0001;CONTRATACIÓN DE UNA CENA PARA 130 COMENSALES A FIN DE DIFUNDIR LOS PRODUCTOS Y LA COCINA ALAVESA;1;1;02/01/2015;6.500,00;BIDEA JANBIDE S.L.
2015/CONASO0038;APROBACION-ADJUDICACION CONTRATO MENOR TALLER DE ARREGLOS DE ROPA EN LOCALES DE BIDELAN - 07/01 AL 30/09/15;1;1;02/01/2015;6.240,00;INSTITUO DE REINTEGRACION SOCIAL-IRSE
2015/CONASO0040;APROBACION-ADJUDICACION TALLER COSTURA EN LOS LOCALES DE BIDELAN DEL 07/01/15 AL 30/09/15;1;1;02/01/2015;6.240,00;INSTITUO DE REINTEGRACION SOCIAL-IRSE
2014/CONAEI0421;SERVICIO PARA EL DISEÑO Y EJECUCIÓN DE UNA EXPOSICIÓN DIVULGATIVA EN RELACIÓN CON EL JARDÍN BOTÁNICO DE OLÁRIZU.;3;2;08/01/2015;11.856,79;GALEMYS, S.L.
2015/CONOOR0001;TRABAJOS DE INSTALACION DE CLIMATIZACION EN VARIOS ESPACIOS DE PLANTA PRIMERA Y EN PLANTA BAJA EN LA NUEVA ESTACION DE AUTOBUSES;1;1;12/01/2015;25.161,56;VENTICLIMA, S.A.
2014/CONASP0437;"SERVICIO DE AFINACIÓN DE PIANOS PARA LA ESCUELA MUNICIPAL DE MÚSICA ""LUIS ARAMBURU""";3;2;16/01/2015;3.620,00;ENRIQUE ARZAMENDI BALERDI
2015/CONOOR0003;TRABAJOS DIVISION DE SALA DE REUNIONES Y ZONA DE CONDUCTORES EN PLANTA PRIMERA EN ESTACION DE AUTOBUSES;4;4;20/01/2015;11.934,26;ERTZ 4 CONSTRUCCIONES Y PROYECTOS S.L.
2015/CONASO0009;APROBACIÓN DEL GASTO Y ABONO DE FACTURAS POR REALIZACIÓN DE TRABAJOS EN RELACIÓN CON LA ALERTA ZOOSANITARIA DERIVADA DE UN BROTE DE BOTULISMO AVIAR;2;2;23/01/2015;13.540,63;SERVICIOS AGROFORESTALES EURIA S.L.
2015/CONASO0009;APROBACIÓN DEL GASTO Y ABONO DE FACTURAS POR REALIZACIÓN DE TRABAJOS EN RELACIÓN CON LA ALERTA ZOOSANITARIA DERIVADA DE UN BROTE DE BOTULISMO AVIAR;0;0;23/01/2015;1.616,86;PAGOA-CONSULTORES AMBIENTALES S.L.
2015/CONASP0010;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A MARKETING BERRIA SL POR DISTRIBUCIÓN DEL CALENDARIO DEL PUNTO VERDE MÓVIL, AÑO 2015;1;1;23/01/2015;3.593,70;MARKETING BERRIA DISTRIBUCIÓN DE PUBLICIDAD
2015/CONASO0011;REPARACIÓN BRAZO BRONTO F-44 RLX DEL SERVICIO DE EXTINCIÓN DE INCENDIOS;1;1;23/01/2015;14.154,91;INCIPRESA, S.A.
2015/CONASO0012;APROBACIÓN Y ABONO DE FACTURA A GALEA ELECTRIC SL POR INSTALACIÓN DE EQUIPO DE PROTECCIÓN ANTI-ROBO EN UN CUADRO DE ALUMBRADO;1;1;23/01/2015;3.617,90;GALEA ELECTRIC SL
2015/CONASO0013;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A EKOARGI POR TRABAJOS DE INSTALACIÓN DE ALUMBRADO EN LA FACHADA DEL PALACIO EUROPA;1;1;23/01/2015;12.876,82;EKOARGI INSTALACIONES ELECTRICAS
2014/CONASO0424;SERVICIO DE PELUQUERIA EN RESIDENCIAS AURORA, LOS ARQUILLOS Y LOS MOLINOS;1;1;27/01/2015;2.145,00;DIAZ PEREZ, Mª CARMEN
2015/CONOOR0004;TRABAJOS DE PINTURA, REPARACION DE SUELOS DE PVC Y COLOCACION DE MAMPARA EN EL PALACIO ETXANOBE;5;4;28/01/2015;14.344,47;CONSTRUCCIONES Y REFORMAS VILLAR S.C.
2014/CONOOR0176;OBRAS DE INFRAESTRUCTURA VERDE EN LAKUABIZKARRA (FASE III - SIEMBRAS);5;2;30/01/2015;36.654,77;PERICA, OBRAS Y SERVICIOS, SA
2015/CONASO0022;TRABAJO DE IMPRESIÓN DE LA PUBLICIDAD DEL PROGRAMA DE ACTIVIDADES DE LA RED DE BIBLIOTECAS (FEBRERO-MAYO 2015);3;3;30/01/2015;3.757,32;GRAFICAS DOSBI, S.L.
2015/CONSOC0006;SUMINISTRO Y ARRENDAMIENTO DE MÁQUINAS FOTOCOPIADORAS EN LA RED DE BIBLIOTECAS MUNICIPALES EN LOS CENTROS CÍVICOS, AÑO 2015;1;1;30/01/2015;4.995,32;DOCUCONSULT, S.L.
2015/CONASO0032;APOYO A LA ACTIVIDAD CONGRESUAL EN PALACIO EUROPA Y VILLA SUSO DURANTE EL MES DE FEBRERO DE 2015;1;1;02/02/2015;6.000,00;EULEN S.A.
2014/CONASO0438;FORMACIÓN EN EL ÁMBITO DE LA GESTIÓN EMPRESARIAL PARA EMPRESAS JÓVENES, EN EL MARCO DEL PIPAE 2015, COFINANCIADO AL 50% POR F.S.E. EMPRESA LOCAL 10;3;2;03/02/2015;10.368,00;ATTEST SERVICIOS EMPRESARIALES SL
2015/CONOOR0005;ACONDICIONAMIENTO DE LOCAL PARA OFICINA DE ATENCION AL CIUDADANO EN SAN ANTONIO 10;5;5;03/02/2015;34.409,01;EGAINOR ASESORES CONSTRUCTORES, S.L.
2015/CONASO0026;TALLER CONTROL DE EMOCIONES PARA PERSONA S EN RIESGO DE EXCLUSIÓN SOCIAL, CMAS PERIODO: 08/01/15- 29/09/15;1;1;04/02/2015;5.145,53;SIRIMIRI, SERVICIOS SOCIO-CULTURALES S.L .
2015/CONASO0027;TALLER BARRE EGITEN, CMAS PERIODO: 08/01/15 - 29/09/15;1;1;04/02/2015;5.145,53;SIRIMIRI, SERVICIOS SOCIO-CULTURALES S.L .
2015/CONASO0003;HABILIDADES DE FEED-BACK;3;3;05/02/2015;8.400,00;OLARTE DESARROLLO DE PERSONAS S.L.
2015/CONOOR0007;PINTURA DE ZONA DE LUMINARIAS DEL TECHO DEL POLIDEPORTIVO DEL CENTRO CIVICO LAKUA 03;5;4;10/02/2015;3.765,76;PINTURAS ATENA, S.A.
2015/CONOOR0008;SUSTITUCION DE TECHO DEL POLIDEPORTIVO DEL CENTRO CIVICO LAKUA 03;4;3;10/02/2015;43.725,53;CUBIERTAS OLI-CER, S.L.
