DISTRICTE,SECCIO,MESA,REC_LEIDOS,REC_NULOS,REC_BLANCOS,REC_CANDIDAT,CME_CENSO,PSC,PXC,CS,ERC,CIU,GSSP,CUP,GUANYEM,ICV_EUIA,UPYD,PP,GDG
01,01,A,344,2,7,335,612,92,11,51,44,30,28,23,3,8,1,40,4
01,01,B,392,0,8,384,707,103,7,61,55,25,40,20,8,8,0,44,13
01,02,A,334,3,5,326,565,69,7,31,74,54,25,12,5,10,1,32,6
01,02,B,415,3,7,405,680,104,5,40,74,56,30,23,6,13,0,43,11
01,03,A,247,2,2,243,465,73,4,28,39,25,10,14,3,13,1,27,6
01,03,B,290,0,3,287,491,102,4,25,42,20,25,13,8,20,1,19,8
01,03,C,275,0,3,272,459,103,6,32,47,20,14,6,2,6,1,28,7
01,04,A,358,1,4,353,612,108,2,57,44,24,35,25,3,13,0,30,12
01,04,B,398,2,5,391,685,124,4,48,48,19,32,25,3,20,1,43,24
01,05,A,224,1,6,217,479,64,4,26,37,13,15,11,6,11,1,21,8
01,05,B,262,5,3,254,508,80,6,32,29,14,30,9,2,15,1,29,7
01,06,U,447,4,9,434,822,144,1,65,54,31,40,16,7,22,2,45,7
01,07,A,319,0,8,311,703,47,5,76,54,34,23,11,5,11,0,42,3
01,07,B,363,0,4,359,850,50,2,82,52,57,28,17,5,19,1,38,8
01,08,A,366,0,7,359,759,50,0,109,44,65,7,11,6,12,0,49,6
01,08,B,450,0,4,446,902,60,0,137,46,99,9,10,7,7,1,58,12
02,01,A,320,0,2,318,511,81,2,40,71,33,28,18,3,7,0,30,5
02,01,B,377,2,3,372,625,94,2,52,59,30,32,27,10,13,3,44,6
02,01,C,326,1,8,317,529,83,1,34,54,35,31,17,4,8,3,39,8
02,02,U,476,3,7,466,852,92,4,40,122,75,28,35,5,9,0,42,14
02,03,U,458,3,10,445,786,105,5,52,82,65,35,22,14,22,0,33,10
02,04,A,339,2,3,334,615,132,17,50,31,4,27,14,7,20,1,24,7
02,04,B,370,4,6,360,753,137,8,58,32,12,42,20,6,10,1,29,5
02,05,U,369,1,4,364,887,128,12,53,42,12,52,5,6,29,3,10,12
02,06,A,330,0,6,324,609,142,17,40,10,10,53,3,4,14,1,24,6
02,06,B,382,2,1,379,768,169,16,57,12,5,53,6,8,24,3,24,2
02,07,U,411,7,0,404,738,150,12,77,26,6,43,15,5,17,4,37,12
02,08,A,330,2,0,328,567,124,3,47,31,20,33,15,5,18,2,20,10
02,08,B,409,2,8,399,698,137,2,58,37,22,47,24,9,26,4,17,16
02,09,A,343,0,4,339,644,112,7,44,42,12,31,22,8,18,0,26,17
02,09,B,405,2,3,400,729,136,6,51,49,23,41,30,7,9,0,21,27
02,10,U,334,2,4,328,651,103,12,46,34,9,62,9,4,25,1,16,7
03,01,A,237,0,3,234,428,64,5,24,28,13,41,13,2,9,5,19,11
03,01,B,283,3,1,279,523,94,1,26,26,12,43,15,1,11,1,23,26
03,02,U,499,1,5,493,868,167,10,86,52,20,36,20,3,21,3,53,22
03,03,A,291,0,7,284,532,68,2,49,48,11,42,13,3,13,1,21,13
03,03,B,336,2,6,328,630,112,4,62,33,17,46,11,4,9,2,13,15
03,03,C,301,2,9,290,513,97,4,37,39,8,38,18,6,12,0,21,10
03,04,A,277,1,1,275,548,106,2,34,15,14,53,8,7,10,1,16,9
03,04,B,318,1,2,315,639,120,3,36,27,11,41,11,7,16,3,22,18
03,05,A,336,3,5,328,776,135,6,67,14,15,38,7,2,14,0,17,13
03,05,B,333,1,4,328,713,114,4,57,26,11,35,8,4,18,2,32,17
03,06,A,236,2,4,230,443,72,2,32,32,9,31,11,2,11,0,19,9
03,06,B,261,3,3,255,489,90,10,34,10,12,27,15,6,13,2,21,15
03,07,U,491,0,5,486,761,154,2,67,50,18,47,23,8,25,0,35,57
03,08,A,365,2,9,354,647,99,7,53,45,13,41,18,8,29,1,15,25
03,08,B,446,0,10,436,801,138,5,83,48,19,47,18,9,34,0,18,17
03,08,C,350,1,4,345,624,106,3,51,45,13,37,22,10,20,0,22,16
04,01,A,304,1,2,301,509,88,6,46,48,37,19,10,1,11,1,22,12
04,01,B,384,3,9,372,663,130,6,50,44,22,38,14,3,26,0,31,8
04,01,C,314,7,5,302,541,106,7,40,43,22,28,15,2,10,0,18,11
04,02,A,302,2,3,297,618,127,4,28,20,9,35,13,2,14,0,29,16
04,02,B,358,4,2,352,660,152,2,34,22,10,48,11,4,17,3,28,21
