RAOSOCIAL,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,ICON
"Instalaciones Pujalte, SCP","carrer montflorit, 38, 08850 Gavà",936626220 ,,,Construcció i derivats,41.30284,2.002637,"(41.30284, 2.002637)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4506,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Ben Fet,"carrer montflorit, 38, 08850 Gavà",936625052 ,,,Construcció i derivats,41.30284,2.002637,"(41.30284, 2.002637)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4378,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Juan Morales Hidalgo,"carrer montflorit, 57, 08850 Gavà",652921911 ,,,Taller mecànic - Reparacions - Concessionari,41.30185,2.000978,"(41.30185, 2.000978)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4529,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Lola Moya,"carrer sant joan, 1, 08850 Gavà", 652624857,lolamoyag@hotmail.com,,Sense classificar,41.304295,2.002098,"(41.304295, 2.002098)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2307,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
David Costa Molina,"carrer sant joan, 3, 08850 Gavà",936626565 ,,,Taller mecànic - Reparacions - Concessionari,41.305187,2.001948,"(41.305187, 2.001948)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4424,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Exclusivas electrónicas, SCCL","carrer colomeres, 132, 08850 Gavà",936625956 ,,,Taller mecànic - Reparacions - Concessionari,41.306587,1.999561,"(41.306587, 1.999561)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4455,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Diego Flores Pérez,"carrer colomeres, 132, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.306587,1.999561,"(41.306587, 1.999561)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4431,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Taller ESX,"carrer f. pi i margall, 52, 08850 Gavà",607308094 ,cristianesx@hotmail.com,,Taller mecànic - Reparacions - Concessionari,41.30796,1.996434,"(41.30796, 1.996434)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2504,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Taller ESX,"carrer f. pi i margall, 52, 08850 Gavà",607308094 ,cristianesx@hotmail.com,,Taller mecànic - Reparacions - Concessionari,41.30796,1.996434,"(41.30796, 1.996434)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2303,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Serveis i Manteniment Rimasa S.L.,"carrer sant pere, 84, 08850 Gavà",936384764 ,info@rimasaserveis.com,http://www.rimasaserveis.com,Altres serveis a empreses,41.303795,2.000504,"(41.303795, 2.000504)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5063,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Autos Noé,"carrer usatges de barcelona, 1, 08850 Gavà",936381050 ,rentacar@autosnoe.com,http://www.autosnoe.com,Logística - Distribució - Transport,41.3021,2.006536,"(41.3021, 2.006536)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5097,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Kaizen Producciones Publicitarias,"rambla pompeu fabra, 132, 08850 Gavà",936388338 ,,http://masqueunaimprenta.com/,Altres serveis a empreses,41.30917,2.003717,"(41.30917, 2.003717)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2521,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Comercial Ros, S.A.","avinguda bertran i güell, 36, 08850 Gavà",936620858 ,,http://www.renaultros.com,Taller mecànic - Reparacions - Concessionari,41.29963,2.00871,"(41.29963, 2.00871)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4402,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
