NOM,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,icon
Tallers C.R.A,"carrer montflorit, 135, 08850 Gavà",936336262 689514127,sgf_19872@hotmail.com,,Serveis,41.30668,1.998613,"(41.30668, 1.998613)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4231,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Dentalcolor,"carrer montflorit, 136 baixos 1ª, 08850 Gavà",936622729 615501571,,http://www.dentalhousegava.com,Salut - Bellesa - Centres esportius,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5254,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Exclusivas Electronicas,"carrer montflorit, 145, 08850 Gavà",936625956 ,danielpla1@hotmail.com,http://www.exclusivaselectronicas.com,Serveis,41.306942,1.998535,"(41.306942, 1.998535)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4910,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Mon Petit ,"carrer montflorit, 148, 08850 Gavà",936625557 936625557,info@monpetitgava.org,http://www.monpetitgava.es,Serveis,41.307034,1.998517,"(41.307034, 1.998517)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4911,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Golosinas Sheila,"carrer montflorit, 149, 08850 Gavà", 618728276,,,Alimentació (quotidià alimentari),41.30719,1.998312,"(41.30719, 1.998312)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3954,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Centro de Día Ohana,"carrer montflorit, 150, 08850 Gavà", 689014336,,,Sense classificar,41.307087,1.998512,"(41.307087, 1.998512)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5590,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Santiago Parra, SL","carrer montflorit, 150, 08850 Gavà",936333254 ,,http://www.sparra.com,Serveis,41.307087,1.998512,"(41.307087, 1.998512)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4321,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Papereria J.M.Sánchez,"carrer montflorit, 150, 08850 Gavà",936620687 606284609,,,Lleure i cultura,41.307087,1.998512,"(41.307087, 1.998512)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4078,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
El Jardín de tu mascota-Perruqueria canina Floristeria El Jardincito,"carrer montflorit, 151, 08850 Gavà",931854473 691030083,ivanenco@hotmail.es,,Equipament de la llar,41.30714,1.998431,"(41.30714, 1.998431)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5170,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Hobby - Mascotas,"carrer montflorit, 151, 08850 Gavà",936623584 607846069,,,Equipament de la llar,41.30714,1.998431,"(41.30714, 1.998431)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3967,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
