ProvinciaNaixement,DataNaixement
ALBOLODUY,1
BRENES,7
MIJAS,2
ALCARRAS,2
ROQUETES,1
ALCARACEJOS,1
PUENTE DE MONTAÑANA,1
MUELAS DEL PAN,1
BARRACHINA,1
CORTES Y GRAENA,7
ALCAÑICES,1
RINCONADA (LA),24
PATERNA DE RIVERA,1
AZERBAIAN,2
COSTA RICA,4
MAGUILLA,4
PAKISTAN,148
CACERES,19
CAMUÑAS,1
CIPEREZ,4
CABACES,2
XUNQUEIRA DE AMBIA,1
POBLA DE LILLET (LA),7
BELVIS DE LA JARA,1
ALMATRET,2
LACHAR,3
SAN VICENTE DE LA SONSIERRA,2
VERA,13
MACEDA,1
SAN JUAN DE AZNALFARACHE,3
BENAMEJI,9
ESLOVAQUIA,19
CHILE,120
VIETNAM,8
AROCHE,6
LINARES,59
SANTURDE DE RIOJA,1
LANTEJUELA (LA),3
CANET DE MAR,1
ALMODOVAR DEL RIO,8
MARIA,12
NIGERIA,6
ELCHE/ELX,5
MELGAR DE YUSO,1
BEDMAR Y GARCIEZ,4
ALAGON,2
NARROS,1
MACAEL,39
CIUTADELLA DE MENORCA,2
VILLAJOYOSA/VILA JOIOSA (LA),2
MOCHALES,1
CASTELLGALI,1
MONROYO,1
ALBERCA DE ZANCARA (LA),2
ALOSNO,12
ESPEJA DE SAN MARCELINO,1
CAMPASPERO,1
FONDON,6
POZO ALCON,4
HUERTA DE REY,2
GANDESA,1
BAZA,36
HUESA DEL COMUN,1
BARBASTRO,8
LANAJA,1
ARGENTINA,509
HOSPITALET DE LLOBREGAT (L'),746
CALA,2
PARLA,1
ALMERIA,66
VILASSAR DE DALT,1
VILLAFRANCA DE LOS CABALLEROS,1
DALIAS,3
SAN PEDRO MANRIQUE,1
MINAS DE RIOTINTO,4
TARTANEDO,2
PADUL,5
BERCHULES,2
VENDRELL (EL),14
MAELLO,1
FRANCIA,312
ZALAMEA LA REAL,3
VILAFRANCA DEL PENEDES,16
AGREDA,2
SANTA CRUZ DE LA ZARZA,1
COAÑA,1
MUROS,2
FOLGOSO DE LA RIBERA,7
SALAMANCA,32
ALDEANUEVA DEL CODONAL,1
TURQUIA,13
CALERA DE LEON,1
SAN PEDRO DE MERIDA,2
QUESA,1
ALBORAYA,1
CAÑETE LA REAL,1
CERVELLO,7
PICASSENT,1
CAPILLAS,1
VIELHA E MIJARAN,2
MADRID,304
TORREBLASCOPEDRO,12
CUBA,152
RODONYA,2
VILLANUEVA DE ALCARDETE,2
GROVE (O),1
ARTESA DE SEGRE,1
CASTELLDEFELS,432
VALADOURO (O),3
CHAUCHINA,2
FUENTES,1
CASAS DE JUAN NUÑEZ,2
SAN LORENZO DE EL ESCORIAL,2
BLESA,3
FONZ,2
ALMODOVAR DEL PINAR,5
HORCAJO DE LOS MONTES,2
CARBALLEDA DE AVIA,1
BOT,2
VALVERDE DEL CAMINO,3
TOURO,7
