LLOC DE TREBALL,NOMBRE EFECTIUS
Assessor Igualtat i Ciutadania,1
"Logopeda ""Escola Especial Maria Felip""",1
Encarregat del cementiri ,1
Auxiliar administratiu/va VI,1
Tècnic/a de comptabilitat I,1
"Psicòleg/oga ""Escola Especial Maria Felip""",1
Administratiu/va IX,1
Administratiu/va I,1
Conserge d'instal.lació municipal,9
Regidor/a portaveu d'ERC,1
Cap de la Unitat Jurídica de Governació. Mobilitat i Manteniment de la Ciutat,1
Arxiver/a municipal,1
Cap departament d' Igualtat i Ciutadania,1
Regidor/a grup de PPC,2
Auxiliar Administratiu/va XI,1
Auxiliar administratiu/va IV,2
Sotsinspector cap de la Policia Municipal,1
Auxiliar administratiu/va II,1
Tècnic/a mitjà esportiu,1
Responsable de grup de l'Oficina d'Atenció al Ciutadà (OAC),5
Agent de la Policia Municipal,60
Tècnic/a TIC Senior d'Informàtica,3
Cap de la Unitat d'Actuació urbanística,1
Tècnic/a de so,1
Tècnic/a auxiliar de comptabilitat,1
Cap d'Unitat de Sostenibilitat i Patrimoni natural,1
Cap de la Unitat de Manteniment de l'Edifici Corporatiu,1
Tècnic/a Auxiliar Projectista II,1
Coordinador de l'Oficina de l'Alcaldia,1
Cap de la Unitat de consergeria,1
Coordinador/a mitjans comunicació local,1
Redactor/a,2
Cap del departament tecnologies de la informació i comunicació,1
Tècnic/a Auxiliar Projectista I,1
Arquitecte II,1
Regidor/a grup de CiU,1
Cap del departament d'Educació,1
Tècnic/a de serveis a les persones - Coordinadora,2
Cap d'unitat de suport d'activitats,1
Coordinador/a de continguts Gava TV,1
Tècnic/a de participació ciutadana,1
Cap del departament de Serveis Socials,1
Cap Tècnic i Publicitat,1
Administratiu/va VIII,10
Regidor/a portaveu adjunt/a grup de PPC,1
Coordinador de Sostenibilitat i Patrimoni Natural,1
Especialista de manteniment,1
Recepcionista zona esportiva,7
Cap de patrimoni - Directora tècnica,1
Auxiliar Administratiu/va XIV,1
Tècnic/a de protecció de dades,1
Auxiliar Administratiu/va XV,1
Conservador/a del Patrimoni natural,2
Alcaldessa,1
Tinent/a d'alcalde,1
Regidor/a de Sostenibilitat i Patrimoni Natural,1
Tècnic/a especialista d'esports,1
Auxiliar Administratiu/va X,1
Locutor/a I,1
Tècnic/a auxiliar del patrimoni documental,1
Director de Serveis a la Persona,1
Caporal de la Policia Municipal,13
"Mestre ""Escola Especial Maria Felip"" I",1
Tècnic/a de serveis a les persones III,20
Cap departament de planificació urbanística i llicències urbanístiques,1
Tècnic/a de promoció econòmica,4
Cap de la Unitat de Llicències d'Obres,1
Treballador/a familiar,2
Tècnic/a Auxiliar de Biblioteca ,6
Repartidor/a,1
Administratiu/va X,1
Monitor/a menjador ,5
Cap de la Unitat de Tramitació Urbanística i Concessions,1
Periodista,1
"Mestra ""Escola Especial Maria Felip""-Direcció",1
inspector cap de la Policia Municipal,1
Regidor/a portaveu grup de CiU,1
Responzable zona esportiva ,1
Tècnic/a Auxiliar d'educació,1
Cap de Serveis Generals,1
Directora del Centre de Suport a l'Empresa,1
Regidor/a delegat/ada ,1
Tècnic/a de serveis a les persones - Psicòloga,1
Regidor/a portaveu adjunt/a grup de CiU,1
Especialista manteniment II,1
Auxiliar Biblioteca Marian Colomé,1
Administratiu/va III,1
Cap de projectes de noves tecnologies,2
Cap del Departament de Comptabilitat,1
Tècnic/a Auxiliar Delineant,1
Auxiliar administratiu/va VII,1
Monitora esportiva I,1
Cap departament tresoreria - Tresorer Municipal,1
Cap de la Unitat de participació ciutadana,1
Tinent/a d'alcalde de Governació. Vía Pública. Urbanisme. Medi Ambient i Sostenibilitat.,1
Interventor Municipal ,1
Auxiliar Administratiu/va IX,1
Administratiu/va XI,1
Tinent/a d'alcalde de Presidència. Serveis Generals i Promoció Econòmica,1
Director/a Ràdio Sellarés,1
Cap del Departament de Salut Pública i Conc. Administratives,1
"Mestre/a ""Escola Especial Maria Felip"" II",3
Auxiliar administratiu/va I,1
Auxiliar de l'Oficina d'Atenció al Ciutadà (OAC),8
Auxiliar Administratiu/va XII,16
Regidor/a portaveu adjunt/a grup de ERC,1
Auxiliar de Serveis Generals II,1
Conserge II,1
Tècnic/a de serveis a les persones I,1
Auxiliar Administratiu/va XVI,6
Auxiliar de cementiri ,4
Director de Serveis d'Urbanisme i Planificació Estratègica,1
Cap del departament d'esports,1
Administratiu/va IV,3
Cap Departament. obres i mobilitat de la ciutat,1
Cap de l'Oficina Municipal de Seguiment de l'Aeroport,1
"Educador/a ""Escola Especial Maria Felip""",3
Cap de la unitat administrativa de seguretat ciutadana,1
Coordinador/a tècnic GTV,1
ENG,2
Cap de l'Oficina d'Atenció al Ciutadà (OAC),1
Especialista manteniment III,7
Cap de Recursos Humans i Organització,1
Cap de la Unitat de Llicències d'Activitats,1
Cap de la Unitat de Mobilitat,1
Conserge I,1
Cap de la Unitat de Pressupost i control intern,1
Auxiliar Administratiu/va VIII,2
Adjunt a la Secretaria General,1
Administratiu/va XII,7
Auxiliar Administratiu/va XIII,1
Conserge IV,11
Director/a tècnica de comerç i fires,1
Cap de la Unitat de Manteniment de l'Espai Públic,1
Conserge III,1
Tinent/a d'alcalde d'Igualtat i Ciutadania,1
Secretari General ,1
Regidor/a portaveu de C's,1
Coordinador de Comerç. Activitat i Salut Pública,1
Auxiliar administratiu/va V,1
Regidor/a delegat/ada,4
Directora Diari Bruguers,1
Tècnic/a d'Activitats,1
Administratiu/va VI,1
Sergent de la Policia Municipal,4
Cap Departament de Serveis tècnics,1
Tècnic/a de serveis a les persones II,1
Secretària de l'Alcalde,1
Cap departament d'activitats i disciplina urbanística,1
Tècnic/a TIC Auxiliar d'Informàtica,2
Cap de la Unitat de Gestió Urbanística,1
Tècnic/a de Formació,1
Gerent Municipal,1
Cap departament de Cultura,1
Cap d'unitat tècnica d'equipaments,1
Auxiliar de Serveis Generals I,1
Tècnic/a de Responsabilitat Patrimonial,1
Administratiu/va II,1
Arquitecte I,2
"Mestra ""Escola Especial Maria Felip"" -Secretaria",1
Auxiliar de Serveis Generals III,5
Tècnic/a de prevenció de riscos laborals,1
Cap Oficina Local d'Habitatge,1
Tècnic/a de Protecció Civil ,1
Monitor/a esportiva II,2
Administratiu/va VII,1
Arquitecte Tècnic de manteniment i espai públic,1
Cap departament administratiu de serveis a la persona,1
Tècnic/a de Recursos Humans ,1
Locutor/a II,1
Regidor/a portaveu grup de PPC,1
Tècnic/a de Comptabilitat I,1
Administratiu/va V,1
Auxiliar administratiu/va III,1
