FUNCIONAL,IMPORT
Administració General ,1117570
Educació Especial,595840
Instal·lacions esportives,1772830
Societat de la informació-Audiovisual i Internet,230880
Millores competitivitat Pol·ligons Industrials,40000
Polítiques Municipals d'Habitatge,104580
Protecció del Medi Ambient,158900
Promoció i foment de l'esport,160020
Pavimentació vies públiques,100000
Cicle Festiu,561216
Cooperació,127850
Adm.Gral de Medi Ambient,173990
Civisme,20000
Administració General - Benestar i Acció Social,435830
Òrgans de govern - Programes de la Junta de Govern,15000
Comerç - Dinamització comercial,50700
Mercats a la via pública,970
Administració General - Informàtica i NT,1115650
Promoció de la Ciutat - Fira,154320
Infància,324070
Promoció i foment de l'esport - Espais Esportius,132000
Administració General - Recursos Humans,371400
Enllumenat públic,949720
Manteniment d'instal·lacions via pública,267767
Activitats i disciplina urbanística,296690
Administració General d'Esports,148980
Protecció civil ,199640
Vies públiques - Obra Civil i Instal·lacions,631453
Foment de l'Ocupació - Creació d'empresa,89200
Societat de la informació-Premsa escrita,328710
Formació d'Adults,103200
Deute Públic,4078350
Dinamització empresarial,29700
Transport col·lectiu,266600
Gestió del patrimoni,40000
Foment de l'Ocupació - Formació,3180
Ajuts de Promoció Social,137000
Pagesia de Gavà,19500
Ad.Gral. Atenció als ciutadans (OAC),512940
Govern obert i transparència,40940
Coord. i organitz. institucional entitats locals,41800
Drets civils i Nova ciutadania,91510
Administració electrònica,44500
Administració General de Serveis Socials,952040
Serveis complementaris d'educació - Sanitat,21000
Manteniment vies públiques - mobiliari,286272
Transferències a Altres Entitats Locals,869150
Acció social,383280
Gent Gran,97620
Foment de l'Ocupació -Pl Ocup-Treballs als barris,26170
Foment de l'Ocupació -Pl Ocup-Pol Socials,53670
Mercats,4400
Altres prestacions econòmiques a favor d'empleats,153000
Administració general de educació,148980
Equipaments de serveis,1407057
Promoció de la Ciutat - Turisme,65500
Administració General - Serveis Generals,392080
Foment de l'Ocupació - Joves i ocupació,18000
Igualtat,190920
Admó. General. Comerç i Fira,277380
Mediació Social,43910
Relacions ciutadanes,112490
Edificis administratius,649860
Gestió Patrimoni Mpal del Sòl i Habitatge,21420
Arts escèniques i Música,183036
Administració General Igualtat i Ciutadania,170570
Òrgans de govern - Programes d'Alcaldia,457800
Administració General de Cultura,233450
Clavegueram,66487
Societat de la informació-Radiodifusió,254050
Adm.Gral de Salut Pública,199650
Programes esport i salut,55000
Joventut,180190
Protecció de la salubritat pública,120000
Patrimoni Històric i Cultural,389549
Deixalleria de Gavà,95000
Ordenació del trànsit i de l'estacionament,332627
Cementiri,193140
Biblioteques de Gavà,493771
AG - SSGG - Gestió assegurances,3990
Adm.Gral d'Obres i Manteniment de la Ciutat,345500
Òrgans de govern,773670
Defensa del consumidor,10000
Urbanisme Planificació i Projectes,1607893
Administració General - Secretaria i serveis juríd,602770
Promoció Educativa,83000
Servei Local d'Ocupació,403690
Gestió del sistema tributari,652980
Participació ciutadana,299060
Projecte Educatiu de Ciutat,105690
Parcs i jardins,1429223
Administració Gral de Mobilitat urbana,142480
Neteja viària,2322088
Promoció cultural,315072
Serveis assistencials,20000
Funcionament centres docents d'Educació,1609406
Recollida de residus,1842783
Programes socials,82400
Policia de Seguretat,4268160
Intervenció i Comptabilitat,725080
Assitència a persones dependents,612640
