NOM,PRESIDENT,DIRECCIO,TELEFON,EMAIL,WEB,DATA_ALTA,TIPUS,NumSocios,enllacdirectori,latitud,longitud,LOCALITZACIO
AGRUPACIÓ DE RESTAURADORS DE GAVÀ,DOMINGO MARTÍNEZ MENA,"rambla joaquim vayreda, 31 ,08850 Gavà",,,,07/23/2007 12:00:00 AM,Comerç,25,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=282,,,
AGRUPACIÓ ESPORTIVA FUTBOLISTES VETERANS DE GAVÀ,ANTONIO PÉREZ SALINAS,"carrer lluís dalmau, 20 ,08850 Gavà",936380588,,,04/28/2005 12:00:00 AM,Esportives,55,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=264,,,
AGRUPACIÓ FOTOGRÀFICA GAVÀ,XAVIAR MORENO VELAURE,"rambla joaquim vayreda, 68 ,08850 Gavà",637789757,,,09/22/2004 12:00:00 AM,Culturals,112,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=228,,,
AGRUPACIÓN ASTRONÓMICA DE GAVÀ,JAVIER MOLDON VARA,"plaça jaume balmes, 6 ,08850 Gavà",,astrogava@gmail.com,http://www.astrogava.org,02/02/2005 12:00:00 AM,Culturals,10,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=175,41.304115,1.9999139,"(41.304115, 1.999914)"
AGRUPAMENT ESCOLTA I GUIA ROC DEL MIGDIA,NORBERT MEIJOMIL PALLES,"carrer raval de molins, 36 ,08850 Gavà",936620279,,,07/23/2007 12:00:00 AM,Educatives i de Lleure,27,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=343,,,
AIGUA PER AL SAHEL,MARIOLA FOIX LLORENS,"carrer tellinaires, 136 ,08850 Gavà",932370647,mariolafoix@hotmail.com,http://aiguaperalsahel.pangea.org,11/11/2010 12:00:00 AM,"Coop. Internacional, M. Ambient",230,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=311,,,
AMICS DE LA DANSA DE GAVÀ,CHELO BALTEIRO FRANCO,"carrer marc grau, 9 ,08850 Gavà",936382449,amicsdeladansa@gmail.com,,10/04/2004 12:00:00 AM,Culturals,27,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=168,41.30718,2.0040267,"(41.30718, 2.004027)"
AMICS DE LA MÚSICA,ROSA SALES MARTÍN,"rambla joaquim vayreda, 31 ,08850 Gavà",936333617,Glotax@telefonica.net,,09/01/1998 12:00:00 AM,Culturals,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=319,,,
AMICS DEL BALL DE GAVÀ,IMMACULADA MANZANERA,"rambla joaquim vayreda, 31 ,08850 Gavà",936333607,,,01/21/2003 12:00:00 AM,Culturals,91,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=199,,,
AMICS PLAQUES DE CAVA DE GAVÀ,XAVIER MADRID MARIN,"carrer sarrià, 9 ,08850 Gavà",936623258,aplacagava@yahoo.es,http://www.aplacagava.entitats.gavaciutat.cat,06/22/2006 12:00:00 AM,Culturals,25,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=255,,,
AMNISTIA INTERNACIONAL CATALUNYA,MARIA JOSÉ PEÑA ARCO,"bisbe urquinaona,25,08860 Castelldefels",936382749,llobregatsud@amnistiacatalunya.org,,09/27/2006 12:00:00 AM,Acció Social,42000,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=257,41.282974,1.9788233,"(41.282974, 1.978823)"
AMPA CEIP GAVÀ MAR,GEMMA GUITART COMELLAS,"carrer tellinaires, 59-61 ,08850 Gavà",936451845,ampaceipgavamar@gmail.com,,06/11/2009 12:00:00 AM,Educatives i de Lleure,11,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=286,,,
"AMPA FORMACIÓ PROFESSIONAL I i II GRAU "" EL CALAMOT""",PILAR GRACIA MACANÁS,"avinguda joan carles i, s/n ,08850 Gavà",936628406,mgraci42@xtec.net,,03/01/2005 12:00:00 AM,Educatives i de Lleure,320,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=248,41.298878,2.0031402,"(41.298878, 2.00314)"
AMPA MARCEL·LI MORAGAS,Aurora Vallejo Ruiz,"carrer joan i, 5 ,08850 Gavà",936628251,ampamarcel.limoragas@hotmail.com,,11/18/2004 12:00:00 AM,Educatives i de Lleure,0,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=220,,,
"AREOLA, GRUP DE SUPORT A L'ALLETAMENT MATERN",JUDITH RIBAS BERGADÀ,"rambla joaquim vayreda, 31 ,08850 Gavà",936371040,rociroma@gmail.com,,09/01/2004 12:00:00 AM,Culturals,9,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=241,,,
"ARRI, ASSOCIACIÓ DE REIKI PER LA RECERCA INTERIOR",CONCEPCIÓN CASTILLO FERRER,"carrer mare de déu de montserrat, 33 ,08850 Gavà",,elteumoment@gmail.com,,05/15/2008 12:00:00 AM,Culturals,13,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=293,41.30493,2.0012763,"(41.30493, 2.001276)"
ASOCIACION CULTURAL ANDALUZA Y ROCIERA DE GAVA 2015,Maria Amparo Atencia Villalobos,"carrer santiago rusiñol, 29 ,08850 Gavà",,asociacionculturalandaluza@gmail.com,,11/08/2016 12:00:00 AM,Culturals,100,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5538,,,
ASOCIACIÓ DE MARES I PARES D'ALUMNES DE LA LLAR D'INFANTS ROSAURA TERRADES,JAVIER MARTIN VIDAL ,"carrer riera de sant llorenç, s/n ,08850 Gavà",936627902,,,01/12/2005 12:00:00 AM,Educatives i de Lleure,105,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=270,,,
ASOCIACIÓN CARAVAQUEÑOS DE GAVÀ,ISMAEL LÓPEZ,"carrer f. pi i margall, 52 ,08850 Gavà",936624287,,,06/27/2003 12:00:00 AM,Culturals,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=200,41.30796,1.9964343,"(41.30796, 1.996434)"
ASOCIACIÓN CUBANOS EN CATALUNYA,Wiliam Luis Portal Dupeyrón,"dolores ibarruri,45,08820 Prat De Llobregat (El)",,cubanosencatalunya@yahoo.es,www.cubanosencatalunya.cat,09/21/2012 12:00:00 AM,Culturals,194,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1154,41.32078,2.0859888,"(41.32078, 2.085989)"
"ASOCIACIÓN CULTURAL CRISTIANA  DE CATALUNYA ""ÁGAPE""",ANTONIO HEREDIA HEREDIA,"plaza del rascacielos,98c-d,08205 Sabadell",937279964,,,02/10/2009 12:00:00 AM,Culturals,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=189,41.302826,2.0019345,"(41.302826, 2.001935)"
ASOCIACIÓN CULTURAL EL CACHIRULO DE BIENVENIDA ARGENSOLA,FRANCISCO RODRÍGUEZ SANTOS,"carrer sant lluís, 30 ,08850 Gavà",936582953,,,01/14/2005 12:00:00 AM,Culturals,12,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=154,41.30763,1.998506,"(41.30763, 1.998506)"
ASOCIACIÓN CULTURAL ISLÁMICA DE GAVÀ,ABDELADIM BOULOUFA,"carrer concòrdia, s/n ,08850 Gavà",936623771,,,06/08/2001 12:00:00 AM,Culturals,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=238,,,
ASOCIACIÓN DE AYUDA A GRUPOS DE ALCOHÓLICOS - OFICINA CENTRAL DE SERVICIOS ÁREA 6ª,TIBURCIA DE LA TORRE CANO,"c .santa anna ,28,08029 Barcelona",,,,10/15/2009 12:00:00 AM,Acció Social,2000,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=205,41.385612,2.1719182,"(41.385612, 2.171918)"
ASOCIACIÓN DE COMERCIANTES DEL COMPLEJO COMERCIAL BARNASUD,CATHARINE CORWITH,"carrer progrés, 69 ,08850 Gavà",936383929,cristina.munarriz@unibail-rodamco.com,,01/27/1998 12:00:00 AM,Comerç,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=236,41.305733,2.0043938,"(41.305733, 2.004394)"
ASOCIACIÓN DE COMERCIANTES Y VECINOS TRIAS GAUDÍ,YOLANDA OLIVA SOLOMANDO,"carrer antoni gaudí, 8 ,08850 Gavà",936336449,,,03/21/2012 12:00:00 AM,Comerç,3,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=323,41.307865,2.0038662,"(41.307865, 2.003866)"
ASOCIACIÓN DE ECUATORIANOS DE GAVÀ,EDGAR ORLANDO SANTANDER ORDOÑEZ,"carrer mare de déu de montserrat, 9 ,08850 Gavà",,orland115@hotmail.com,,02/16/2011 12:00:00 AM,Culturals,10,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=332,41.30425,2.0015779,"(41.30425, 2.001578)"
ASOCIACIÓN DE PADRES DE ALUMNOS DEL COLEGIO DE LA SAGRADA FAMILIA,MANUEL ENRUBIA IGLESIAS,"rambla pompeu fabra, 126-130 ,08850 Gavà",936381833,med011653@saludalia.com,,12/30/2004 12:00:00 AM,Educatives i de Lleure,1756,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=275,,,
"ASOCIACIÓN DE PADRES DE ALUMNOS DEL COLEGIO ESTATAL "" SALVADOR LLUCH""",RAQUEL QUESADA AMPUDIA,"carrer sant joan, 31 ,08850 Gavà",936624418,ampasalvadorlluch@gmail.com,,02/23/2006 12:00:00 AM,Educatives i de Lleure,335,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=281,,,
