NOM,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI
Restaurante Bar Can Rodenas,"carrer montflorit, 76, 08850 Gavà",936620348 ,,,Bar - Restaurant,41.30293,2.000549,"(41.30293, 2.000549)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4189
Bar La Terraza,"carrer montflorit, 96, 08850 Gavà",936336580 659098558,,,Bar,41.304844,1.999574,"(41.304844, 1.999574)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3755
Lavaxpres - La Bugaderia del barri,"carrer montflorit, 98, 08850 Gavà",933183018 ,info@lavaxpres.com,http://www.lavaxpress.com,Serveis,41.30491,1.999545,"(41.30491, 1.999545)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1901
Bar El Fanal,"carrer pep ventura, 10, 08850 Gavà",936627836 ,,,Bar,41.311394,1.994856,"(41.311394, 1.994856)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3749
Bar Merlín,"carrer pep ventura, 9, 08850 Gavà", 600767386,,,Bar,41.31135,1.994776,"(41.31135, 1.994776)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4776
Bar Merlín,"carrer pep ventura, 9, 08850 Gavà", 600767386,,,Bar,41.31135,1.994776,"(41.31135, 1.994776)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1931
Restaurant Quesada,"carrer premià, s/n, 08850 Gavà",936331003 ,administracion@quesadagavamar.com,,Bar - Restaurant,41.2695,2.032934,"(41.2695, 2.032934)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4187
Restaurant Bar La Estrella,"carrer riera de sant llorenç, 71, 08850 Gavà",936333375 ,,,Bar,41.311443,2.001808,"(41.311443, 2.001808)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4156
Bar Los Cazadores,"carrer riu ebre, 4, 08850 Gavà", ,,,Bar,41.313694,1.989141,"(41.313694, 1.989141)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4734
Bar Casablanca,"carrer roger de flor, 2-4, 08850 Gavà", ,,,Bar,41.31016,1.99643,"(41.31016, 1.99643)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4190
Restaurant Sabors,"carrer sant josep oriol, 2, 08850 Gavà",932506214 ,,,Restaurant,41.303566,2.002491,"(41.303566, 2.002491)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3101
Charcutería Barrero,"carrer sant josep oriol, 2, 08850 Gavà",936389722 692215811,charcuteriabarrero@hotmail.com,,Alimentació (quotidià alimentari),41.303566,2.002491,"(41.303566, 2.002491)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4339
Charcutería Barrero,"carrer sant josep oriol, 2, 08850 Gavà",936389722 692215811,charcuteriabarrero@hotmail.com,,Alimentació (quotidià alimentari),41.303566,2.002491,"(41.303566, 2.002491)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1957
Bar Casa Aragón,"avinguda mas sellarès, 26, 08850 Gavà",936627403 ,,,Restaurant,41.305996,2.00929,"(41.305996, 2.00929)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1787
Bar Casa Aragón,"avinguda mas sellarès, 26, 08850 Gavà",936627403 ,,,Restaurant,41.305996,2.00929,"(41.305996, 2.00929)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1930
Bar Restaurante El Rincón de la Tortilla,"carrer artur costa, 51, 08850 Gavà",936625750 ,,,Bar - Restaurant,41.30334,2.006121,"(41.30334, 2.006121)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3768
Bar Restaurant Cassandra,"carrer guifré el pelós, 2, 08850 Gavà",936626930 627731962,restcassandra@gmail.com,,Bar - Restaurant,41.307056,1.995755,"(41.307056, 1.995755)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3767
Restaurant Major Trentasis,"carrer major, 36, 08850 Gavà",936626652 ,restaurant@major36.com,http://www.major36.com,Restaurant,41.304836,2.005612,"(41.304836, 2.005612)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4182
Restaurante Pizzeria Di Napoli,"carrer sant josep oriol, 6, 08850 Gavà",936621406 ,,,Bar,41.30371,2.002422,"(41.30371, 2.002422)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4194
Bar Emilio,"avinguda bertran i güell, 30, 08850 Gavà",936628830 ,,,Bar,41.299713,2.008894,"(41.299713, 2.008894)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4350
Bar Plaza Balmes,"avinguda diagonal, 4, 08850 Gavà", 657651123,,,Bar,41.304115,1.998206,"(41.304115, 1.998206)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4817
Bar Los Molinos,"avinguda eramprunyà, 35, 08850 Gavà", 639653090,,,Bar,41.309486,1.997562,"(41.309486, 1.997562)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4681
Bar la Estel'la,"avinguda eramprunyà, 6, 08850 Gavà",936629739 633941313,jtumillovera@yahoo.es,,Bar,41.30938,1.999307,"(41.30938, 1.999307)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4683
Bar Piñol,"avinguda joan xxiii, 14, 08850 Gavà",936624502 ,,,Bar,41.308384,2.000372,"(41.308384, 2.000372)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3765
Bar Nou cafè,"carrer apel·les mestres, 1, 08850 Gavà", 693734374,,,Bar,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4348
Bar Bruno,"carrer apel·les mestres, 76, 08850 Gavà", ,,,Bar,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4857
Restaurant Capri Pizza,"carrer mare de déu de la mercè, 13, 08850 Gavà",936383132 ,,,Bar - Restaurant,41.30469,2.006833,"(41.30469, 2.006833)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4167
Bar Frankfurt Yaque,"carrer mare de déu de montserrat, 11, 08850 Gavà", 679244266,,,Bar,41.303856,2.00181,"(41.303856, 2.00181)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4935
Top Tapa (Centre Comercial Barnasud),"carrer progrés, 69, 08850 Gavà", ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4243
Restaurant Gavà Wok,"carrer progrés, 69, 08850 Gavà",936380110 ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4347
Restaurant Pica Tapa (Centre Comercial Barnasud),"carrer progrés, 69, 08850 Gavà",936627105 ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4186
Restaurant Oriental,"carrer progrés, 69, 08850 Gavà", ,,,Restaurant,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4185
Optica 2000 Barnasud,"carrer progrés, 69, 08850 Gavà",936626864 ,optica2000tc_501gava@elcorteingles.es,,Lleure i cultura,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5109
Bar Plaza,"carrer f. pi i margall, 1, 08850 Gavà",936382114 669695750,barplaza999@telefonica.net,http://www.barplazagava.es,Bar - Restaurant,41.30813,1.997216,"(41.30813, 1.997216)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4687
Bar Nou Dover,"carrer f. pi i margall, 11, 08850 Gavà",698895075 ,,,Bar,41.308693,1.999211,"(41.308693, 1.999211)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3748
Bar El Torrao,"carrer f. pi i margall, 29, 08850 Gavà", 615372162,,,Bar,41.308456,1.998455,"(41.308456, 1.998455)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4684
Barredo Abogados ,"carrer f. pi i margall, 99, 08850 Gavà",936384758 ,bufete@barredoabogados.com,http://www.barredoabogados.com,Serveis,41.30774,1.995856,"(41.30774, 1.995856)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3773
Barroso Esports,"carrer general j. moragues, 12, 08850 Gavà",936628299 ,,http://www.barrososports.com,Lleure i cultura,41.306316,1.994616,"(41.306316, 1.994616)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4899
Bar 662,"carrer jaume i, 3, 08850 Gavà",672065849 ,,,Bar,41.303528,1.999586,"(41.303528, 1.999586)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4680
Restaurant Racó d'en Madu,"carrer joanot martorell, 33, 08850 Gavà",936623904 659049291,,,Restaurant,41.300995,1.999791,"(41.300995, 1.999791)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4188
Bar Cafeteria La Menta,"carrer manuel de falla, 5, 08850 Gavà",936388733 ,,,Bar,41.305637,1.9955,"(41.305637, 1.9955)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1041
Bar Tapeo Las 3 R,"carrer mare de déu de bruguers, 4, 08850 Gavà",936620001 ,,,Bar,41.30758,2.004374,"(41.30758, 2.004374)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4747
Lauri's Bar,"carrer mare de déu de bruguers, 4, 08850 Gavà",936625312 645017282,,,Bar,41.30758,2.004374,"(41.30758, 2.004374)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3227
