TIPUS ENTREVISTA,NOMBRE BENEFICIARIS,MES,AÑO,ZONA
PRIMERA ACOLLIDA,1,ABRIL     ,2008,ZONA 1
ENTREVISTA,3,ABRIL     ,2008,ZONA 1
ENTREVISTA,3,ABRIL     ,2008,ZONA 1
ENTREVISTA,1,MAYO      ,2008,ZONA 3
PRIMERA ACOLLIDA,4,ABRIL     ,2008,ZONA 1
PRIMERA ACOLLIDA,,ABRIL     ,2008,ZONA 2
ENTREVISTA,3,ABRIL     ,2008,MASIA zona 3
ENTREVISTA,3,ABRIL     ,2008,MASIA zona 3
ENTREVISTA,2,ABRIL     ,2008,ZONA 2
ENTREVISTA,2,ABRIL     ,2008,ZONA 1
ENTREVISTA,5,ABRIL     ,2008,ZONA 3
PRIMERA ACOLLIDA,1,ABRIL     ,2008,ZONA 3
ENTREVISTA,4,ABRIL     ,2008,ZONA 3
ENTREVISTA,3,ABRIL     ,2008,ZONA 2
ENTREVISTA,2,ABRIL     ,2008,ZONA 1
ENTREVISTA,6,ABRIL     ,2008,ZONA 2
ENTREVISTA,4,ABRIL     ,2008,ZONA 3
ENTREVISTA,5,ABRIL     ,2008,ZONA 1
DIRIGIDA DE 1a. ACOLLIDA,4,ABRIL     ,2008,ZONA 3
DIRIGIDA DE 1a. ACOLLIDA,4,MAYO      ,2008,ZONA 1
ENTREVISTA,1,ABRIL     ,2008,ZONA 2
ENTREVISTA,3,ABRIL     ,2008,ZONA 1
ENTREVISTA,1,MAYO      ,2008,ZONA 1
ENTREVISTA,1,MAYO      ,2008,ZONA 3
ENTREVISTA,1,ABRIL     ,2008,ZONA 1
ENTREVISTA,3,ABRIL     ,2008,MASIA zona 3
ENTREVISTA,2,ABRIL     ,2008,ZONA 3
PRIMERA ACOLLIDA,1,ABRIL     ,2008,ZONA 1
ENTREVISTA,2,ABRIL     ,2008,ZONA 1
ENTREVISTA,1,ABRIL     ,2008,ZONA 2
ENTREVISTA,1,MAYO      ,2008,ZONA 1
PRIMERA ACOLLIDA,2,ABRIL     ,2008,ZONA 2
ENTREVISTA,3,ABRIL     ,2008,ZONA 1
ENTREVISTA,2,ABRIL     ,2008,ZONA 1
ENTREVISTA,7,ABRIL     ,2008,ZONA 3
ENTREVISTA,7,ABRIL     ,2008,ZONA 3
ENTREVISTA,3,ABRIL     ,2008,ZONA 1
ENTREVISTA,1,MAYO      ,2008,ZONA 1
ENTREVISTA,2,ABRIL     ,2008,ZONA 2
ENTREVISTA,1,ABRIL     ,2008,ZONA 1
ENTREVISTA,1,MAYO      ,2008,ZONA 3
ENTREVISTA,3,ABRIL     ,2008,ZONA 1
ENTREVISTA,1,ABRIL     ,2008,ZONA 3
PRIMERA ACOLLIDA,2,ABRIL     ,2008,ZONA 3
ENTREVISTA,3,ABRIL     ,2008,ZONA 3
ENTREVISTA,4,ABRIL     ,2008,ZONA 3
ENTREVISTA,3,ABRIL     ,2008,ZONA 1
PRIMERA ACOLLIDA,2,ABRIL     ,2008,ZONA 3
PRIMERA ACOLLIDA,3,ABRIL     ,2008,ZONA 3
