EJERCICIO,OFERTA,DIAS_PAGO_RECIBO,COD_ACTIVIDAD,EDICION,ACTIVIDAD,RESTRINGIDA_ENTIDADES,ACTIVIDAD_DIARIA,PROGRAMA,INICIO,FIN,INICIO_MATRICULACION,FIN_MATRICULACION,TEMA,SUBTEMA,FORMATO,TIPO_DESTINATARIO,GRUPO_TARIFA,TARIFA,CANAL_PUBLICACION,NOTAS_RECIBO,NUM_PLAZAS,SOLICITUDES,CONCEDIDAS,RESERVADAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO
"2017","Seccion Desarrollo ","100","001","2","Tarifas","0","0","Desarrollo","30-NOV-25 09.56.00.000000 AM","30-NOV-25 09.56.00.000000 AM","12-NOV-16 10.00.00.000000 AM","12-NOV-25 10.02.00.000000 AM","Informatica","","Curso","Personas Fisicas","Grupo Tarifas","","D","","1","1","0","0","09:00-14:00 / Sin Definir-Sin Definir","","","","","",""
"2017","KBUÑS17. S2. Juventud, apropiación tecnológica y comunidad","3","S2.2","1","18 a 35 años sin plaza de alojamiento/18-35 años without granted accomodation","0","0","KBUÑS17.S2.Juventud, aprop tecnológica y comunidad","11-OCT-17 04.30.00.000000 PM","15-OCT-17 02.00.00.000000 PM","25-AUG-17 12.00.00.000000 PM","20-SEP-17 11.59.00.000000 PM","Congreso, seminario, jornada, encuentro, feria","","Congreso, seminario, jornada, encuentro, feria","Personas Físicas","","","I","Dispone de 3 días para realizar el pago de la cuota de inscripción. Si no realiza el pago en dicho plazo, se le dará de baja quedando su plaza disponible para otras personas.   MUY IMPORTANTE - Se está apuntando a un seminario de KBUÑS17, que se realiza en horario de mañana. También deberá apuntarse a un taller, que se realizará en horario de tarde. Una vez finalizada la inscripción en el seminario se le remitirá un correo electrónico con la información de los talleres con plazas disponibles, para que elija en cual desea apuntarse. La inscripción en los talleres será igualmente por orden de llegada de solicitudes.   - No olvide que sólo es posible apuntarse a un seminario, pues los seminarios de la mañana son simultáneos. En caso de inscripción en más de uno, se dará prioridad a la inscripción que se haya hecho en primer lugar.","8","0","0","0","","","-#16:30-18:30 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro"
"2017","KBUÑS17. S2. Juventud, apropiación tecnológica y comunidad","3","S2.1","1","18 a 35 años con alojamiento subvencionado/18-35 years with free accomodation","0","0","KBUÑS17.S2.Juventud, aprop tecnológica y comunidad","11-OCT-17 04.30.00.000000 PM","15-OCT-17 02.00.00.000000 PM","25-AUG-17 12.00.00.000000 PM","20-SEP-17 11.59.00.000000 PM","Congreso, seminario, jornada, encuentro, feria","","Congreso, seminario, jornada, encuentro, feria","Personas Físicas","","","I","Dispone de 3 días para realizar el pago de la cuota de inscripción. Si no realiza el pago en dicho plazo, se le dará de baja quedando su plaza disponible para otras personas.   MUY IMPORTANTE - Se está apuntando a un seminario de KBUÑS17, que se realiza en horario de mañana. También deberá apuntarse a un taller, que se realizará en horario de tarde. Una vez finalizada la inscripción en el seminario se le remitirá un correo electrónico con la información de los talleres con plazas disponibles, para que elija en cual desea apuntarse. La inscripción en los talleres será igualmente por orden de llegada de solicitudes.   - No olvide que sólo es posible apuntarse a un seminario, pues los seminarios de la mañana son simultáneos. En caso de inscripción en más de uno, se dará prioridad a la inscripción que se haya hecho en primer lugar.","12","6","3","0","","","-#16:30-18:30 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro"
"2017","KBUÑS17. S2. Juventud, apropiación tecnológica y comunidad","3","S2.3","1","36 o más años sin plaza de alojamiento/36 years old on without granted accommodation","0","0","KBUÑS17.S2.Juventud, aprop tecnológica y comunidad","11-OCT-17 04.30.00.000000 PM","15-OCT-17 02.00.00.000000 PM","25-AUG-17 12.00.00.000000 PM","20-SEP-17 11.59.00.000000 PM","Congreso, seminario, jornada, encuentro, feria","","Congreso, seminario, jornada, encuentro, feria","Personas Físicas","","","I","Dispone de 3 días para realizar el pago de la cuota de inscripción. Si no realiza el pago en dicho plazo, se le dará de baja quedando su plaza disponible para otras personas.   MUY IMPORTANTE - Se está apuntando a un seminario de KBUÑS17, que se realiza en horario de mañana. También deberá apuntarse a un taller, que se realizará en horario de tarde. Una vez finalizada la inscripción en el seminario se le remitirá un correo electrónico con la información de los talleres con plazas disponibles, para que elija en cual desea apuntarse. La inscripción en los talleres será igualmente por orden de llegada de solicitudes.   - No olvide que sólo es posible apuntarse a un seminario, pues los seminarios de la mañana son simultáneos. En caso de inscripción en más de uno, se dará prioridad a la inscripción que se haya hecho en primer lugar.","5","0","0","0","","","-#16:30-18:30 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro","10:00-14:00 / Centro de Cultura Antiguo Instituto. CCAI-Taller de teatro"
"2017","Club de Lectura Infantil 2017","1","CLI-CALZ","1","Club de Lectura Infantil de la Calzada (de 8 a 11 años)","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 12.00.00.000000 AM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Infantil","","","D","","15","0","0","0","","","","","18:00-20:00 / Centro Municipal Integrado Ateneo La Calzada-Biblioteca","",""
"2017","Club de Lectura Infantil 2017","1","CLI-CAMO","1","Club de Lectura Infantil de La Camocha (de 7 a 12 años)","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 06.00.00.000000 PM","31-DEC-17 07.30.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Infantil","","","D","","11","0","0","0","","","","","18:00-19:30 / Centro Municipal La Camocha-Biblioteca de La Camocha","",""
"2017","Club de Lectura Infantil 2017","1","CLI-GIJS","1","Club de Lectura Infantil de Gijón-Sur (de 8 a 11 años)","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 12.00.00.000000 AM","31-DEC-17 12.00.00.000000 AM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Infantil","","","D","","15","0","0","0","18:00-19:30 / Centro Municipal Integrado de Pumarín Gijón Sur-Biblioteca infantil","","","","","",""
"2017","Club de Lectura Infantil 2017","1","CPI-CAMO","1","Club de Pre-Lectura Infantil de La Camocha (de 4 a 6 años)","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 12.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Infantil","","","D","","9","0","0","0","","","","","18:00-19:30 / Centro Municipal La Camocha-Biblioteca de La Camocha","",""
"2017","Club de Lectura Infantil 2017","1","CLI-CONT","1","Club de Lectura Infantil de Contrueces (7 a 12 años)","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 06.00.00.000000 PM","31-DEC-17 11.59.00.000000 PM","23-DEC-16 01.38.00.000000 PM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Infantil","","","D","","15","1","1","0","","","","","18:00-19:30 / Centro Municipal Contrueces-Biblioteca de Contrueces","",""
"2017","Club de Lectura Juvenil 2017","1","CLJ-GIJS","1","Club de Lectura Juvenil  de Gijón-Sur","0","0","Clubs de Lectura en las bibliotecas municipales","01-JAN-17 06.00.00.000000 PM","31-DEC-17 11.59.00.000000 PM","23-DEC-16 09.00.00.000000 AM","31-DEC-17 11.59.00.000000 PM","Animación a la lectura","Club de Lectura","Plazas limitadas. Inscripción previa","Juvenil","","","D","","15","14","14","0","","","18:00-19:30 / Centro Municipal Integrado de Pumarín Gijón Sur-Biblioteca infantil","","","",""
