"AÑO","TITULO","FECHA_ELECCIONES","DISTRITO","SECCION","MESA","PARTIDO","NUM_VOTOS","PORCENTAJE"
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","Electores",1391,100
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","PSOE",286,
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","AP",524,
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","PCE",50,
1983,"Elecciones Autonómicas","08-MAY-83",1,1,"U","CDS",38,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","Electores",1202,100
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","PSOE",257,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","AP",515,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","PCE",27,
1983,"Elecciones Autonómicas","08-MAY-83",1,2,"U","CDS",49,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","Electores",765,100
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","PSOE",215,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","AP",215,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","PCE",32,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"A","CDS",29,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","Electores",769,100
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","PSOE",229,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","AP",284,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","PCE",31,
1983,"Elecciones Autonómicas","08-MAY-83",1,3,"B","CDS",25,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","Electores",1080,100
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","PSOE",222,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","AP",438,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","PCE",25,
1983,"Elecciones Autonómicas","08-MAY-83",1,4,"U","CDS",36,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","Electores",1262,100
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","PSOE",313,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","AP",496,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","PCE",35,
1983,"Elecciones Autonómicas","08-MAY-83",1,5,"U","CDS",26,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","Electores",1193,100
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","PSOE",293,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","AP",505,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","PCE",27,
1983,"Elecciones Autonómicas","08-MAY-83",1,6,"U","CDS",32,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Electores",866,100
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Blancos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Validos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","Nulos",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","PSOE",143,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","AP",398,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","PCE",10,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"A","CDS",19,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Electores",858,100
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Abstenciones",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Votantes",,
1983,"Elecciones Autonómicas","08-MAY-83",1,7,"B","Blancos",,
