titulo,categoria,convoca,plazo,resumen,boletin,contacto_y_telefono,correo_electronico,web
"V Atlas Trekking Solidario","Actividades","Viento Norte Sur","Hasta completar plazas","<p>La entidad Viento Norte Sur propone el V Atlas Trekking Solidario, Ruta de las Kasbahs – Valle de Ounila que permitirá disfrutar de la cultura bereber en estado puro y a su vez, se colaborará con la asociación local La Baraka donando material de primera necesidad.</p><ul><li><strong>Nº de participantes</strong>: 30 personas.</li><li><strong>Fechas:</strong>del 27 de diciembre de 2016 al 3 de enero de 2017.</li><li><strong>Participantes:</strong>mayores de 18 años (menores pueden ir acompañados por familiares).</li><li><strong>Nivel de Dificultad:</strong> Fácil. El itinerario no presenta dificultades técnicas.</li><li><strong>Plazo de inscripción:</strong> Del 5 de octubre hasta completar plazas.</li><li><strong>Inscripciones y pago:</strong> la petición de inscripción se solicita a <a href="mailto:info@vientonortesur.org" title="Enviar correo electrónico a info@vientonortesur.org">info@vientonortesur.org</a>. Una vez recibido el mail se enviará la ficha de inscripción en la que se detallará la forma de pago y la documentación obligatoria a adjuntar.</li><li><strong>Cuota de participación</strong>: 390 €. Incluye: Ferry de ida y vuelta (Almería – Melilla),bus español de ida y vuelta (Melilla – Ait Ben Haddou) y desplazamientos, Pensión completa en ruta a pie, Alojamiento en albergues y refugios en casas bereberes, guías y monitores especializados en la zona y hoja de ruta.</li></ul><p><a href="http://www.vientonortesur.org/wp-content/uploads/2016/10/1_Trekking-Atlas-A%C3%B1o_-Nuevo-2017_Viento-Norte-Sur.pdf" title="Ir a http://www.vientonortesur.org/wp-content/uploads/2016/10/1_Trekking-Atlas-A%C3%B1o_-Nuevo-2017_Viento-Norte-Sur.pdf" rel="external">Más información</a></p><p><strong>El plazo de inscripción está abierto desde el 5 de octubre hasta completar plazas.</strong></p><p><strong>La actividad tendrá lugar entre el 27 de diciembre de 2016 al 3 de enero de 2017.</strong></p>","","<p>Viento Norte Sur</p>  Tel: 630 68 30 08 / 636 38 51 76","<a href="mailto:info@vientonortesur.org" title="Enviar correo electrónico a info@vientonortesur.org">info@vientonortesur.org</a>","<a href="http://www.vientonortesur.org" title="Ir a www.vientonortesur.org" rel="external">www.vientonortesur.org</a>"
"Voluntariado en educación con gitanos. Oviedo","Actividades","Fundación Secretariado Gitano Oviedo","","La Fundación Secretariado Gitano en Oviedo busca  personas voluntarias para 2 de sus programas:<br/><br/><ul><li><b>Programa de Intervención Educativa:</b></li></ul><p><b>Funciones: </b>Apoyo escolar y apoyo en la ejecución de actividades extraescolares.</p><p><b>Lugar:</b> Centro Social de Ventanielles en Oviedo</p><p><b>Horario:</b> lunes y miércoles de 16:00 a 18:30 horas (posibilidad de acudir sólo 1 de los días)<br/></p><ul><li><b>Programa de Educación para adultos:</b></li></ul><p><b>Funciones: </b>Preparación e impartición de clases de castellano o alfabetización básica de personas adultas.<br/></p><p><b>Lugar: </b>Oficina de la fundación Secretariado gitano en Oviedo<br/></p><p><b>Horario:</b> mañanas o tardes según disponibilidad de la persona voluntaria dos horas a la semana.</p><p>Las personas interesadas pueden ponerse en contacto a través de email o teléfono de referencia.<br/></p>","","Fundación Secretariado Gitano<br/>C/ Llano Ponte, 11<br/>Oviedo Asturias<br/><br/>Teléfono: 985 11 69 58","<a href="mailto:sgoviedo@gitanos.org" title="Enviar correo electrónico a sgoviedo@gitanos.org">fsgoviedo@gitanos.org</a>","<a href="https://www.gitanos.org/asturias/oviedo/" title="Ir a https://www.gitanos.org/asturias/oviedo/" rel="external">https://www.gitanos.org/asturias/oviedo/</a>"
"Voluntariado Fundación Secretariado Gitano","Actividades","Fundación Secretariado Gitano","sin plazo","<p>La Fundación Secretariado Gitano busca personas voluntarias para incorporarse a sus Programas educativos en varios municipios de Asturias: Oviedo, Piedras Blancas, Salinas, Los Campos, Pravia, Soto del Barco y San Esteban de Pravia</p><p>Se trata de Programas de Intervención Educativa y Alfabetización de personas adultas, que se desarrollan en varios municipios.</p><p>Si estás interesado/a o quieres recibir más información, puedes escribir a las siguientes direcciones de correo electrónico <a href="mailto:fsgoviedo@gitanos.org" title="Enviar correo electrónico a fsgoviedo@gitanos.org"></a><a href="mailto:fsgoviedo@gitanos.org" title="Enviar correo electrónico a fsgoviedo@gitanos.org">fsgoviedo@gitanos.org</a> ó <a href="mailto:fsgaviles@gitanos.org" title="Enviar correo electrónico a fsgaviles@gitanos.org">fsgaviles@gitanos.org</a>, o bien contactar a través del teléfono o a través de los teléfonos 985 56 35 08 (Avilés) y 985 1169 58 (Oviedo).<strong></strong></p><p><strong>Consultar más información sobre la Fundación: en la web o el blog de referencia:</strong></p><p></p><p><a href="http://khetaneasturias.blogspot.com.es/"></a><a href="http://khetaneasturias.blogspot.com.es/" title="Ir a http://khetaneasturias.blogspot.com.es/" rel="external">http://khetaneasturias.blogspot.com.es/</a></p>","","<p><strong>Fundación Secretariado Gitano</strong></p>  <p>C/ Llano Ponte, 11. 33011 Oviedo (Asturias)</p>  <p>Tel.: 985 11 69 58</p>","<a href="mailto:fsgoviedo@gitanos.org " title="Enviar correo electrónico a fsgoviedo@gitanos.org ">fsgoviedo@gitanos.org</a>","<p><a href="https://www.gitanos.org/asturias/"></a><a href="https://www.gitanos.org/asturias/" title="Ir a https://www.gitanos.org/asturias/" rel="external">https://www.gitanos.org/asturias/</a></p>"
"Voluntariado para Cruz Roja Juventud","Actividades","Cruz Roja Juventud","","<strong>Cruz Roja Juventud </strong>necesita voluntariado para los <strong>Proyectos de Educación para la Salud y de Prevención de Conductas violentas en Adolescentes y Jóvenes.<br/><br/></strong>Se  desarrollarán unos talleres informativo-formativos y/o acciones de  sensibilización con motivo de la celebración de días conmemorativos  (mundiales o internacionales) en torno a las siguientes temáticas:<br/><br/><strong>Educación para la salud:</strong> Educación afectivo-sexual<br/><br/><ul><li>Hábitos alimenticios</li><li>Prevención VIH/SIDA</li></ul><p><strong>Prevención de Conductas Violentas en Adolescentes y Jóvenes:</strong>Violencia de Género</p><ul><li>Bullying y violencia a través de las Nuevas Tecnologías</li><li>Racismo y Xenofobia.</li><li>Discriminación por razón de identidad y/u orientación sexual</li></ul><p><strong>Destinatarios:</strong>jóvenes entre 18 y 30 años, con disponibilidad de mañanas y afinidad por el trato con adolescentes.<br/></p><p>Las  personas voluntarias recibirán la formación adecuada para llevar a cabo  la acción de voluntariado, que estará reconocida con créditos ECTS por  la Universidad de Oviedo.</p><p>Los interesados/as deben dirigirse a  las oficinas de Cruz Roja Juventud en Oviedo, contactar por teléfono o  bien remitir un email en la dirección de correo electrónico indicada  poniendo en el asunto: VOLUNTARIADO.</p>","","Cruz Roja Juventud<br/>C/ Martínez vigil, 36, 2ª Planta<br/>33010 Oviedo (Asturias)<br/><br/>Teléfono: 985 20 96 35","<a href="mailto:crjasturias@cruzroja.es" title="Enviar correo electrónico a crjasturias@cruzroja.es">crjasturias@cruzroja.es</a>","<a href="http://www.cruzrojajuventud.org" title="Ir a www.cruzrojajuventud.org" rel="external">www.cruzrojajuventud.org</a>"
"XI Encuentro "Voces por el Románico"","Actividades","Coro "Luis Quirós" - FMCE y UP","04/11/2017","<b>El Encuentro tendrá lugar los sábados 28 de octubre y 4 de noviembre</b>.  <p></p>  <p>En ambas jornadas <b>la actividad consistirá en una visita guiada por las iglesias rurales más representativas del románico gijonés, finalizando en una de ellas, en la que se celebrará un concierto coral.</b></p>  <p></p>  <ul><li><b>28 de octubre, Abadía de San Juan de Cenero</b>, con la participación del Coro &quot;Más que Jazz&quot; - Coro &quot;Luis Quirós&quot; que llevará a la cita un repertorio jazzístico, integrado por melodías clásicas.</li></ul>  <ul><li><b>4 de noviembre, Iglesia de San Vicente de Caldones</b>, participación del Coro de la &quot;Camerata Abulense&quot; - Coro &quot;Luis Quirós&quot;.</li></ul>    <p></p>  <p>Las visitas a las iglesias románica serán guiadas por Víctor Picallo y se partirá de la calle de Las Industrias.</p>  <p></p>  <p><b>Precio por visita guiada y concierto: 3€.</b></p>  <p></p>  <p><b>Reserva en el Ateneo de La Calzada, los martes y jueves, de 20:00 a 21:30 horas, aula 3.3</b></p>","","<p>Coro Luis Quirós&quot;</p>  <p>Ateneo La Calzada, 3ª planta</p>  <p>33212 La Calzada. Gijón</p>    Tel.: 617266353","",""
"Ciclo V.O.S.","Actividades",":Divertia/FICX","04/11/2017","<p>El ciclo VOS, está organizador por Divertia y el FestivalInternacional de Cine de Gijón (FICX)</p><p>Las proyeccionesserán todos los sábados desde el 7 de octubre al 4 de noviembre de 2017 a las20:30 horas en el Centro Municipal Integrado Gijón-Sur.</p><p>Películas:</p><ul><li>7 de octubre:  &quot;El jardín de Jeannette&quot;</li><li>14 de octubre:  &quot;Zoran, mi sobrino tonto&quot;</li><li>21 de octubre:  &quot;Laidea de un lago&quot;</li><li>28 de octubre: &quot;Cartasde la guerra&quot;</li><li>4 de noviembre: &quot;Juliaist&quot;</li></ul><p></p><p>Precio por película 4€</p><p>Venta anticipada:Taquillas del Teatro Jovellanos y en la webdel festival <a href="http://www.gijonfilmfestival.com/" title="Ir a http://www.gijonfilmfestival.com/" rel="external">http://www.gijonfilmfestival.com/</a></p><p>En el mismo día, taquilla del CMI Gijón-Sur, media hora antes de la película.</p><p>25% de descuento en taquilla con la tarjeta del Carné Joven</p>","<a href="http://www.gijonfilmfestival.com/multimedia_objects/download?object_id=218825&amp;object_type=document" title="Ir a http://www.gijonfilmfestival.com/multimedia_objects/download?object_id=218825&amp;object_type=document" rel="external">Programa</a>","<p>Centro Municipal Integrado Gijón-Sur</p>  <p>Ramón Areces, 7</p>  <p>3321 Gijón</p>    Tel.: 985 18 16 40","","<a href="http://www.gijonfilmfestival.com/ " title="Ir a http://www.gijonfilmfestival.com/ " rel="external">http://www.gijonfilmfestival.com/</a>"
"VII Mediu Güeyu Festival. El cine invade Rozaes","Actividades","Asociación Cultural Mediu Güeyu","04/11/2017","<p>El Festival de Cine Mediu Gu?eyu arranca su VII edición en el pueblu maliayo el <strong>sábado 4 con una programación de doce horas</strong> muy intensas cargadas de películas, cortometrajes, música y poesía, y buscando generar un debate profundo entre los asistentes entorno a lo que significa vivir en el medio rural.</p>  <p></p>  <p><strong>Programación</strong>:</p>  <p><b>Sábado 4:</b></p>  <ul>  <li>11:00 horas: <b>“Tic Tac”</b>. Película destinada al público infantil.  </li><li>Después recorrido oficial por el pueblo, amenizado por bandas  locales “Les Panderetes de Rozaes” y “Los Figueros”. Durante el mismo  también intervendrán los poetas Alba G., El Suarez y Fran Priegue; y el  artista perfomativo Rubén Fernández. Los cortos se proyectarán en bucle,  desde ese momento y hasta las seis de la tarde.  </li><li>14:00 horas: Concierto L-R, sesión vermú, seguido de una comida de traje  (yo traje ensalada, yo traje tortilla)  </li><li>18:00 horas: Concierto de Melanie Moers, seguido de la película  <b>“Amama”</b>. Posteriormente debate con el público.  </li><li>21:30 horas: Espicha en bar Casa Eladia de Rozaes. </li><li>23:00 horas: Cierre del Festival, con música, de la mano de Charles Lavigne<br/></li></ul>","<a href="https://www.facebook.com/mediu.gueyu/posts/1674496595957882" title="Ir a https://www.facebook.com/mediu.gueyu/posts/1674496595957882" rel="external">FACEBOOK</a>","","<a href="mailto:mediugueyu@gmail.com" title="Enviar correo electrónico a mediugueyu@gmail.com">mediugueyu@gmail.com</a>","<a href="http://www.comarcajoven.com/ " title="Ir a http://www.comarcajoven.com/ " rel="external">http://www.comarcajoven.com/</a>"
"Hornada de Cortos","Actividades","Conseyú de Mocedá de Xixón","4/11/2017","<p>El 21 de octubre y el 4 de noviembre, vuelve <strong>“Hornada de Cortos”</strong>, una iniciativa con la que se pretende contribuir a promocionar el trabajo realizado en nuestra región por jóvenes en el mundo del cine</p>  <p>A través de dos sesiones en la Biblioteca Pública Jovellanos, c/ Jovellanos, 23 de Gijón/Xixón, se proyectarán diferentes trabajos que abarcan desde el género de ciencia ficción, terror, animación….</p>  <p>Todas las sesiones se iniciarán a las 18:00 horas</p>  <p>Programa</p>  <p><strong><u>21 de octubre / Ciencia Ficción, Terror y Animación</u></strong></p>  <p><strong>Pelayo Junquera</strong></p>  <ul><li>Juez Dreed: Superfiend</li><li>Do not Fall New York City</li></ul>  <p><strong>Victor Arias</strong></p>  <ul><li>Los superheroes no pagan impuestos</li><li>Regreso a la tierra</li></ul>  <p><strong>Miguel Ángel Muñiz</strong></p>  <ul><li>Macabro</li><li>La sábia decepción</li></ul>  <p><strong>Marvin Tolentibo</strong></p>  <ul><li>Le port</li></ul>  <p><strong>Alberto Carpintero</strong></p>  <ul><li>City of Horror</li></ul>  <p><strong><u>4 de noviembre / …. y todo lo demás</u></strong></p>  <p><strong>Pablo Campillo</strong></p>  <ul><li>Per un pugno di Azioni</li></ul>  <p><strong>Alberto Rodríguez</strong></p>  <ul><li>La llamada</li></ul>  <p><strong>Rodrigo Menen</strong></p>  <ul><li>Una caja de cartón caliente</li></ul>  <p><strong>Miguel Ángel Muñiz</strong></p>  <ul><li>Pulsión</li></ul>  <p><strong><u>Ganadores del Concurso Rodando… .en La Laboral /2016</u></strong></p>  <p><strong>Joaquín R. Yañez + Pablo Turrero /Colectivo Paquintunez</strong></p>  <ul><li>Un día más</li></ul>  <p><strong>Miguel Ángel Muñiz</strong></p>  <ul><li>La oportunidad</li></ul>","","<p>Conseyu de Mocedá de Xixón</p>  <p>Avda. Manuel Llaneza, 68</p>  <p>Gijón</p>  Tel: 985 15 50 72","<a href="mailto:astragal@cmx.es" title="Enviar correo electrónico a astragal@cmx.es">astragal@cmx.es</a>","<a href="http://www.cmx.es/v_portal/apartados/apartado.asp" title="Ir a http://www.cmx.es/v_portal/apartados/apartado.asp" rel="external">http://www.cmx.es/v_portal/apartados/apartado.asp</a>"
"Líneas al Vuelo. Ilustración y diseño gráfico en Asturias, 1879 - 1937","Actividades","FMCE y UP","05/11/2017","Del 6 de julio al 5 de noviembre en la sala 2 del Centro de Cultura Antiguo Instituto.<br/><br/>Una exposición con 500 obras que recorren la ilustración y el diseño gráfico asturiano.<br/>Son muchas las obras y los autores destacados, trabajos de Mariano Moré, Eugenio Tamayo, Alejandro Sirio o Joaquín Vaquero Palacios.<br/><br/>La sala grande del Antiguo Instituto se rinde al diseño gráfico en una eclosión de imágenes que van mudando lenguajes es un viaje temporal en el que lommismo se crean hermosas postales, que etiquetas para el Anís Marichu, que portadas con las que alumbrar partitutas musicales.<br/><br/>Visitas comentadas los sábados a las 19:30 horas. (Actividad gratuita previa inscripción en <a href="mailto:museos@gijon.es" title="Enviar correo electrónico a museos@gijon.es">museos@gijon.es</a>)<br/><br/><p>Talleres infantiles los lunes de 11:30 a 13:30 h (excepto el 14 de agosto) (Actividad gratuita previa inscripción en <a href="mailto:museos@gijon.es"></a><a href="mailto:museos@gijon.es" title="Enviar correo electrónico a museos@gijon.es">museos@gijon.es</a>)</p>","","FMCE y UP<br/>Jovellanos, 21. 33201 Gijón<br/>Tel.: 985 18 10 01","<a href="mailto:ccai@gijon.es " title="Enviar correo electrónico a ccai@gijon.es "></a><a title="Enviar correo electrónico a ccai@gijon.es " href="mailto:ccai@gijon.es%20">ccai@gijon.es</a>","<a title="Ir a http://cultura.gijon.es" href="http://cultura.gijon.es/"></a><a href="http://cultura.gijon.es/" title="Ir a http://cultura.gijon.es/" rel="external">http://cultura.gijon.es</a>"
"XXXI Media Maratón Avilés Atlética Avilesina","Actividades","Asociación Atlética Avilesina","02/11/2017","<p>La Asociación Atlética Avilesina organiza el día 5 de noviembre la “<b>XXXI Media Maratón Atlética</b>”.</p><p>El recorrido es una distancia de 21.097 metros. La prueba, con salida y meta en la pista de atletismo del Complejo Deportivo Avilés en el Quirinal,comenzará a las 9:00 horas y el control de llegada se cerrará a las 11:30 horas.</p><p><strong>Participantes</strong></p><p>Tendrán acceso todos/as los/as atletas que lo deseen, mayores de 18 años, ya sean federados o no.</p><p><strong><a href="http://www.321go.es/evento/6113/" title="Ir a http://www.321go.es/evento/6113/" rel="external">Inscripciones</a></strong></p><ul><li>Se realizarán a través de la web <a href="http://www.321go.es" title="Ir a www.321go.es" rel="external">www.321go.es</a></li><li>El precio de inscripción: primeros 250 dorsales 10 €, 15€/participantes hasta el 30 de octubre y 25€/participante hasta el 2 de noviembre.</li><li>La asociación Atlética Avilesina, en colaboración la Caixa, donará 1€ por inscripción a la ONG Asociación Española Síndrome Sturge Weber</li></ul><p><strong>Premios</strong></p><ul><li>Los/as corredores/as inscritos/as, que se presenten a la prueba, recibirán un obsequio conmemorativo.</li><li>Los/as tres primeros/as clasificados/as de cada categoría recibirán un trofeo</li></ul><p><a href="http://www.321go.es/evento/6113/" title="Ir a http://www.321go.es/evento/6113/" rel="external">Reglamento</a></p><p><strong>El plazo de inscripción se cierra el 2 de noviembre a las 20 horas.</strong></p>","","<p>Asociación Atlética Avilesina</p>  <p>Tel: 985 56 32 58</p>","<a href="mailto:atlética@telecable.es" title="Enviar correo electrónico a atlética@telecable.es">atlética@telecable.es</a>","<a href="http://www.321go.es/evento/6113/" title="Ir a http://www.321go.es/evento/6113/" rel="external">http://www.321go.es/evento/6113/</a>"
