url,identificador,locale,fecha-actualizacion,nombre,logo-path,fecha-de-alta,actividad,web,correo-electronico-contacto,direccion,barrio,telefono,fax-o-telefono-2,categoria,ambito,tipo-de-entidad,correo-electronico
"http://distritos.gijon.es/asociacions/show/8706-asopeve-asturias-asoc-pensionistas-y-jubilados-de-venezuela","8706","es","2017-10-30 16:00:25 +0100","ASOPEVE-ASTURIAS ASOC. PENSIONISTAS Y JUBILADOS DE VENEZUELA","","2017-10-04","","","","CALLE MARQUES DE URQUIJO,   16 01 B","L' Arena","667646654","","SOCIAL","Municipal","Entidad sin animo de lucro","asopeveasturias@gmail.com"
"http://distritos.gijon.es/asociacions/show/8705-asociacion-de-empresarios-y-prop-del-poligono-de-mora-garay","8705","es","2017-10-30 16:00:29 +0100","ASOCIACION DE EMPRESARIOS Y PROP. DEL POLIGONO DE MORA-GARAY","","2017-10-02","","","","CALLE MARIE CURIE,    3 -5","Tremañes","985313783","","ECONOMICA/PROFESIONAL","Municipal","Entidad sin animo de lucro","info@moragaray.es"
"http://distritos.gijon.es/asociacions/show/8704-club-milicia-astur","8704","es","2017-10-30 16:00:25 +0100","CLUB MILICIA ASTUR","","2017-10-02","","","","AVDA GALICIA,   87 01 D","El Natahoyo","627670560","","DEPORTIVA","Municipal","Entidad sin animo de lucro","gijonnortenos@gmail.com"
"http://distritos.gijon.es/asociacions/show/8703-asociacion-cultural-happy-family","8703","es","2017-10-30 16:00:45 +0100","ASOCIACION CULTURAL HAPPY FAMILY","","2017-09-18","","","","CALLE PUERTO DE LEITARIEGOS,   13 02 B","El Poligono","984296769","666689769","CULTURAL","Municipal","Entidad sin animo de lucro","hookdanimari@hotmail.com"
"http://distritos.gijon.es/asociacions/show/8702-asoc-propietarios-y-empresarios-pg-lloreda-apellor","8702","es","2017-10-30 16:00:34 +0100","ASOC. PROPIETARIOS Y EMPRESARIOS PG. LLOREDA (APELLOR)","","2017-07-24","","","","CALLE MARIA DOLORES,   17 BAJ","El Llano","985397287","","ECONOMICA/PROFESIONAL","Municipal","Entidad sin animo de lucro","info@areasweb.com"
"http://distritos.gijon.es/asociacions/show/8701-asoc-propietarios-y-empresarios-pg-bankunion-1-abankuno","8701","es","2017-10-30 16:00:28 +0100","ASOC. PROPIETARIOS Y EMPRESARIOS PG. BANKUNION 1 (ABANKUNO)","","2017-07-24","","","","CALLE PINOS,   16","Tremañes","902830055","684600632","ECONOMICA/PROFESIONAL","Municipal","Entidad sin animo de lucro","info@areasweb.com"
"http://distritos.gijon.es/asociacions/show/8700-asociacion-del-poligono-de-los-campones-apocam","8700","es","2017-10-30 16:00:34 +0100","ASOCIACION DEL POLIGONO DE LOS CAMPONES (APOCAM)","","2017-07-24","","","","CALLE MARIA DOLORES,   17 BA","El Llano","902830055","","ECONOMICA/PROFESIONAL","Municipal","Entidad sin animo de lucro","sg@areasweb.com"
"http://distritos.gijon.es/asociacions/show/8699-asociacion-de-madres-y-padres-de-alumnos-c-p-el-llano","8699","es","2017-10-30 16:00:23 +0100","ASOCIACION DE MADRES Y PADRES DE ALUMNOS C.P. EL LLANO","","2017-05-19","","","","CALLE RIO DE ORO, 9999","El Llano","636629735","","EDUCATIVA","Municipal","Entidad sin animo de lucro","ampaelllanogijon@gmail.com"
"http://distritos.gijon.es/asociacions/show/8698-asociacion-deportiva-midgard","8698","es","2017-10-30 16:00:28 +0100","ASOCIACION DEPORTIVA MIDGARD","","2017-05-18","","","","CALLE SAN FRANCISCO DE ASIS,   22 BA","El Coto","606898371","","DEPORTIVA","Municipal","Entidad sin animo de lucro","jirg80@gmail.com"
"http://distritos.gijon.es/asociacions/show/8697-asoc-cultural-hijos-del-lobo","8697","es","2017-10-30 16:00:40 +0100","ASOC.CULTURAL HIJOS DEL LOBO","","2017-04-10","","","","CALLE RAMIRO I,   22 02 IZ","Ceares/Ciares","985164466","606898371","CULTURAL","Municipal","Entidad sin animo de lucro","jirg80@gmail.com"
