url,identificador,locale,send,nombre,telefono,fax,correo-electronico,web,horario,descripcion,direccion,localizacion,categorias,foto
"http://www.gijon.es/directorios/show/499-colegio-publico-tremanes","499","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Tremañes","985 322 468","985 322 468","tremanes@educastur.org","(Septiembre a Junio)Lunes a Viernes: 9:00-13:00h.Octubre a Mayo: 9:00-14:00h.Lunes:16:00-18:00h.","Jornada Continua: SíComedor: SíAsturiano: síOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Bazán, s/n.","43.53164 -5.699662","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/498-colegio-publico-severo-ochoa","498","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Severo Ochoa","985 383 854","985 383 854","severo@educastur.org","Lunes a Viernes: 9:00-14:00h. (Secretaría)Lunes,Martes,Jueves y Viernes:9:00-10:00h.","Jornada Continua: SíComedor: SíAsturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Río Eo, 46","43.52334 -5.674637","Colegios","http://www.gijon.es/data/images/f6/6458/280x210_v1_DirectorioeducacionSeverochoa.jpg"
"http://www.gijon.es/directorios/show/497-colegio-publico-santa-olaya","497","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Santa Olaya","985 325 656","985 325 656","santaola@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/La Peña, 41","43.540826 -5.687249","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6457/306x229_v1_Directorioeducacionsantaolaya.jpg"
"http://www.gijon.es/directorios/show/496-colegio-publico-rio-piles","496","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Río Piles","985 332 099","985 131 103","riopiles@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Primaria.","Paseo del Doctor Fleming, 1109","43.534806 -5.632851","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6456/318x183_v1_DirectorioeducacionCPRioPiles1.jpg"
"http://www.gijon.es/directorios/show/495-colegio-publico-rey-pelayo","495","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Rey Pelayo","985 389 289","985 143 099","reypelayo@educastur.org","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: SíAsturiano: síOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","Avda. de la Constitución, 57","43.532389 -5.670713","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/494-la-escuelona","494","es","fecha-actualizacion2015-02-12 12:07:14 +0100","La Escuelona","985 389 332","985 389 332","<a href="http://laescuelona@educastur.org" title="Ir a laescuelona@educastur.org" rel="external">laescuelona@educastur.org</a>","Lunes a Viernes: 9:00-14:00h.","Jornada Continua: SíComedor: SíAsturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Saavedra, 69","43.530979 -5.664418","Colegios, 2010, Gijón, Educación","http://www.gijon.es/data/images/f6/6455/280x210_v1_DirectorioeducacionMpidal.jpg"
"http://www.gijon.es/directorios/show/493-colegio-publico-ramon-de-campoamor","493","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Ramón de Campoamor","985 195 954","985 195 334","ramondec@educastur.org","Lunes a Viernes: 9:00-14:00h. (Secretaría)Lunes,Martes,Jueves y Viernes:13:05-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","C/Calderón de la Barca, 8","43.53402 -5.651795","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6454/280x210_v1_Directorioeducacioncampoamor.jpg"
"http://www.gijon.es/directorios/show/492-colegio-publico-principe-de-asturias","492","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Príncipe de Asturias","985 322 677","985 322 212","principe@educastur.org","Lunes a Viernes: 9:00-14:00h. Las tardes abierto.","Jornada Continua: SíComedor: SíAsturiano: Sí Oferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","Avda. de la Argentina, 35","43.539191 -5.696092","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6453/300x202_v1_DirectorioeducacioncolegioPrincipeDeAsturias.jpg"
"http://www.gijon.es/directorios/show/491-colegio-publico-porceyo-escuela-unitaria","491","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Porceyo(escuela unitaria)","985 167 803","casares@educastur.org","Jornada Continua:si. Comedor:no.Asturiano:no.Oferta Formativa:EI-2","Porceyo, Casares","43.498719 -5.712881","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/490-colegio-publico-pinzales-escuela-unitaria","490","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Pinzales(escuela unitaria)","985 167 711","985 167 711","pinzales@educastur.org","Jornada Continua: Sí Comedor: NoAsturiano: NoOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","La Rebollada,Cenero","43.482178 -5.718649","Colegios, 2010, Gijón"
"http://www.gijon.es/directorios/show/488-colegio-publico-noega","488","es","fecha-actualizacion2014-01-22 12:02:32 +0100","Colegio Público Noega","985 389 190","985 140 304","noega@educastur.org","Lunes a Viernes:9:00-14:00h. (Secretaría)Lunes a Jueves: 13:00-14:00h.","Jornada Continua: SíComedor: Sí (Ayto.)Asturiano: SíOferta Formativa:   -Educación Infantil de 2º ciclo.   -Educación Primaria.","Ctra. del Obispo, 96","43.516957 -5.663758","Colegios, 2010, Gijón","http://www.gijon.es/data/images/f6/6451/280x210_v1_Directorioeducacionnoega.jpg"
