"Codi_Carrer";"Codi_Tipus_Via";"Nexe";"Nom_carrer";"Nom_complert"
"0001";"CR";"de l'";"11 de Setembre";"Carrer de l'11 de Setembre"
"0002";"AV";"del";"20 de Juny";"Avinguda del 20 de Juny"
"0003";"CR";"del";"8 de Juliol de 1809";"Carrer del 8 de Juliol de 1809"
"0004";"CR";"de";"Baix";"Carrer de Baix"
"0005";"CR";"de l'";"Abat Escarré";"Carrer de l'Abat Escarré"
"0006";"CR";"dels";"Abeuradors";"Carrer dels Abeuradors"
"0007";"CR";"de l'";"Acàcia";"Carrer de l'Acàcia"
"0008";"CR";"d'";"Enric Adroher i Pascual";"Carrer d'Enric Adroher i Pascual"
"0009";"CR";"de les";"Agudes";"Carrer de les Agudes"
"0010";"CR";"de";"Josep Aguilera i Martí";"Carrer de Josep Aguilera i Martí"
"0011";"CR";"d'";"Agustí Riera i Pau";"Carrer d'Agustí Riera i Pau"
"0012";"CR";"d'";"Alacant";"Carrer d'Alacant"
"0013";"CR";"d'";"Albacete";"Carrer d'Albacete"
"0014";"CR";"de l'";"Albereda";"Carrer de l'Albereda"
"0015";"CR";"d'";"Albí";"Carrer d'Albí"
"0016";"CR";"dels";"Alemanys";"Carrer dels Alemanys"
"0017";"CR";"de";"Valentí Almirall i Llozer";"Carrer de Valentí Almirall i Llozer"
"0018";"CR";"dels";"Almogàvers";"Carrer dels Almogàvers"
"0019";"CR";"dels";"Alps";"Carrer dels Alps"
"0021";"AV";"de";"Mariano Álvarez de Castro";"Avinguda de Mariano Álvarez de Castro"
"0022";"CR";"d'";"Andalusia";"Carrer d'Andalusia"
"0023";"PL";"d'";"Andalusia";"Plaça d'Andalusia"
"0024";"CR";"d'";"Andreu Tuyet i Santamaria";"Carrer d'Andreu Tuyet i Santamaria"
"0025";"CR";"de l'";"Aneto";"Carrer de l'Aneto"
"0026";"PL";"de l'";"Aneto";"Plaça de l'Aneto"
"0027";"CR";"de l'";"Àngel";"Carrer de l'Àngel"
"0028";"CR";"d'";"Àngela Bivern i Puig";"Carrer d'Àngela Bivern i Puig"
"0029";"CR";"d'";"Anselm Clavé i Camps";"Carrer d'Anselm Clavé i Camps"
"0030";"CR";"d'";"Antic Roca";"Carrer d'Antic Roca"
"0031";"CT";"";"Antiga d'Amer";"Carretera Antiga d'Amer"
"0032";"CR";"d'";"Anton Agullana";"Carrer d'Anton Agullana"
"0033";"CR";"d'";"Aragó";"Carrer d'Aragó"
"0035";"CR";"de l'";"Arc";"Carrer de l'Arc"
"0036";"CR";"de l'";"Argenteria";"Carrer de l'Argenteria"
"0037";"CR";"de";"Guillem Bofill";"Carrer de Guillem Bofill"
"0038";"CR";"dels";"Artillers";"Carrer dels Artillers"
"0039";"PL";"de l'";"Assumpció";"Plaça de l'Assumpció"
"0040";"CR";"d'";"Astúries";"Carrer d'Astúries"
"0041";"CR";"de l'";"Atlàntida";"Carrer de l'Atlàntida"
"0042";"CR";"de l'";"Auriga";"Carrer de l'Auriga"
"0043";"TR";"de l'";"Auriga";"Travessia de l'Auriga"
"0044";"CR";"de l'";"Avellaner";"Carrer de l'Avellaner"
"0045";"CR";"de l'";"Avi Xaxu";"Carrer de l'Avi Xaxu"
"0046";"CR";"de";"Bernat Bacià";"Carrer de Bernat Bacià"
"0047";"CR";"de";"Bailèn";"Carrer de Bailèn"
"0048";"CR";"del";"Balandrau";"Carrer del Balandrau"
"0049";"PT";"del";"Balandrau";"Passatge del Balandrau"
"0050";"CR";"de les";"Illes Balears";"Carrer de les Illes Balears"
"0051";"CR";"de les";"Ballesteries";"Carrer de les Ballesteries"
"0052";"CR";"de";"Jaume Balmes";"Carrer de Jaume Balmes"
"0053";"CR";"del";"Baluard";"Carrer del Baluard"
"0054";"CR";"dels";"Banyoles";"Carrer dels Banyoles"
"0055";"CR";"de la";"Barca";"Carrer de la Barca"
"0056";"CR";"de";"Barcelona";"Carrer de Barcelona"
"0057";"CR";"del";"Barranc";"Carrer del Barranc"
"0058";"PJ";"de la";"Barrufa";"Pujada de la Barrufa"
"0059";"CR";"de la";"Riera Bascanella";"Carrer de la Riera Bascanella"
"0060";"CR";"del";"Bassegoda";"Carrer del Bassegoda"
"0061";"CR";"de";"Bastiments";"Carrer de Bastiments"
"0062";"CR";"de";"Lluís Batlle i Prats";"Carrer de Lluís Batlle i Prats"
"0063";"CR";"de les";"Beates";"Carrer de les Beates"
"0064";"PL";"dels";"Bell-lloc";"Plaça dels Bell-lloc"
"0065";"CR";"de";"Bellmirall";"Carrer de Bellmirall"
"0066";"CR";"del";"Bellaire";"Carrer del Bellaire"
"0067";"CR";"de la";"Bellavista";"Carrer de la Bellavista"
"0068";"CR";"del";"Bellpuig";"Carrer del Bellpuig"
"0069";"CR";"de";"Berenguer Carnicer";"Carrer de Berenguer Carnicer"
"0070";"CR";"de";"Berenguer de Palol";"Carrer de Berenguer de Palol"
"0071";"CR";"de";"Bernat Boades";"Carrer de Bernat Boades"
"0072";"CR";"de";"Bilbao";"Carrer de Bilbao"
"0073";"CR";"de";"Bisbe Cartañà";"Carrer de Bisbe Cartañà"
"0074";"CR";"de";"Tomás de Lorenzana";"Carrer de Tomás de Lorenzana"
"0075";"CR";"de";"Bisbe Sivilla";"Carrer de Bisbe Sivilla"
"0076";"CR";"de";"Bluefields";"Carrer de Bluefields"
"0077";"CR";"de";"Carles de Bolós";"Carrer de Carles de Bolós"
"0078";"CR";"de";"Bonastruc de Porta";"Carrer de Bonastruc de Porta"
"0079";"CR";"de";"Bonaventura Carreras";"Carrer de Bonaventura Carreras i Peralta"
"0080";"CR";"de";"Lluís Borrassà";"Carrer de Lluís Borrassà"
"0081";"JA";"d'";"Ignasi Bosch i Reitg";"Jardins d'Ignasi Bosch i Reitg"
"0082";"CR";"del";"Bosquet";"Carrer del Bosquet"
"0083";"CR";"del";"Bou d'Or";"Carrer del Bou d'Or"
"0084";"CR";"de";"Bru Barnoya i Xiberta";"Carrer de Bru Barnoya i Xiberta"
"0086";"CR";"de la";"Riera Bullidors";"Carrer de la Riera Bullidors"
"0087";"CR";"del";"Cadí";"Carrer del Cadí"
"0088";"CR";"dels";"Calderers";"Carrer dels Calderers"
"0089";"PL";"de";"Calvet i Rubalcaba";"Plaça de Francesc Calvet i Rubalcaba"
"0090";"CR";"del";"Camp d'Or";"Carrer del Camp d'Or"
"0091";"CR";"del";"Camp de la Bateria";"Carrer del Camp de la Bateria"
"0092";"CR";"del";"Camp de la Plana";"Carrer del Camp de la Plana"
"0093";"CR";"del";"Camp de les Lloses";"Carrer del Camp de les Lloses"
"0094";"CR";"del";"Camp Gurnau";"Carrer del Camp Gurnau"
"0095";"CR";"de";"Campcardós";"Carrer de Campcardós"
"0096";"PT";"de";"Campcardós";"Passatge de Campcardós"
"0099";"DI";"de";"Campdorà";"Disseminat de Campdorà"
"0101";"CR";"de";"Can Llobet";"Carrer de Can Llobet"
"0102";"CR";"de";"Can Massa";"Carrer de Can Massa"
"0103";"CR";"de";"Can Prunell";"Carrer de Can Prunell"
"0104";"CR";"de";"Can Sopa";"Carrer de Can Sopa"
"0105";"CR";"de";"Can Sunyer";"Carrer de Can Sunyer"
"0106";"CR";"de";"Can Sureda";"Carrer de Can Sureda"
