"Concepte";"2016";"2015";"2014";"2013";"2012";"2011";"2010";"2009";"2008";"2007"
"Capital viu ";"54.757.824,62";"52.380.881,63";"52.433.571,57";"53.683.326,97";"54.567.394,53";"55.004.883,64";"54.748.272,51";"56.499.251,28";"55.454.691,24";"56.052.274,00"
"Capitals avalats ";"3.779.271,42";"4.625.540,20";"5.084.299,94";"7.110.523,93";"7.826.412,89";"8.878.153,66";"8.962.874,08";"7.226.516,00";"5.202.956,00";"5.724.795,00"
"Operacions a curt termini ";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"Devolució PIE 2008";"939.046,44";"999.152,50";"1.021.792,29";"1.173.550,41";"1.264.561,14";"1.517.473,37";"1.896.841,71";"0,00";"0,00";"0,00"
"Devolució PIE 2009";"3.729.885,00";"3.981.041,00";"4.269.652,23";"4.873.826,79";"5.236.181,71";"6.041.748,13";"6.041.748,13";"0,00";"0,00";"0,00"
"Devolució PIE 2013";"0,00";"991.365,00";"-";"-";"-";"-";"-";"-";"-";"-"
"Endeutament";"58.537.096,04";"57.006.421,83";"57.517.871,51";"60.793.850,90";"62.393.807,42";"71.442.258,80";"65.607.988,30";"63.725.767,28";"60.657.647,24";"61.777.069,00"
"Ingressos corrents computables";"111.025.668,30";"113.616.117,40";"110.411.994,48";"101.889.209,80";"100.005.886,83";"106.579.173,33";"105.628.255,61";"113.127.854,98";"101.962.935,56";"106.275.766,34"
"Ingressos impostos directes";"47.585.794,38";"46.676.064,25";"46.224.070,16";"46.311.066,69";"45.575.718,31";"43.348.658,95";"43.034.123,07";"42.920.911,97";"40.875.375,65";"38.064.135,18"
"Ingressos impostos indirectes";"4.125.825,89";"3.761.370,78";"3.156.301,21";"3.082.145,37";"3.418.063,60";"3.987.737,85";"4.904.150,49";"5.170.437,22";"7.010.773,24";"6.724.536,50"
"Taxes i altres ingressos";"28.791.963,29";"30.311.585,87";"26.992.032,52";"27.667.792,88";"28.504.541,21";"29.146.482,31";"31.144.928,29";"26.442.547,70";"34.295.797,53";"24.547.602,07"
"Ingressos transferències corrents";"28.884.988,52";"30.357.834,88";"28.134.990,15";"26.719.157,98";"24.841.188,25";"27.759.470,32";"30.636.269,86";"37.709.214,83";"28.868.000,00";"28.424.620,80"
"Ingressos patrimonials";"1.637.096,22";"2.509.261,62";"5.904.600,44";"3.127.299,75";"2.672.896,49";"2.816.429,29";"2.485.137,88";"2.779.744,26";"2.399.995,14";"11.442.473,79"
"Ingressos afectats operacions capital 
i/o no recurrents";"0,00";"0,00";"0,00";"0,00";"-1.118.422,54";"0,00";"-6.576.353,98";"-1.895.001,00";"-11.487.006,00";"-2.927.602,00"
"Ingressos afectats legalment";"0,00";"0,00";"0,00";"0,00";"-28.457,32";"-479.605,39";"0,00";"0,00";"0,00";"0,00"
"Ingressos no recurrents";"-6.399.148,71";"0,00";"-6.454.263,77";"-5.018.252,87";"-3.859.641,17";"0,00";"0,00";"0,00";"0,00";"0,00"
"Index endeutament";"0,53";"0,50";"0,52";"0,60";"0,62";"0,67";"0,62";"0,56";"0,59";"0,58"
