"Entitat";"Economica";"Descripcio";"Previsions inicials";"Total Modificacions";"Previsions totals"
"OA Patronat Call de Girona";"400";"APORTACIÓ AJUNTAMENT DE GIRONA";"264.600,00";"7.412,80";"272.012,80"
"OA Patronat Call de Girona";"362";"CURSOS I SERVEIS CULTURALS";"15.000,00";"0,00";"15.000,00"
"OA Patronat Call de Girona";"361";"ENTRADES";"75.000,00";"864,74";"75.864,74"
"OA Patronat Call de Girona";"360";"VENTA DE MATERIAL I PUBLICACIONS  - BOTIGA";"3.000,00";"0,00";"3.000,00"
"OA Patronat Call de Girona";"389";"REINTEGRAMENTS";"0,00";"0,00";"0,00"
"OA Patronat Call de Girona";"399";"ALTRES INGRESSOS DIVERSOS";"0,00";"40.355,11";"40.355,11"
"OA Patronat Call de Girona";"401";"CONVENI MUSEU D'HISTÒRIA";"8.924,94";"8.000,00";"16.924,94"
"OA Patronat Call de Girona";"450";"GENERALITAT DE CATALUNYA";"7.000,00";"0,00";"7.000,00"
"OA Patronat Call de Girona";"45001";"GENERALITAT DE CATALUNYA ANY 2015";"0,00";"0,00";"0,00"
"OA Patronat Call de Girona";"461";"DIPUTACIÓ DE GIRONA";"45.000,00";"0,00";"45.000,00"
"OA Patronat Call de Girona";"46101";"DIPUTACIÓ GIRONA- XARXA MUSEUS";"20.000,00";"0,00";"20.000,00"
"OA Patronat Call de Girona";"480";"APORTACIONS DE PARTICULARS - ALTRES";"5.000,00";"0,00";"5.000,00"
"OA Patronat Call de Girona";"87000";"ROMANENTS INCORPORATS";"0,00";"12.875,96";"12.875,96"
"OA Patronat Call de Girona";"87010";"ROMANENTS INCORPORATS";"0,00";"0,00";"0,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"46207";"ALTRES AJUNTAMENTS";"5.000,00";"0,00";"5.000,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"83000";"CREDITS CURT TERMINI";"0,00";"3.323,84";"3.323,84"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"48001";"CREU ROJA";"6.000,00";"0,00";"6.000,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"48002";"CARITES DIOCESANA";"7.000,00";"0,00";"7.000,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"46100";"TRANSF DIPUTACIO DE GIRONA";"180.000,00";"0,00";"180.000,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"48000";"DONATIUS";"7.600,00";"0,00";"7.600,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"45002";"TRANSF GENERALITAT";"120.000,00";"0,00";"120.000,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"46201";"AJUNTAMENT DE GIRONA";"780.000,00";"724,52";"780.724,52"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"48003";"SECRETARIA D'HABITATGE";"3.600,00";"0,00";"3.600,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"520";"INTERESSOS DE DIPÒSITS";"0,00";"0,00";"0,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"510";"INTERESSOS PRÉSTECS CONCEDITS";"0,00";"0,00";"0,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"46203";"AJUNTAMENT DE SALT";"33.000,00";"0,00";"33.000,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"34100";"USUARIS";"16.000,00";"0,00";"16.000,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"48004";"FUNDACIO TOMAS LORENZANA";"14.000,00";"0,00";"14.000,00"
"Centre d'Acolliment i Serveis Socials ""La Sopa""";"87000";"ROMANENTS DE CRÈDIT";"0,00";"57.396,87";"57.396,87"
"Fundació Auditori Palau de Congressos";"39901";"ALTRES INGRESSOS";"35.000,00";"0,00";"35.000,00"
"Fundació Auditori Palau de Congressos";"36091";"INSCRIPCIONS CONGRÉS ICCA 2014";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"36000";"INGRESSOS TAQUILLA";"160.000,00";"0,00";"160.000,00"
"Fundació Auditori Palau de Congressos";"54100";"INGRESSOS LLOGUERS ESPAIS - ACTIV. CONGRESSUAL";"200.000,00";"0,00";"200.000,00"
"Fundació Auditori Palau de Congressos";"36001";"INGRESSOS PER PROGRAMACIÓ A TAQUILLATGE";"0,00";"130.810,57";"130.810,57"
"Fundació Auditori Palau de Congressos";"36002";"PARTICIPACIÓ EN TAQUILLATGES DE PROMOTORS EXTERNS";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"36003";"INGRESSOS PER GESTIO VENDA WEB";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"36004";"INGRESSOS TAQUILLA NITS DE CLASSICA";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"36005";"INGRESSOS COPRODUCCIONS";"4.000,00";"-4.000,00";"0,00"
"Fundació Auditori Palau de Congressos";"36080";"CONCERTS ESCOLARS - AUDITORI OBERT";"16.000,00";"4.000,00";"20.000,00"
"Fundació Auditori Palau de Congressos";"38900";"REINTEGRAMENT EXERCICIS TANCATS";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"38901";"ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"39800";"INDEMNITZACIONS";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"39902";"INTERCANVIS PUBLICITARIS NITS DE CLÀSSICA";"0,00";"8.025,00";"8.025,00"
"Fundació Auditori Palau de Congressos";"39903";"INTERCANVI PUBLICITARI - PROG ESTABLE";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"45500";"GENERALITAT DE CATALUNYA";"100.000,00";"0,00";"100.000,00"
"Fundació Auditori Palau de Congressos";"46100";"DIPUTACIÓ DE GIRONA";"125.000,00";"0,00";"125.000,00"
"Fundació Auditori Palau de Congressos";"46101";"DIPUTACIÓ DE GIRONA - SUBVENCIONS";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"46200";"AJUNTAMENT DE GIRONA";"890.000,00";"-45.000,00";"845.000,00"
"Fundació Auditori Palau de Congressos";"46201";"CONVENI AJUNTAMENT REL. INSTITUCIONALS I PROTOCOL";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"46202";"APORTACIO AJUNTAMENT - SUPORT ORQUESTRES";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"46203";"APORTACIO AJUNTAMENT SUPORT ALTRES PROJECTES";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"46204";"AJUNTAMENT DE GIRONA - APORTACIÓ PER A ACCIONS COMERCIALS";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"46205";"APORTACIO AJUNTAMENT - CONVENI DAMM";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"46206";"SUBVENCIO GENERALITAT";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"46209";"APORTACIÓ AJUNTAMENT EXTRA - PAGA 2012";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"48000";"APORTACIO PATRONS";"187.000,00";"45.000,00";"232.000,00"
"Fundació Auditori Palau de Congressos";"48001";"COL·LABORACIONS, MECENATGES I PATROCINIS";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"48002";"INTERCANVIS PUBLICITARIS NITS DE CLASSICA";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"48003";"INTERCANVIS PUBLICITARIS PROG ESTABLE";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"48004";"APORTACIÓ LA VANGUARDIA - CONVENI";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"48005";"APORTACIO LA VANGUARDIA 2011 - PUBLICITAT";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"52000";"INTERESSOS DE DIPÒSITS.";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"54101";"INGRESSOS SERVEIS  - ACTIV. CONGRESSUAL";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"54102";"INGRESSOS ESPAIS I INSTAL·LACIONS ESPECIALS";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"54103";"INGRESSOS LLOGUERS ESPAIS - ACTIV. MUSICAL";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"54104";"INGRESSOS SERVEIS  - ACTIV.MUSICAL";"0,00";"0,00";"0,00"
"Fundació Auditori Palau de Congressos";"54111";"SERVEIS VIGILÀNCIA - ACTES DE TERCERS";"0,00";"20.062,76";"20.062,76"
"Fundació Auditori Palau de Congressos";"54112";"SERVEIS PERSONAL DE SALA - ACTES DE TERCERS";"0,00";"52.183,53";"52.183,53"
"Fundació Auditori Palau de Congressos";"54113";"SERVEIS TÈCNICS - ACTES DE TERCERS";"0,00";"88.619,34";"88.619,34"
"Fundació Auditori Palau de Congressos";"54114";"LLOGUERS TÈCNICS - ACTES DE TERCERS";"0,00";"52.719,09";"52.719,09"
"Fundació Auditori Palau de Congressos";"54115";"ALTRES DESPESES - ACTES DE TERCERS";"0,00";"3.286,45";"3.286,45"
