"Codi";"Nom";"Tipus";"Adreça";"Web";"utm_x_etrs89";"utm_y_etrs89";"lon";"lat";""
"CF1";"Estadi Municipal de Montilivi";"CAMP FUTBOL";"Av. Montilivi, 141";"http://www.girona.cat/visorgis/esports/index.html";"485.767,32";"4.645.475,96";"2,82824495";"41,96113170"
"CF2";"Camp de Futbol Germans Sàbat";"CAMP FUTBOL";"Grup Gns. Sàbat, 255";"http://www.girona.cat/visorgis/esports/index.html";"483.694,71";"4.649.615,04";"2,80311457";"41,99837906"
"CF3";"Camp de Futbol Fontajau";"CAMP FUTBOL";"Av. l'Amical Mauthausen, 26";"http://www.girona.cat/visorgis/esports/index.html";"484.796,20";"4.649.198,25";"2,81643130";"41,99464535"
"CF4";"Camp de Futbol Can Gibert";"CAMP FUTBOL";"C. Enric Marquès i Ribalta, 1A";"http://www.girona.cat/visorgis/esports/index.html";"483.833,81";"4.646.480,49";"2,80487914";"41,97014611"
"CF5";"Camp de Futbol Vila-roja";"CAMP FUTBOL";"Grup Vila-roja, 181";"http://www.girona.cat/visorgis/esports/index.html";"487.201,84";"4.646.582,14";"2,84552543";"41,97112668"
"CF6";"Camp Futbol Pont Major";"CAMP FUTBOL";"C. Port Lligat, 7";"http://www.girona.cat/visorgis/esports/index.html";"485.272,60";"4.650.962,09";"2,82213412";"42,01054207"
"CF7";"Camp de Futbol Torres De Palau";"CAMP FUTBOL";"Av. Montilivi, 151";"http://www.girona.cat/visorgis/esports/index.html";"485.575,90";"4.644.999,77";"2,82593969";"41,95684102"
"FT1";"Zona Esp. Devesa. Pistes de Tennis i Pàdel";"TENNIS I PÀDEL";"Pg. Devesa, 38";"http://www.girona.cat/visorgis/esports/index.html";"484.480,44";"4.648.264,61";"2,81264070";"41,98622699"
"PA1";"Pavelló de Fontajau";"PAVELLÓ";"Av. Josep Tarradellas, 22-24";"http://www.girona.cat/visorgis/esports/index.html";"484.301,23";"4.648.765,14";"2,81046642";"41,99073577"
"PA2";"Complex Esportiu Palau - Pavelló";"PAVELLÓ";"C. Josep Aguilera, 2 i 4";"http://www.girona.cat/visorgis/esports/index.html";"485.070,24";"4.645.835,37";"2,81982489";"41,96436121"
"PA3";"Pavelló Santa Eugènia";"PAVELLÓ";"Pg. d'Olot, 41";"http://www.girona.cat/visorgis/esports/index.html";"484.098,80";"4.647.114,71";"2,80806028";"41,97586173"
"PA4";"Pavelló Vila-roja";"PAVELLÓ";"C. Aurora Bertrana, 35";"http://www.girona.cat/visorgis/esports/index.html";"486.877,06";"4.646.690,46";"2,84161259";"41,97209408"
"PA5";"Pavelló Municipal de Pont Major";"PAVELLÓ";"C. Port Lligat, 5";"http://www.girona.cat/visorgis/esports/index.html";"485.256,31";"4.650.900,16";"2,82194245";"42,00998337"
"PA6";"Pavelló Municipal Palau 2";"PAVELLÓ";"C. Josep Aguilera, 2 ";"http://www.girona.cat/visorgis/esports/index.html";"485.001,25";"4.645.887,59";"2,81899088";"41,96482825"
"PA7";"Pavelló Municipal Santa Eugènia-Montfalgars";"PAVELLÓ";"C. Enric Marquès Ribalta, 12";"http://www.girona.cat/visorgis/esports/index.html";"483.602,46";"4.646.709,37";"2,80208481";"41,97220387"
"PB1";"Pista de Botxes La Devesa";"PISTA DE BOTXES";"Pg. Devesa";"http://www.girona.cat/visorgis/esports/index.html";"485.123,22";"4.648.421,98";"2,82039906";"41,98765344"
"PC1";"Pista de petanca Fontajau";"PISTA DE PETANCA";"Av. Fontajau";"http://www.girona.cat/visorgis/esports/index.html";"484.859,16";"4.648.825,46";"2,81720156";"41,99128709"
"PC10";"Pista de petanca Vila-roja";"PISTA DE PETANCA";"C. Germans Lumière";"http://www.girona.cat/visorgis/esports/index.html";"486.831,00";"4.646.716,13";"2,84105681";"41,97232748"
"PC2";"Pista de petanca Taialà";"PISTA DE PETANCA";"C. Josep M. Prat";"http://www.girona.cat/visorgis/esports/index.html";"483.707,64";"4.649.366,50";"2,80327845";"41,99613669"
"PC3";"Pista de petanca Pont Major";"PISTA DE PETANCA";"C. Port Lligat";"http://www.girona.cat/visorgis/esports/index.html";"485.319,78";"4.650.934,75";"2,82270242";"42,01029077"
"PC4";"Pista de petanca Grup Sant Daniel";"PISTA DE PETANCA";"C. Hortènsia";"http://www.girona.cat/visorgis/esports/index.html";"486.640,00";"4.646.815,00";"2,83874930";"41,97321593"
"PC5";"Pista de petanca Montilivi";"PISTA DE PETANCA";"Pl. George Orwell";"http://www.girona.cat/visorgis/esports/index.html";"485.834,77";"4.646.797,72";"2,82902163";"41,97303973"
"PC6";"Pista de petanca Sant Pau";"PISTA DE PETANCA";"C. Narcís Blanch";"http://www.girona.cat/visorgis/esports/index.html";"484.964,90";"4.646.497,80";"2,81852877";"41,97032161"
"PC7";"Pista de petanca Can Gibert";"PISTA DE PETANCA";"Pl. Pere Calders";"http://www.girona.cat/visorgis/esports/index.html";"483.992,00";"4.646.820,00";"2,80678886";"41,97321162"
"PC8";"Pista de petanca Santa Eugènia";"PISTA DE PETANCA";"Pl. Santa Eugènia";"http://www.girona.cat/visorgis/esports/index.html";"483.699,59";"4.647.182,34";"2,80324243";"41,97646603"
"PC9";"Pista de petanca Parc de Domeny";"PISTA DE PETANCA";"C. Roberto Bolaño ";"http://www.girona.cat/visorgis/esports/index.html";"484.031,37";"4.648.625,63";"2,80721054";"41,98946941"
"PE1";"Pista esportiva Col·legi Campdorà";"PISTA ESPORTIVA";"Disseminat de Campdorà, 57A";"http://www.girona.cat/visorgis/esports/index.html";"486.553,68";"4.652.432,67";"2,83757064";"42,02380471"
