"Orgànica";"Econòmica";"Descripció";"Previsions inicials";"Augments de previsions inicials";"Disminució de previsions inicials";"Total Modificacions";"Previsions totals";"Compromisos concertats";"Compromisos realitzats";"Compromisos pendents de realització";"Drets reconeguts totals";"% de realització del pressupost";"Drets anul·lats";"Drets reconeguts nets";"Drets recaptats";"Recaptació líquida"
"100";"32502";"SERVEIS ALCALDIA";"0,00";"9.915,84";"0,00";"9.915,84";"9.915,84";"0,00";"0,00";"0,00";"13.932,34";"140,51";"0,00";"13.932,34";"13.932,34";"13.932,34"
"100";"34900";"ACTIVITATS COMUNICACIÓ";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"100";"46100";"TRANSFER. DIPUTACIÓ  - PRESIDÈNCIA";"0,00";"2.370,00";"0,00";"2.370,00";"2.370,00";"0,00";"0,00";"0,00";"2.370,00";"100,00";"0,00";"2.370,00";"2.370,00";"2.370,00"
"100";"48300";"TRANS. DE PARTICULARS - PRESIDÈNCIA";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"12.000,00";"0,00";"12.000,00";"0,00";"12.000,00";"0,00"
"100";"49000";"TRANSFERENCIES EXTERIOR";"0,00";"10.000,00";"0,00";"10.000,00";"10.000,00";"0,00";"0,00";"0,00";"10.678,14";"106,78";"0,00";"10.678,14";"10.678,14";"10.678,14"
"120";"54100";"LLOGUER AUDITORI";"90.000,00";"0,00";"0,00";"0,00";"90.000,00";"0,00";"0,00";"0,00";"90.000,00";"100,00";"0,00";"90.000,00";"0,00";"0,00"
"120";"34900";"GESTIÓ PERMISOS CULTURA";"0,00";"600,00";"0,00";"600,00";"600,00";"0,00";"0,00";"0,00";"900,00";"150,00";"0,00";"900,00";"900,00";"900,00"
"120";"34401";"GIRONA CULTURA";"0,00";"15.686,20";"0,00";"15.686,20";"15.686,20";"0,00";"0,00";"0,00";"16.871,39";"107,56";"0,00";"16.871,39";"16.871,39";"16.871,39"
"120";"36000";"PUBLICACIONS CULTURA";"0,00";"5.287,61";"0,00";"5.287,61";"5.287,61";"0,00";"0,00";"0,00";"5.287,61";"100,00";"0,00";"5.287,61";"5.287,61";"5.287,61"
"120";"34402";"GESTIÓ VENDA D'ENTRADES";"0,00";"33.690,03";"0,00";"33.690,03";"33.690,03";"0,00";"0,00";"0,00";"33.690,03";"100,00";"0,00";"33.690,03";"33.512,73";"33.512,73"
"120";"36001";"VENDES CULTURA";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"120";"44100";"TRANSFER. DE SOCIETATS MERCANTILS";"0,00";"60.000,00";"0,00";"60.000,00";"60.000,00";"0,00";"0,00";"0,00";"60.000,00";"100,00";"0,00";"60.000,00";"60.000,00";"60.000,00"
"120";"45080";"TRANSFER. GENERALITAT - CULTURA";"0,00";"135.000,00";"0,00";"135.000,00";"135.000,00";"0,00";"0,00";"0,00";"135.000,00";"100,00";"0,00";"135.000,00";"0,00";"0,00"
"120";"46100";"TRANSFER. DIPUTACIÓ CULTURA";"0,00";"220.000,00";"0,00";"220.000,00";"220.000,00";"0,00";"0,00";"0,00";"220.000,00";"100,00";"0,00";"220.000,00";"205.000,00";"205.000,00"
