"Persona";" Retribucions";" Any";"Partit";"Càrrec"
"ALSINA CONESA, CRISTINA";"43281";"2006";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"BAGUE ROURA, JOAN";"10308";"2006";"CONVERGÈNCIA I UNIÓ (CiU)";""
"BARBERO RIVERA, AMELIA";"24732";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"BOSCH MOLINET, JOAN";"10308";"2006";"CONVERGÈNCIA I UNIÓ (CiU)";""
"CASTEL SUCARRAT, JUAN MARIA";"10308";"2006";"PARTIT POPULAR";""
"FAXEDAS BRUJATS, M LLUÏSA";"24732";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FELIU LATORRE, PONÇ";"24732";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FERRER GIRONÈS, FRANCESC";"3228,90";"2006";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"FREIXENET BOSCH, M ÀNGELS";"43281";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"JOFRE VILANOVA, JOSEP MARIA";"24732";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"MANYER I PERPINYA, XAVIER";"24732";"2006";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"MAS JULI, RAFAEL";"24732";"2006";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"MUNTADA ARTILES, JOAN";"10308";"2006";"CONVERGÈNCIA I UNIÓ (CiU)";""
"OLORIZ SERRA, JOAN B";"43281";"2006";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PAGANS GRUARTMONER, ANNA";"52899";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"PARDO CIFUENTES, ENRIC";"24732";"2006";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PLANA YANES, GLÒRIA";"24732";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"PLUMA VILANOVA, JOAN";"43281";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"POCH CLARA, MIQUEL";"18342,90";"2006";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"POZO ALVAREZ, JOAN MANUEL DEL";"9205,80";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"RIERA BEN, ZOILA";"16488";"2006";"CONVERGÈNCIA I UNIÓ (CiU)";""
"SALAMAÑA SERRA, M.ISABEL";"24732";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"SOLER VILA, MONTSERRAT";"10308";"2006";"CONVERGÈNCIA I UNIÓ (CiU)";""
"THIÓ FERNANDEZ HENESTROSA, IGN";"24732";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"TORIBIO CUSSO, JOSEP";"10308";"2006";"PARTIT POPULAR";""
"VERAY CAMA, CONCEPCIÓ";"16488";"2006";"PARTIT POPULAR";""
"VILAGRAN TORRAS, SALVADOR";"14083,50";"2006";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"ALSINA CONESA, CRISTINA";"46747,30";"2007";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"AYATS BARTRINA, JOAQUIM";"15760,16";"2007";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"BAGUE ROURA, JOAN";"4724,50";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"BARBERO RIVERA, AMELIA";"27095,66";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"BOADAS VILLORIA, IMMA";"6994";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"BOSCH MOLINET, JOAN";"4724,50";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"CASTEL SUCARRAT, JUAN MARIA";"11718,50";"2007";"PARTIT POPULAR";""
"CUNYAT BADOSA, CORALÍ";"6994";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"FAXEDAS BRUJATS, M LLUÏSA";"27095,66";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FELIU LATORRE, PONÇ";"27095,66";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FREIXENET BOSCH, M ÀNGELS";"46747,30";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"JOFRE VILANOVA, JOSEP MARIA";"27095,66";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"MANYER I PERPINYA, XAVIER";"11335,50";"2007";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"MAS JULI, RAFAEL";"11335,50";"2007";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"MUNTADA ARTILES, JOAN";"5154";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"OLIVA SALA, JOAQUIM";"6994";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"OLORIZ SERRA, JOAN B";"46747,30";"2007";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PAGANS GRUARTMONER, ANNA";"56959,02";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"PARDO CIFUENTES, ENRIC";"27095,66";"2007";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PLANA YANES, GLÒRIA";"11335,50";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"PLUMA VILANOVA, JOAN";"46747,30";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"POCH CLARA, MIQUEL";"27095,66";"2007";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"PRATS TORRENTS, PILAR";"15760,16";"2007";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"PUIGDEMONT CASAMAJO, CARLES";"10749,90";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIBERA PI, FRANCESC XAVIER";"6994";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIERA BEN, ZOILA";"7557";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIERA PAIRÓ, ALBERT";"6994";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"SAGET BOSCH, VICTORIA";"15760,16";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"SALAMAÑA SERRA, M.ISABEL";"27095,66";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"SOLER VILA, MONTSERRAT";"4724,50";"2007";"CONVERGÈNCIA I UNIÓ (CiU)";""
"TERES BONET, NÚRIA";"15760,16";"2007";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"THIÓ FERNANDEZ HENESTROSA, IGN";"27095,66";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"TORIBIO CUSSO, JOSEP";"4724,50";"2007";"PARTIT POPULAR ";""
"VERAY CAMA, CONCEPCIÓ";"18306,90";"2007";"PARTIT POPULAR ";""
"VILAGRAN TORRAS, SALVADOR";"11335,50";"2007";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"ALSINA CONESA, CRISTINA";"52310,72";"2008";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"AYATS BARTRINA, JOAQUIM";"30360,12";"2008";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"BARBERO RIVERA, AMELIA";"30360,12";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"BOADAS VILLORIA, IMMA";"13473,12";"2008";"CONVERGÈNCIA I UNIÓ (CiU)";""
"CASTEL SUCARRAT, JUAN MARIA";"13473,12";"2008";"PARTIT POPULAR ";""
"CUNYAT BADOSA, CORALÍ";"13473,12";"2008";"CONVERGÈNCIA I UNIÓ (CiU)";""
"FAXEDAS BRUJATS, M LLUÏSA";"30360,12";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FELIU LATORRE, PONÇ";"30360,12";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FREIXENET BOSCH, M ÀNGELS";"52310,72";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"JOFRE VILANOVA, JOSEP MARIA";"30360,12";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"OLIVA SALA, JOAQUIM";"13473,12";"2008";"CONVERGÈNCIA I UNIÓ (CiU)";""
"OLORIZ SERRA, JOAN B";"52310,72";"2008";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PAGANS GRUARTMONER, ANNA";"63571,20";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"PARDO CIFUENTES, ENRIC";"30360,12";"2008";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PLUMA VILANOVA, JOAN";"52310,72";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"POCH CLARA, MIQUEL";"30360,12";"2008";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"PRATS TORRENTS, PILAR";"30360,12";"2008";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"PUIGDEMONT CASAMAJO, CARLES";"20708,40";"2008";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIBERA PI, FRANCESC XAVIER";"13473,12";"2008";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIERA PAIRÓ, ALBERT";"13473,12";"2008";"CONVERGÈNCIA I UNIÓ (CiU)";""
"SAGET BOSCH, VICTORIA";"30360,12";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"SALAMAÑA SERRA, M.ISABEL";"30360,12";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"TERES BONET, NÚRIA";"30360,12";"2008";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"THIÓ FERNANDEZ HENESTROSA, IGN";"30360,12";"2008";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"VERAY CAMA, CONCEPCIÓ";"20708,40";"2008";"PARTIT POPULAR ";""
"ALSINA CONESA, CRISTINA";"52310,72";"2009";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"AYATS BARTRINA, JOAQUIM";"30360,12";"2009";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"BARBERO RIVERA, AMELIA";"30360,12";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"BOADAS VILLORIA, IMMA";"13473,12";"2009";"CONVERGÈNCIA I UNIÓ (CiU)";""
"CASTEL SUCARRAT, JUAN MARIA";"13473,12";"2009";"PARTIT POPULAR ";""
"CUNYAT BADOSA, CORALÍ";"13473,12";"2009";"CONVERGÈNCIA I UNIÓ (CiU)";""
"FAXEDAS BRUJATS, M LLUÏSA";"30360,12";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FELIU LATORRE, PONÇ";"30360,12";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FREIXENET BOSCH, M ÀNGELS";"52310,72";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"JOFRE VILANOVA, JOSEP MARIA";"30360,12";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"OLIVA SALA, JOAQUIM";"13473,12";"2009";"CONVERGÈNCIA I UNIÓ (CiU)";""
"OLORIZ SERRA, JOAN B";"46160,12";"2009";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PAGANS GRUARTMONER, ANNA";"63571,20";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"PARDO CIFUENTES, ENRIC";"30360,12";"2009";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PLUMA VILANOVA, JOAN";"52310,72";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"POCH CLARA, MIQUEL";"30360,12";"2009";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"PRATS TORRENTS, PILAR";"30360,12";"2009";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"PUIGDEMONT CASAMAJO, CARLES";"20708,40";"2009";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIBERA PI, FRANCESC XAVIER";"13473,12";"2009";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIERA PAIRÓ, ALBERT";"13473,12";"2009";"CONVERGÈNCIA I UNIÓ (CiU)";""
"SAGET BOSCH, VICTORIA";"30360,12";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"SALAMAÑA SERRA, M.ISABEL";"30360,12";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"TERES BONET, NÚRIA";"30360,12";"2009";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"THIÓ FERNANDEZ HENESTROSA, IGN";"30360,12";"2009";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"VERAY CAMA, CONCEPCIÓ";"20708,40";"2009";"PARTIT POPULAR ";""
"ALSINA CONESA, CRISTINA";"50210,32";"2010";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"AYATS BARTRINA, JOAQUIM";"29297,52";"2010";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"BARBERO RIVERA, AMELIA";"29297,52";"2010";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"BOADAS VILLORIA, IMMA";"13158,82";"2010";"CONVERGÈNCIA I UNIÓ (CiU)";""
"CASTEL SUCARRAT, JUAN MARIA";"13158,82";"2010";"PARTIT POPULAR ";""
"CUNYAT BADOSA, CORALÍ";"13158,82";"2010";"CONVERGÈNCIA I UNIÓ (CiU)";""
"FAXEDAS BRUJATS, M LLUÏSA";"29297,52";"2010";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FELIU LATORRE, PONÇ";"29297,52";"2010";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"FREIXENET BOSCH, M ÀNGELS";"49947,77";"2010";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"JOFRE VILANOVA, JOSEP MARIA";"29297,52";"2010";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"OLIVA SALA, JOAQUIM";"13158,82";"2010";"CONVERGÈNCIA I UNIÓ (CiU)";""
"OLORIZ SERRA, JOAN B";"36279,54";"2010";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PAGANS GRUARTMONER, ANNA";"60633,06";"2010";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"PARDO CIFUENTES, ENRIC";"29297,52";"2010";"INICIATIVA PER CATALUNYA-VERDS EUiA";""
"PLUMA VILANOVA, JOAN";"50210,32";"2010";"PARTIT DELS SOCIALISTES DE CATALUNYA (PSC)";""
"POCH CLARA, MIQUEL";"29297,52";"2010";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"PRATS TORRENTS, PILAR";"29297,52";"2010";"ESQUERRA REPUBLICANA DE CATALUNYA";""
"PUIGDEMONT CASAMAJO, CARLES";"20177,02";"2010";"CONVERGÈNCIA I UNIÓ (CiU)";""
"RIBERA PI, FRANCESC XAVIER";"13158,82";"2010";"CONVERGÈNCIA I UNIÓ (CiU)";""
