"Identificador";"Codiedif";"Id_façana";"Ldia";"Lnit";"Ltarda";"Lden";"Coord_X";"Coord_Y";" lon";"lat	"
"1";"7468";"02247468";"57,8";"47,0";"53,3";"57,6";"484558,48190000001";"4648859,08119999990";"2,81356669";"41,99158747"
"2";"11419";"063511419";"64,0";"50,2";"58,8";"63,0";"484796,48060000001";"4646330,72099999990";"2,81650548";"41,96881428"
"3";"10821";"023710821";"63,1";"53,1";"58,5";"63,2";"484716,27169999998";"4646369,08229999989";"2,81553897";"41,96916399"
"4";"8728";"00768728";"62,7";"50,6";"58,0";"62,1";"484586,75850000000";"4648903,51640000008";"2,81390358";"41,99198431"
"5";"9608";"00769608";"59,8";"47,4";"55,1";"59,2";"484586,01720000000";"4648873,69730000012";"2,81390436";"41,99171411"
"6";"9608";"02249608";"57,7";"47,0";"53,2";"57,5";"484600,12929999997";"4648858,34009999968";"2,81407378";"41,99157929"
"7";"7446";"02247446";"57,6";"47,1";"53,2";"57,5";"484629,96189999999";"4648857,56390000042";"2,81442393";"41,99157085"
"8";"7446";"06797446";"57,3";"47,3";"53,0";"57,4";"484645,72450000001";"4648872,12490000017";"2,81461670";"41,99170626"
"9";"7448";"06797448";"61,1";"50,4";"56,7";"61,0";"484646,55630000000";"4648902,13740000036";"2,81462799";"41,99197648"
"10";"11763";"031411763";"70,6";"57,8";"64,6";"69,8";"484483,47700000001";"4649018,65240000002";"2,81265701";"41,99301805"
"11";"2431";"05742431";"68,4";"57,5";"63,7";"68,1";"484792,57199999999";"4646373,18030000012";"2,81645610";"41,96920149"
"12";"10821";"057410821";"66,9";"56,5";"62,3";"66,8";"484753,34669999999";"4646386,70810000040";"2,81598507";"41,96931782"
"13";"10821";"060410821";"64,0";"52,8";"59,1";"63,7";"484730,74180000002";"4646334,28210000042";"2,81570884";"41,96884903"
"14";"7469";"03227469";"63,3";"51,4";"58,7";"62,8";"484504,14909999998";"4648967,47070000041";"2,81291189";"41,99255913"
"15";"7465";"00177465";"57,8";"45,8";"53,1";"57,3";"484566,61670000001";"4648972,97030000016";"2,81366030";"41,99260538"
"16";"7465";"00767465";"63,4";"51,6";"58,7";"62,9";"484575,94020000001";"4648962,23859999981";"2,81376922";"41,99251549"
"17";"7465";"06897465";"69,2";"57,8";"64,6";"68,8";"484566,08100000001";"4648951,99610000011";"2,81366085";"41,99241624"
"18";"7467";"00177467";"59,5";"47,4";"54,5";"58,9";"484525,86670000001";"4648974,01020000037";"2,81316525";"41,99262259"
"19";"7467";"03227467";"64,5";"52,8";"59,9";"64,0";"484515,96309999999";"4648963,76860000007";"2,81304480";"41,99252332"
"20";"6419";"00056419";"58,7";"45,5";"53,9";"57,9";"485881,83909999998";"4649583,44699999969";"2,82952197";"41,99813310"
"21";"7374";"03227374";"59,2";"46,4";"54,3";"58,5";"484738,22670000000";"4649113,82039999962";"2,81573324";"41,99387867"
"22";"7374";"01977374";"59,3";"46,6";"54,5";"58,6";"484733,38160000002";"4649101,41799999960";"2,81567318";"41,99377049"
"23";"7373";"01977373";"59,2";"46,1";"54,4";"58,4";"484732,82429999998";"4649076,00600000005";"2,81566176";"41,99354530"
"24";"7373";"05417373";"59,6";"46,8";"54,8";"58,9";"484736,57280000002";"4649062,97209999990";"2,81571042";"41,99341929"
"25";"7372";"05417372";"59,5";"46,9";"54,7";"58,8";"484743,42170000001";"4649062,28120000008";"2,81579493";"41,99341942"
"26";"7371";"05417371";"59,3";"46,7";"54,5";"58,6";"484748,71659999999";"4649061,53500000015";"2,81585533";"41,99341051"
"27";"7370";"05417370";"59,1";"46,4";"54,3";"58,4";"484754,16660000000";"4649060,62939999998";"2,81592779";"41,99340162"
"28";"7369";"05417369";"59,2";"46,5";"54,4";"58,5";"484759,64120000001";"4649059,28569999989";"2,81598818";"41,99339271"
"29";"7368";"05417368";"59,0";"46,3";"54,3";"58,3";"484765,18900000001";"4649058,21609999985";"2,81606065";"41,99338382"
"30";"7367";"05417367";"57,7";"45,1";"53,0";"57,0";"484770,50569999998";"4649056,72869999986";"2,81612107";"41,99336591"
"31";"7366";"05417366";"59,0";"46,3";"54,3";"58,3";"484775,91700000002";"4649055,16449999996";"2,81618146";"41,99335700"
"32";"7365";"05417365";"59,3";"46,6";"54,5";"58,6";"484781,55859999999";"4649053,08169999998";"2,81625396";"41,99333910"
"33";"7364";"05417364";"58,6";"45,9";"53,8";"57,9";"484789,52700000000";"4649049,91280000005";"2,81635065";"41,99330323"
"34";"7363";"06897363";"69,9";"58,4";"65,3";"69,5";"484819,15749999997";"4648912,90000000037";"2,81671639";"41,99206990"
"35";"7363";"00087363";"60,6";"48,3";"55,9";"60,0";"484802,00550000003";"4648883,28070000000";"2,81651189";"41,99180838"
"36";"7363";"02247363";"58,4";"47,6";"53,9";"58,2";"484834,98920000001";"4648882,17270000000";"2,81689826";"41,99179999"
"37";"7360";"03227360";"63,7";"52,2";"59,1";"63,3";"484878,76760000002";"4648954,82809999958";"2,81742762";"41,99244931"
"38";"7362";"00087362";"63,4";"51,5";"58,7";"62,9";"484804,15049999999";"4648956,66320000030";"2,81653415";"41,99246590"
"39";"7352";"00087352";"59,4";"46,5";"54,6";"58,6";"484805,00449999998";"4649021,20380000025";"2,81654454";"41,99305135"
"40";"11820";"084311820";"61,0";"51,9";"59,0";"61,6";"483580,70789999998";"4649106,85560000036";"2,80175233";"41,99379233"
"41";"7606";"07367606";"64,1";"53,2";"60,6";"64,0";"483763,03930000000";"4649126,13900000043";"2,80396122";"41,99397625"
"42";"8634";"08634";"45,0";"41,8";"42,3";"48,7";"485580,80859999999";"4648525,29250000045";"2,82591357";"41,98859863"
"43";"6052";"05176052";"61,9";"48,7";"57,0";"61,1";"485529,90110000002";"4648483,16299999971";"2,82529890";"41,98821941"
"44";"7753";"07467753";"65,2";"51,6";"60,0";"64,3";"483877,49310000002";"4649063,06610000040";"2,80533933";"41,99341118"
"45";"7738";"07387738";"65,1";"51,2";"60,0";"64,1";"483879,19370000000";"4649041,14969999995";"2,80536408";"41,99321307"
"46";"6051";"05176051";"61,5";"48,7";"56,6";"60,8";"485525,91560000001";"4648449,89309999999";"2,82525145";"41,98791311"
"47";"6051";"02076051";"57,9";"47,7";"53,6";"57,9";"485537,83980000002";"4648435,08750000037";"2,82539666";"41,98778724"
"48";"7752";"07467752";"65,1";"51,5";"60,0";"64,2";"483862,43520000001";"4649062,12349999975";"2,80515826";"41,99340186"
"49";"7751";"07467751";"65,1";"51,4";"59,9";"64,2";"483847,58950000000";"4649061,19429999962";"2,80497718";"41,99339255"
"50";"7750";"07467750";"65,1";"51,4";"59,9";"64,2";"483832,70439999999";"4649060,26260000002";"2,80479611";"41,99338323"
"51";"7749";"07467749";"65,1";"51,2";"59,8";"64,1";"483817,59899999999";"4649059,31709999964";"2,80461503";"41,99337392"
"52";"7748";"07467748";"65,0";"51,1";"59,8";"64,0";"483802,68280000001";"4649058,38339999970";"2,80443396";"41,99336461"
"53";"7747";"07467747";"65,0";"51,1";"59,8";"64,0";"483787,34149999998";"4649057,42310000025";"2,80425289";"41,99335529"
"54";"7744";"07387744";"64,8";"51,3";"60,0";"63,9";"483788,86520000000";"4649035,49610000011";"2,80426557";"41,99315716"
"55";"7743";"07387743";"64,8";"51,2";"59,9";"63,9";"483803,94270000001";"4649036,43979999982";"2,80444664";"41,99316648"
"56";"7742";"07387742";"64,8";"51,2";"60,0";"63,9";"483818,86040000001";"4649037,37359999958";"2,80462771";"41,99317579"
"57";"7741";"07387741";"64,8";"51,1";"59,9";"63,9";"483833,90250000003";"4649038,31510000024";"2,80480879";"41,99318511"
"58";"7740";"07387740";"64,9";"51,1";"59,9";"64,0";"483848,78460000001";"4649039,24660000019";"2,80498986";"41,99319442"
"59";"7739";"07387739";"65,0";"51,1";"59,9";"64,0";"483863,81990000000";"4649040,18769999966";"2,80517093";"41,99320374"
"60";"10873";"074610873";"63,9";"50,1";"58,8";"63,0";"483722,68180000002";"4649058,64809999987";"2,80346809";"41,99336296"
"61";"10873";"084410873";"59,8";"47,1";"55,5";"59,1";"483698,65720000002";"4649039,01879999973";"2,80317885";"41,99319133"
"62";"6053";"02076053";"56,8";"46,4";"52,7";"56,8";"485568,60460000002";"4648463,70069999993";"2,82577022";"41,98804000"
"63";"11196";"073711196";"60,5";"47,6";"56,3";"59,8";"483742,70720000000";"4648956,15720000025";"2,80371238";"41,99244469"
"64";"10873";"073610873";"64,2";"50,6";"59,2";"63,3";"483751,61820000003";"4649044,54220000003";"2,80381861";"41,99323746"
"65";"11181";"084411181";"59,5";"47,1";"55,4";"58,9";"483690,78560000000";"4649018,38040000014";"2,80308285";"41,99300203"
"66";"11181";"074611181";"56,8";"46,1";"53,9";"56,8";"483661,53120000003";"4649026,31230000034";"2,80273250";"41,99307348"
"67";"11181";"038411181";"55,6";"44,5";"52,6";"55,5";"483637,87650000001";"4649007,49500000011";"2,80244327";"41,99290186"
"68";"10982";"038410982";"55,2";"43,2";"51,6";"54,8";"483646,49219999998";"4648966,37239999976";"2,80255307";"41,99253277"
"69";"10982";"084410982";"59,0";"45,9";"54,3";"58,2";"483699,12750000000";"4648977,84410000034";"2,80319265";"41,99263294"
"70";"10982";"073710982";"58,4";"45,9";"54,6";"57,8";"483677,90720000002";"4648944,81850000005";"2,80292795";"41,99233527"
"71";"11037";"072811037";"59,3";"49,2";"57,4";"59,6";"483470,45270000002";"4648981,44479999971";"2,80042776";"41,99266420"
"72";"12084";"072812084";"59,4";"49,6";"58,2";"59,9";"483482,72100000002";"4648928,76530000009";"2,80057413";"41,99218710"
"73";"12084";"080912084";"58,7";"48,8";"58,0";"59,3";"483510,65039999998";"4648908,06010000035";"2,80091274";"41,99200755"
"74";"12558";"080512558";"62,2";"50,5";"58,7";"61,9";"483413,63789999997";"4649029,06080000009";"2,79973823";"41,99309532"
"75";"12557";"080512557";"61,3";"49,5";"57,9";"61,0";"483394,82319999998";"4649025,17140000034";"2,79950895";"41,99305889"
"76";"12556";"080512556";"61,2";"49,7";"58,0";"61,0";"483375,87020000000";"4649021,73759999964";"2,79927967";"41,99302246"
"77";"12555";"080512555";"61,4";"50,3";"58,4";"61,3";"483356,93320000003";"4649018,70069999993";"2,79905036";"41,99299504"
"78";"6285";"04546285";"68,6";"58,0";"64,5";"68,5";"485584,51309999998";"4648743,89690000005";"2,82595651";"41,99056215"
"79";"6286";"04546286";"68,3";"57,2";"64,0";"68,0";"485582,22850000003";"4648731,41189999972";"2,82593266";"41,99045403"
"80";"6287";"04546287";"67,8";"56,5";"63,5";"67,5";"485576,52659999998";"4648710,71069999970";"2,82586074";"41,99026478"
"81";"10272";"058710272";"66,0";"53,5";"61,2";"65,3";"485565,62709999998";"4648693,87579999957";"2,82572835";"41,99011147"
"82";"6313";"04826313";"59,9";"57,6";"57,3";"64,2";"485542,26150000002";"4648701,08519999962";"2,82545048";"41,99018310"
"83";"6313";"05866313";"64,6";"53,3";"59,6";"64,2";"485521,47070000001";"4648668,61369999964";"2,82519777";"41,98988550"
"84";"6289";"04066289";"65,8";"55,0";"61,5";"65,6";"485618,69160000002";"4648739,40749999974";"2,82636708";"41,99052674"
"85";"6290";"04066290";"67,4";"57,9";"63,3";"67,7";"485605,71500000003";"4648755,36440000031";"2,82620975";"41,99067061"
"86";"6292";"04546292";"57,9";"47,3";"53,7";"57,8";"485604,24780000001";"4648791,08009999990";"2,82619679";"41,99099483"
"87";"11457";"059511457";"73,8";"62,2";"68,8";"73,3";"483845,25180000003";"4645566,65979999956";"2,80504906";"41,96191426"
"88";"6359";"00666359";"54,9";"49,6";"51,6";"57,2";"485568,23729999998";"4648551,57679999992";"2,82576806";"41,98883258"
"89";"5053";"03005053";"66,0";"52,2";"60,6";"65,0";"483921,98349999997";"4645417,04019999970";"2,80597026";"41,96057382"
"90";"11804";"030011804";"65,8";"52,5";"60,5";"64,9";"483994,12250000000";"4645530,62650000025";"2,80684810";"41,96159306"
"91";"12699";"030012699";"65,0";"51,3";"59,6";"64,0";"483968,14809999999";"4645492,69259999972";"2,80653538";"41,96125028"
