"Nom_Sector";"Codi_Carrer";"Tipus_Via";"Nexe";"Nom_carrer";"Nom_complert";"Num_Inf";"Lletra_Inf";"Accessori_inf";"Num_Sup";"Lletra_sup";"Accessori_sup"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"21";"";"N";"25";"";"N"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"28";"";"N";"28";"";"N"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"27";"";"N";"37";"";"N"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"22";"";"N";"26";"";"N"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"14";"";"N";"20";"";"N"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"1";"";"N";"19";"";"N"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"2";"";"N";"12";"";"N"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"30";"";"N";"36";"";"N"
"Avellaneda";"0033";"CARRER";"d'";"Aragó";"Carrer d'Aragó";"39";"";"N";"41";"";"N"
"Avellaneda";"0040";"CARRER";"d'";"Astúries";"Carrer d'Astúries";"1";"";"N";"17";"";"N"
"Avellaneda";"0040";"CARRER";"d'";"Astúries";"Carrer d'Astúries";"2";"";"N";"26";"";"N"
"Avellaneda";"0040";"CARRER";"d'";"Astúries";"Carrer d'Astúries";"55";"";"N";"61";"";"N"
"Avellaneda";"0040";"CARRER";"d'";"Astúries";"Carrer d'Astúries";"19";"";"N";"33";"";"N"
"Avellaneda";"0040";"CARRER";"d'";"Astúries";"Carrer d'Astúries";"35";"";"N";"53";"";"N"
"Avellaneda";"0040";"CARRER";"d'";"Astúries";"Carrer d'Astúries";"28";"";"N";"42";"";"N"
"Avellaneda";"0040";"CARRER";"d'";"Astúries";"Carrer d'Astúries";"44";"";"N";"64";"";"N"
"Avellaneda";"0040";"CARRER";"d'";"Astúries";"Carrer d'Astúries";"66";"";"N";"66";"";"N"
"Avellaneda";"0050";"CARRER";"de les";"Illes Balears";"Carrer de les Illes Balears";"19";"";"S";"23";"";"N"
"Avellaneda";"0050";"CARRER";"de les";"Illes Balears";"Carrer de les Illes Balears";"15";"";"N";"17";"";"N"
"Avellaneda";"0050";"CARRER";"de les";"Illes Balears";"Carrer de les Illes Balears";"1";"";"N";"3";"";"N"
"Avellaneda";"0050";"CARRER";"de les";"Illes Balears";"Carrer de les Illes Balears";"2";"";"N";"4";"";"N"
"Avellaneda";"0050";"CARRER";"de les";"Illes Balears";"Carrer de les Illes Balears";"5";"";"N";"13";"";"N"
"Avellaneda";"0050";"CARRER";"de les";"Illes Balears";"Carrer de les Illes Balears";"6";"";"N";"8";"";"N"
"Avellaneda";"0056";"CARRER";"de";"Barcelona";"Carrer de Barcelona";"465";"";"S";"479";"";"N"
"Avellaneda";"0056";"CARRER";"de";"Barcelona";"Carrer de Barcelona";"403";"";"N";"413";"";"N"
"Avellaneda";"0056";"CARRER";"de";"Barcelona";"Carrer de Barcelona";"236";"";"N";"254";"";"N"
"Avellaneda";"0056";"CARRER";"de";"Barcelona";"Carrer de Barcelona";"481";"";"N";"485";"";"N"
"Avellaneda";"0056";"CARRER";"de";"Barcelona";"Carrer de Barcelona";"399";"";"N";"401";"";"N"
"Avellaneda";"0056";"CARRER";"de";"Barcelona";"Carrer de Barcelona";"415";"";"N";"437";"";"N"
"Avellaneda";"0056";"CARRER";"de";"Barcelona";"Carrer de Barcelona";"439";"";"N";"463";"";"N"
"Avellaneda";"0056";"CARRER";"de";"Barcelona";"Carrer de Barcelona";"216";"";"N";"234";"";"N"
