"Barri";"Nom";"	X(UTM)";"Y(UTM)";"Cota_ortomètrica (H)";"Cel_GPS";"Data_de_revisió";"Data_construcció";"Data_ajust";"Tipus vèrtex";"Tipus_de_senyal";"Visa a:						"
"Nord : Pedret, Pont Major i Campdorà";"GI1002";"485535,94";"4648787,38";"68,02";"No";"juliol 2014";"febrer2015";"18/04/2017";"VPS";"Geopunt";"GI1001 i GI1003"
"Nord : Pedret, Pont Major i Campdorà";"GI1003";"485588,41";"4648833,78";"67,83";"No";"juliol 2014";"febrer2016";"18/04/2017";"VPS";"Geopunt";"GI1002 i GI4012"
"Nord : Pedret, Pont Major i Campdorà";"GI1004";"485568,65";"4651349,81";"64,05";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"No te visual amb cap vèrtex"
"Nord : Pedret, Pont Major i Campdorà";"GI1005";"485482,19";"4650276,05";"68,04";"Si";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI1027 i GI1026"
"Nord : Pedret, Pont Major i Campdorà";"GI1006";"485463,95";"4649984,30";"68,28";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI1007 i GI10052"
"Nord : Pedret, Pont Major i Campdorà";"GI1007";"485469,82";"4649470,90";"64,97";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI1006 i GI1005"
"Nord : Pedret, Pont Major i Campdorà";"GI1008";"485584,97";"4649149,75";"64,90";"No";"juliol 2014";"1998";"18/04/2017";"VPP";"geopunt amb volandera";"GI1007 i GI1009"
"Nord : Pedret, Pont Major i Campdorà";"GI1009";"485594,69";"4649030,20";"66,25";"No";"juliol 2014";"setembre2014";"18/04/2017";"VPS";"Geopunt";"GI1001 i GI1008"
"Nord : Pedret, Pont Major i Campdorà";"GI1010";"487068,53";"4650085,96";"178,69";"Si";"juliol 2014";"octubre2014";"18/04/2017";"VPS";"Geopunt";"No te visual amb cap vèrtex"
"Nord : Pedret, Pont Major i Campdorà";"GI1011";"485634,14";"4648758,53";"84,96";"Si";"juliol 2014";"2006";"18/04/2017";"VPP";"geopunt amb volandera";"No te visual amb cap vèrtex"
"Nord : Pedret, Pont Major i Campdorà";"GI1012";"486990,83";"4651964,68";"108,48";"Si";"juliol 2014";"2006";"18/04/2017";"VPP";"geopunt amb volandera";"No te visual amb cap vèrtex"
"Nord : Pedret, Pont Major i Campdorà";"GI1013";"486600,62";"4651233,31";"247,65";"No";"juliol 2014";"2006";"18/04/2017";"VPP";"fita tipus ""feno""";"GI1013 i GI3004"
"Nord : Pedret, Pont Major i Campdorà";"GI1014";"485447,87";"4648638,28";"68,24";"No";"juliol 2014";"2001";"18/04/2017";"VPP";"geopunt amb volandera";"GI4031 i GI1002"
"Nord : Pedret, Pont Major i Campdorà";"GI1015";"485530,40";"4650967,41";"63,83";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1030 i GI1016"
"Nord : Pedret, Pont Major i Campdorà";"GI1016";"485423,69";"4650977,77";"63,14";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1015 i GI1017"
"Nord : Pedret, Pont Major i Campdorà";"GI1017";"485421,52";"4650898,70";"63,66";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1016 i GI1018"
"Nord : Pedret, Pont Major i Campdorà";"GI1018";"485524,83";"4650871,70";"64,72";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1017 i GI1019"
"Nord : Pedret, Pont Major i Campdorà";"GI1019";"485516,21";"4650721,22";"66,41";"Si";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1018 i GI1020"
"Nord : Pedret, Pont Major i Campdorà";"GI1020";"485421,26";"4650747,42";"65,21";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1019 i GI1021"
"Nord : Pedret, Pont Major i Campdorà";"GI1021";"485398,53";"4650592,01";"65,68";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1020 i GI1022"
"Nord : Pedret, Pont Major i Campdorà";"GI1022";"485494,14";"4650574,82";"67,75";"Si";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1042,GI1021 i GI1023"
"Nord : Pedret, Pont Major i Campdorà";"GI1023";"485484,62";"4650479,18";"67,88";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1022 i GI1024"
"Nord : Pedret, Pont Major i Campdorà";"GI1024";"485391,34";"4650485,08";"65,77";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1023 i GI1025"
"Nord : Pedret, Pont Major i Campdorà";"GI1025";"485391,79";"4650354,58";"66,09";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1024 i GI1026"
"Nord : Pedret, Pont Major i Campdorà";"GI1026";"485456,85";"4650357,55";"67,40";"No";"setembre 2014";"febrer2014";"18/04/2017";"VPS";"Geopunt";"GI1025 i GI1005"
"Nord : Pedret, Pont Major i Campdorà";"GI1027";"485485,04";"4650134,52";"69,24";"Si";"setembre 2014";"setembre2014";"18/04/2017";"VPS";"Geopunt";"GI1005 i GI1006"
"Nord : Pedret, Pont Major i Campdorà";"GI1028";"485527,58";"4649305,41";"65,09";"No";"setembre 2014";"setembre2014";"18/04/2017";"VPS";"Geopunt";"GI1007 i GI1008"
"Nord : Pedret, Pont Major i Campdorà";"GI1029";"485377,64";"4650849,35";"63,95";"Si";"setembre 2014";"setembre2014";"18/04/2017";"VPS";"Geopunt";"GI1017 i GI1020"
"Nord : Pedret, Pont Major i Campdorà";"GI1030";"485528,02";"4651070,52";"62,80";"No";"setembre 2014";"juny 2014";"18/04/2017";"VPS";"Geopunt";"GI1015 i GI1033"
