Data Inici,Data Final,President,Assumpte públic
31/10/2017 06:00:00 PM,31/10/2017 07:00:00 PM,Josep Mayoral Antigas,Castanyades 
31/10/2017 12:00:00 PM,31/10/2017 01:00:00 PM,Josep Mayoral Antigas,Executiva de la Xarxa C17
31/10/2017 10:00:00 AM,31/10/2017 11:00:00 AM,Josep Mayoral Antigas,"Enterrament Sra. Margarita Tintó, Medalla de la ciutat"
31/10/2017 09:30:00 AM,31/10/2017 10:30:00 AM,Josep Mayoral Antigas,Gerència
31/10/2017 08:30:00 AM,31/10/2017 09:30:00 AM,Josep Mayoral Antigas,Direcció de serveis jurídics 
30/10/2017 07:30:00 PM,30/10/2017 10:00:00 PM,Josep Mayoral Antigas,Ple ordinari
30/10/2017 06:40:00 PM,30/10/2017 07:00:00 PM,Josep Mayoral Antigas,Junta General de Roca Umbert Fàbrica de les Arts
30/10/2017 06:20:00 PM,30/10/2017 06:40:00 PM,Josep Mayoral Antigas,Junta General de Granollers Escena
30/10/2017 06:00:00 PM,30/10/2017 06:20:00 PM,Josep Mayoral Antigas,Junta general Granollers Promocions
30/10/2017 05:16:00 PM,30/10/2017 06:16:00 PM,Josep Mayoral Antigas,Equip de govern
30/10/2017 05:00:00 PM,30/10/2017 05:15:00 PM,Josep Mayoral Antigas,Junta de Govern Local
30/10/2017 01:00:00 PM,30/10/2017 02:00:00 PM,Josep Mayoral Antigas,Secretaria General
28/10/2017 06:45:00 PM,28/10/2017 07:45:00 PM,Josep Mayoral Antigas,Tallar cinta inaugural Tunel del Terror
28/10/2017 05:00:00 PM,28/10/2017 06:00:00 PM,Josep Mayoral Antigas,Espectacle musical i varietats de Flors i Violes
28/10/2017 01:00:00 PM,28/10/2017 02:00:00 PM,Josep Mayoral Antigas,Acte inaugural GRN2017
28/10/2017 12:00:00 PM,28/10/2017 01:00:00 PM,Josep Mayoral Antigas,Castanyada Granollers Nord
28/10/2017 11:00:00 AM,28/10/2017 12:00:00 PM,Josep Mayoral Antigas,Tast de la Mitja
27/10/2017 10:00:00 PM,27/10/2017 11:00:00 PM,Josep Mayoral Antigas,Diada del 50è aniversari del CNG
27/10/2017 09:00:00 PM,27/10/2017 10:20:00 PM,Josep Mayoral Antigas,"+45, Dansa"
27/10/2017 07:00:00 PM,27/10/2017 08:00:00 PM,Josep Mayoral Antigas,Presentació equips EC. Granollers
27/10/2017 06:00:00 PM,27/10/2017 07:00:00 PM,Josep Mayoral Antigas,Casament
27/10/2017 10:00:00 AM,27/10/2017 12:00:00 PM,Josep Mayoral Antigas,Visita a l'hospital de dia
26/10/2017 07:00:00 PM,26/10/2017 08:00:00 PM,Josep Mayoral Antigas,Presentació de la Fira ECOGra  
26/10/2017 05:00:00 PM,26/10/2017 06:00:00 PM,Josep Mayoral Antigas,Patronat del Museu
26/10/2017 10:00:00 AM,26/10/2017 11:00:00 AM,Josep Mayoral Antigas,Regidor de Medi Ambient
26/10/2017 09:00:00 AM,26/10/2017 09:30:00 AM,Josep Mayoral Antigas,Direcció de Serveis Jurídics
25/10/2017 08:00:00 PM,25/10/2017 09:00:00 PM,Josep Mayoral Antigas,Visita a un centre esportiu privat
25/10/2017 07:00:00 PM,25/10/2017 08:00:00 PM,Josep Mayoral Antigas,Junta de portaveus 
25/10/2017 05:00:00 PM,25/10/2017 06:00:00 PM,Josep Mayoral Antigas,Consell d'Administració de Granollers Mercat
25/10/2017 02:00:00 PM,25/10/2017 03:00:00 PM,Josep Mayoral Antigas,Director Gerent del TAG
25/10/2017 12:00:00 PM,25/10/2017 01:00:00 PM,Josep Mayoral Antigas,Atenció integral de la violència masclista a la comarca
25/10/2017 11:00:00 AM,25/10/2017 12:00:00 PM,Josep Mayoral Antigas,"Lliurament premi ""Anelles"" Hicone"
25/10/2017 09:00:00 AM,25/10/2017 10:00:00 AM,Josep Mayoral Antigas,Cap de l'Àrea de Serveis a la Persona
24/10/2017 05:16:00 PM,24/10/2017 06:16:00 PM,Josep Mayoral Antigas,Equip de govern
24/10/2017 05:00:00 PM,24/10/2017 06:00:00 PM,Josep Mayoral Antigas,Junta de Govern Local
24/10/2017 01:00:00 PM,24/10/2017 02:00:00 PM,Josep Mayoral Antigas,Presentació urbanització Plaça Pau Casals
24/10/2017 12:00:00 PM,24/10/2017 01:00:00 PM,Josep Mayoral Antigas,Coordinació política extraordinària
24/10/2017 10:30:00 AM,24/10/2017 11:30:00 AM,Josep Mayoral Antigas,Gerència
24/10/2017 09:00:00 AM,24/10/2017 10:00:00 AM,Josep Mayoral Antigas,Benvinguda Jornades de Turisme
24/10/2017 08:30:00 AM,24/10/2017 09:30:00 AM,Josep Mayoral Antigas,Direcció de serveis jurídics
23/10/2017 07:00:00 PM,23/10/2017 08:00:00 PM,Josep Mayoral Antigas,Consell assessor de Can Jonch
23/10/2017 06:30:00 PM,23/10/2017 07:00:00 PM,Josep Mayoral Antigas,Signatura conveni AMICAL
23/10/2017 05:00:00 PM,23/10/2017 06:00:00 PM,Josep Mayoral Antigas,Recepció equip junior d'handbiol Fenix Toulouse - programa Erasmus Plus
22/10/2017 07:00:00 PM,22/10/2017 08:00:00 PM,Josep Mayoral Antigas,Sarau 
22/10/2017 01:00:00 PM,22/10/2017 02:00:00 PM,Josep Mayoral Antigas,Lliurament premi concurs de cartells de Salut Mental
22/10/2017 11:30:00 AM,22/10/2017 12:30:00 PM,Josep Mayoral Antigas,46è. Festival Sardanista amb la Cobla de la Ciutat de Granollers
22/10/2017 10:00:00 AM,22/10/2017 11:00:00 AM,Josep Mayoral Antigas,Saludar organitzadors Caminada per la salut mental
22/10/2017 09:30:00 AM,22/10/2017 10:30:00 AM,Josep Mayoral Antigas,Saludar organitzadors 2ª Caminada solidària canina
21/10/2017 10:00:00 PM,21/10/2017 10:45:00 PM,Josep Mayoral Antigas,Desfile de moda marroquina
21/10/2017 05:45:00 PM,21/10/2017 06:15:00 PM,Josep Mayoral Antigas,Fraikin BMG - Globalcaja C. Encantada
21/10/2017 05:00:00 PM,21/10/2017 06:00:00 PM,Josep Mayoral Antigas,Casament
21/10/2017 01:00:00 PM,21/10/2017 02:00:00 PM,Josep Mayoral Antigas,Botigues al carrer Més que comerç
21/10/2017 10:00:00 AM,21/10/2017 11:00:00 AM,Josep Mayoral Antigas,Mostra d'Art Urbà - MAU
20/10/2017 08:00:00 PM,20/10/2017 09:00:00 PM,Josep Mayoral Antigas,"Inauguració exposició ""Utopies persistents"""
20/10/2017 07:00:00 PM,20/10/2017 08:00:00 PM,Josep Mayoral Antigas,Casament
