PARTIT,PARTIT RELACIONAT,ANY,NOMBRE VOTS,PERCENTATGE,NOMBRE REGIDORS,ESCRUTAT
PFiV,PFiV,2011,52,0.25%,0,100
C's,C's,2011,311,1.49%,0,100
PP,PP,2011,2641,12.67%,4,100
SI.,SI.,2011,398,1.91%,0,100
ICV-EUiA-E,IC-V,2011,1240,5.95%,1,100
AG,ERC,2011,1216,5.83%,1,100
PxC,PxC,2011,377,1.81%,0,100
SOM,GANEMOS,2011,289,1.39%,0,100
CiU,CiU,2011,4458,21.38%,6,100
PSC-PM,PSC,2011,8858,42.49%,13,100
ICV-EUiA-E,IC-V,2015,1087,4.61%,0,100
ERC-AG-AM,ERC,2015,2737,11.6%,3,100
PP,PP,2015,1299,5.51%,1,100
VOX-PFiV,PFiV,2015,56,0.24%,0,100
CiU,CiU,2015,3740,15.86%,4,100
PSC-CP,PSC,2015,10209,43.28%,13,100
GANEMOS,GANEMOS,2015,712,3.02%,0,100
CpG-CUP-PA,CUP,2015,1563,6.63%,2,100
C's,C's,2015,1898,8.05%,2,100
