PARTIT,NOM PARTIT,NOMBRE VOTS
ICV-EUiA,Iniciativa per Catalunya Verds-Esquerra Unida i Alternativa,2666
PxC,Plataforma per Catalunya,637
SI_,Solidaritat Catalana per la Independència,360
VD,Vía Democrática,60
PACMA,Partit Animalista Contra el Maltractament Animal,171
C's,Ciutadans,2654
CiU,Convergència i Unió,9282
NULS,Vots nuls,230
UPyD,Unión Progreso y Democracia,77
BLANCS,Vots en blanc,379
CUP,Candidatura d'Unitat Popular-Alternativa d'Esquerres,785
PSC,Partit dels Socialistes de Catalunya,4400
PIRATA_CAT,Pirates de Catalunya,132
PP,Partit Popular,3440
UCE,Unificación Comunista de España,17
EB,Escons en Blanc,255
FARTS_CAT,Hartos.org i Ciutadans en Blanc,91
ERC-Cat Si,Esquerra Republicana de Catalunya – Catalunya Sí,3642
