ENTITAT,NÚM REGISTRE,ADREÇA,TELÈFON,CORREU ELECTRÒNIC,WEB,ÀMBIT PRINCIPAL,ACTIVITATS
ActivaMent  Catalunya Associació,455,,617887550,granollers@activament.org,www.activament.org,Comunitat,Grup de persones que han viscut l'experiència del trastorn mental organitzats per millorar la qualitat de vida i fer d'aquesta una societat més justa i inclusiva.
Asociación de Vecinos Can Gili-Finsobe,56,cami Vell de Lliça d'Amunt,938499045,aavv.can gili@gmail.com,,Comunitat,
Asociación de Vecinos Sota El Camí Ral de Granollers,11,"Prat de la Riba, 82",,,,Comunitat,
Asociación de Veïns de Sant Julià de Palou,14,"Dr. Fàbregas s,n - Plaou - Granollers",938703427,,,Comunitat,
Asociación Guineana de Conakry y Originarios,274,"Conflent 5, 4rt 2a",676305201,saidouburuwil@hotmail.com,,Comunitat,
Asociación Socio cultural AL HADI,372,"Minetes 22, Baixos, Granollers",634614792,asociacionalhadi@gmail.com,,Comunitat,
Associació Amics de la Ciutat de Granollers,359,"Casa de Cultura Sant Francesc, Espí i Grau 1",,amicsciutatgranollers@gmail.com,www.amicsciutatgranollers.com,Comunitat,
Associació Averroes per al Desenvolupament i la Comunicació,228,"Centre cívic Nord, C, Lledoner 6",618820497,bennor@hotmail.es,,Comunitat,
Associació Bading Cafo,417,"Pllars 1, 08-01",,,,Comunitat,
Associació Banc del Temps de Granollers,459,"Can Jonch, C, Rec 19",938426834,bancdeltempsgranollers@gmail.com,"www.facebook.com,bancdeltempsgranollers",Comunitat,"Entitat que fomenta la cooperació i la paticipació ciutadana a traves dels diferents serveis que es poden oferir i rebre, ofereix cobertura a les diferents necessitats dels ciutadans aa traves de la solidaritat i la cooperació i potencia valors de la solidaritat, convivència i igualtat d'oportunitats."
Associació Catedral de la Fe,405,,685877193,salvador_mollet@hotmail.com,,Comunitat,
Associació Cultural Al Maghfira,259,"Centre cívic Can Bassa, Pl. Joan Oliver1",657389584,almaghfira2001@gmail.com,,Comunitat,
Associació Cultural Amics de l'Àfrica,31,"Torras i Bages 11, 1r 1a",9.38706558686253E8,amics_delafrica@hotmail.com,www.amicsdelafrica.com,Comunitat,
Associació Cultural Dade Leñol-La Veu del Poble,338,"C, Tetouan 111, P1",,,,Comunitat,
Associació Cultural de Labe,444,"C, Bertran de Seva 11-13, 04 A",679889003,,,Comunitat,Ajuda social mútua per millora del benestar dels integrants i foment de la necessitat d'integració a la societat catalana. També fa projectes de cooperació amb Guinea Conakry.
Associació Cultural Munaviru Sudur (Posar llum al camí) del V.O,371,"Xile 2, Ent. A",631482624,mbuubajaly77@hotmail.com,,Comunitat,
Associació d'Aturats i Aturades de Granollers,412,"Centre cívic Nord (c, Lledoner 6)",680903205,aturats.granollers@gmail.com,,Comunitat,
Associació d'Immigrants Senegalesos del Vallès Oriental,369,"Angel Guimera, 12 2-3",600383811,fatagassama@hotmail.com,www.senegalesos.com,Comunitat,
Associació de Persones Sordes de Granollers,374,Enric Prat de la Riba 77 (Fàbrica de les arts),,apsgvori.latroca@gmail.com,,Comunitat,
Associació de Veïns barri del Lledoner de Granollers,57,"Plaça Jaume Primer 12, 5è 1a",9.38400353627007E8,pereribasribas@gmail.com,,Comunitat,
Associació de Veïns Congost,160,Maria Palau 20 (Pavelló d'Esports Congost),938615444,aavvcongost@gmail.com ,,Comunitat,
