DATA,ANY,TIPUS ELECCIONS,NOM PARTIT,PARTIT,SIGLES,NOMBRE VOTS,NOMBRE REGIDORS,% VOTS
22/05/2011,2011,Municipals,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,PSC,8858,13,42.49%
22/05/2011,2011,Municipals,Iniciativa per Catalunya Verds - EUiA - Entesa,ICV-EUiA-E,ICV,1240,1,5.95%
22/05/2011,2011,Municipals,Acció Granollers - Esquerra - Reagrupament - GI-AM,AG,ERC,1216,1,5.83%
27/05/2007,2007,Municipals,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,PSC,9870,14,46.33%
27/05/2007,2007,Municipals,Convergència i Unió,CiU,CiU,4271,6,20.05%
27/05/2007,2007,Municipals,Partit Popular,PP,PP,2102,3,9.87%
27/05/2007,2007,Municipals,Esquerra Republicana de Catalunya - Acord Municipal,ERC-AM,ERC,1883,2,8.84%
25/05/2003,2003,Municipals,Partit Socialistes Catalunya - Progrés Municipal,PSC-PM,PSC,9627,10,37.43%
25/05/2003,2003,Municipals,Convergència i Unió,CiU,CiU,7249,8,28.18%
25/05/2003,2003,Municipals,Esquerra Republicana de Catalunya - Acord Municipal,ERC-AM,ERC,3256,3,12.66%
13/06/1999,1999,Municipals,Partit Socialistes Catalunya,PSC,PSC,8475,11,37.26%
13/06/1999,1999,Municipals,Convergència i Unió,CiU,CiU,7794,10,34.26%
13/06/1999,1999,Municipals,Partit Popular,PP,PP,2075,2,9.12%
13/06/1999,1999,Municipals,Esquerra Republicana de Catalunya,ERC,ERC,2056,2,9.04%
22/05/2011,2011,Municipals,Convergència i Unió,CiU,CiU,4458,6,21.38%
22/05/2011,2011,Municipals,Partit Popular,PP,PP,2641,4,12.67%
25/05/2003,2003,Municipals,Partit Popular,PP,PP,2650,3,10.3%
25/05/2003,2003,Municipals,Iniciativa per Catalunya - Verds - Esquerra Alternativa - Entesa Progrés Municipal,ICV-EA-EPM,ICV,1735,1,6.75%
28/05/1995,1995,Municipals,Partit Socialistes Catalunya,PSC,PSC,9656,10,36.56%
28/05/1995,1995,Municipals,Convergència i Unió,CiU,CiU,10297,10,40.09%
28/05/1995,1995,Municipals,Esquerra Republicana de Catalunya,ERC,ERC,2157,2,8.17%
28/05/1995,1995,Municipals,Partit Popular,PP,PP,2050,2,7.76%
28/05/1995,1995,Municipals,Iniciativa - Els Verds,IC-EV,ICV,1486,1,5.63%
24/05/2015,2015,Municipals,Partit Socialistes Catalunya,PSC-CP,PSC,10209,13,43.28%
24/05/2015,2015,Municipals,Convergència i Unió,CiU,CiU,3740,4,15.86%
24/05/2015,2015,Municipals,Esquerra Republicana de Catalunya - Acció Granollers - Acord Municipal,ERC-AG-AM,ERC,2737,3,11.6%
24/05/2015,2015,Municipals,Ciutadans - Partit de la Ciutadania,C's,C's,1898,2,8.05%
24/05/2015,2015,Municipals,Crida per Granollers - CUP,CpG-CUP-PA,CUP,1563,2,6.63%
24/05/2015,2015,Municipals,Partit Popular,PP,PP,1299,1,5.51%
26/05/1991,1991,Municipals,Partit Socialistes Catalunya,PSC-PSOE,PSC,9774,13,43.87%
27/05/1991,1991,Municipals,Convergència i Unió,CiU,CiU,8994,12,40.37%
10/06/1987,1987,Municipals,Partit Socialistes Catalunya,PSC,PSC,10186,11,44.19%
11/06/1987,1987,Municipals,Convergència i Unió,CiU,CiU,9299,10,40.34%
