LÍNIA,DESCRIPCIÓ LÍNIA,PARADA,LOCALITZACIÓ,TIPUS DE DIA,SENTIT,ORDRE,HORES DE SORTIDA
L-1,Can Gili - Hospital - La Torreta,Can Gili,"(41.614361, 2.275335)",Laborable,Anada Hospital - La Torreta,1,6:25;7:05;7:25;7:45;8:05;8:25;8:45;9:05;9:25;9:45;10:25;10:55;11:25;11:55;12:25;12:55;13:25;13:55;14:25;14:55;15:25;16:05;16:25;16:45;17:05;17:25;17:45;18:05;18:25;18:45;19:25;19:55;20:25;20:55;21:25
L-1,Can Gili - Hospital - La Torreta,Tagamanent,"(41.613764, 2.277083)",Laborable,Anada Hospital - La Torreta,2,6:26;7:06;7:26;7:46;8:06;8:26;8:46;9:06;9:26;9:56;10:26;10:56;11:26;11:56;12:26;12:56;13:26;13:56;14:26;14:56;15:26;16:06;16:26;16:46;17:06;17:26;17:46;18:06;18:26;18:46;19:26;19:56;20:26;20:56;21:26
L-1,Can Gili - Hospital - La Torreta,Avinguda Canovelles,"(41.617539, 2.277157)",Laborable,Anada Hospital - La Torreta,3,6:28;7:08;7:28;7:48;8:08;8:28;8:48;9:08;9:28;9:58;10:28;10:58;11:28;11:58;12:28;12:58;13:28;13:58;14:28;14:58;15:28;16:08;16:28;16:48;17:08;17:28;17:48;18:08;18:28;18:48;19:28;19:58;20:28;20:58;21:28
L-1,Can Gili - Hospital - La Torreta,Ajuntament de Canovelles,"(41.621567, 2.277571)",Laborable,Anada Hospital - La Torreta,4,6:29;7:09;7:29;7:49;8:09;8:29;8:49;9:09;9:29;9:59;10:29;10:59;11:29;11:59;12:29;12:59;13:29;13:59;14:29;14:59;15:29;16:09;16:29;16:49;17:09;17:29;17:49;18:09;18:29;18:49;19:29;19:59;20:29;20:59;21:29
L-1,Can Gili - Hospital - La Torreta,Diagonal,"(41.620541, 2.279602)",Laborable,Anada Hospital - La Torreta,5,6:30;7:10;7:30;7:50;8:10;8:30;8:50;9:10;9:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:10;16:30;16:50;17:10;17:30;17:50;18:10;18:30;18:50;19:30;20:00;20:30;21:00;21:30
L-1,Can Gili - Hospital - La Torreta,Sol,"(41.618484, 2.281293)",Laborable,Anada Hospital - La Torreta,6,6:31;7:11;7:31;7:51;8:11;8:31;8:51;9:11;9:31;10:01;10:31;11:01;11:31;12:01;12:31;13:01;13:31;14:01;14:31;15:01;15:31;16:11;16:31;16:51;17:11;17:31;17:51;18:11;18:31;18:51;19:31;20:01;20:31;21:01;21:31
L-1,Can Gili - Hospital - La Torreta,Indústria - CAP,"(41.616359, 2.280468)",Laborable,Anada Hospital - La Torreta,7,6:33;7:13;7:33;7:53;8:13;8:33;8:53;9:13;9:33;10:03;10:33;11:03;11:33;12:03;12:33;13:03;13:33;14:03;14:33;15:03;15:33;16:13;16:33;16:53;17:13;17:33;17:53;18:13;18:33;18:53;19:33;20:03;20:33;21:03;21:33
L-1,Can Gili - Hospital - La Torreta,Pavelló Congost,"(41.614243, 2.279689)",Laborable,Anada Hospital - La Torreta,8,6:34;7:14;7:34;7:54;8:14;8:34;8:54;9:14;9:34;10:04;10:34;11:04;11:34;12:04;12:34;13:04;13:34;13:04;14:34;15:04;15:34;16:14;16:34;16:54;17:14;17:34;17:54;18:14;18:34;18:54;19:34;20:04;20:34;21:04;21:34
L-1,Can Gili - Hospital - La Torreta,Av. Estació del Nord,"(41.612027, 2.27902)",Laborable,Anada Hospital - La Torreta,9,6:35;7:15;7:35;7:55;8:15;8:35;8:55;9:15;9:35;10:05;10:35;11:05;11:35;12:05;12:35;13:05;13:35;14:05;14:35;15:05;15:35;16:15;16:35;16:55;17:15;17:35;17:55;18:15;18:35;18:55;19:35;20:05;20:35;21:05;21:35
L-1,Can Gili - Hospital - La Torreta,Instituts,"(41.609088, 2.283268)",Laborable,Anada Hospital - La Torreta,10,6:36;7:16;7:36;7:56;8:16;8:36;8:56;9:16;9:36;10:06;10:36;11:06;11:36;12:06;12:36;13:06;13:36;14:06;14:36;15:06;15:36;16:16;16:36;16:56;17:16;17:36;17:56;18:16;18:36;18:56;19:36;20:06;20:36;21:06;21:36
L-1,Can Gili - Hospital - La Torreta,Plaça de les Hortes,"(41.606241, 2.283106)",Laborable,Anada Hospital - La Torreta,11,6:37;7:17;7:37;7:57;8:17;8:37;8:57;9:17;9:37;10:07;10:37;11:07;11:37;12:07;12:37;13:07;13:37;14:07;14:37;15:07;15:37;16:17;16:37;16:57;17:17;17:37;17:57;18:17;18:37;18:57;19:37;20:07;20:37;21:07;21:37
L-1,Can Gili - Hospital - La Torreta,Primer de Maig,"(41.603528, 2.282848)",Laborable,Anada Hospital - La Torreta,12,6:39;7:19;7:39;7:59;8:19;8:39;8:59;9:19;9:39;10:09;10:39;11:09;11:39;12:09;12:39;13:09;13:39;14:09;14:39;15:09;15:39;16:19;16:39;16:59;17:19;17:39;17:59;18:19;18:39;18:59;19:39;20:09;20:39;21:09;21:39
L-1,Can Gili - Hospital - La Torreta,Piscines Municipals,"(41.60093, 2.282572)",Laborable,Anada Hospital - La Torreta,13,6:40;7:20;7:40;8:00;8:20;8:40;9:00;9:20;9:40;10:10;10:40;11:10;11:40;12:10;12:40;13:10;13:40;14:10;14:40;15:10;15:40;16:20;16:40;17:00;17:20;17:40;18:00;18:20;18:40;19:00;19:40;20:10;20:40;21:10;21:40
L-1,Can Gili - Hospital - La Torreta,Sant Miquel,"(41.600288, 2.28614)",Laborable,Anada Hospital - La Torreta,14,6:42;7:22;7:42;8:02;8:22;8:42;9:02;9:22;9:42;10:12;10:42;11:12;11:42;12:12;12:42;13:12;13:42;14:12;14:42;15:12;15:42;16:22;16:42;17:02;17:22;17:42;18:02;18:22;18:42;19:02;19:42;20:12;20:42;21:12;21:42
L-1,Can Gili - Hospital - La Torreta,Colom,"(41.600052, 2.288086)",Laborable,Anada Hospital - La Torreta,15,6:43;7:23;7:43;8:03;8:23;8:43;9:03;9:23;9:43;10:13;10:43;11:13;11:43;12:13;12:43;13:13;13:43;14:13;14:43;15:13;15:43;16:23;16:43;17:03;17:23;17:43;18:03;18:23;18:43;19:03;19:43;20:13;20:43;21:13;21:43
L-1,Can Gili - Hospital - La Torreta,Estació de França - Marquesina A,"(41.599851, 2.290731)",Laborable,Anada Hospital - La Torreta,16,6:45;7:25;7:45;8:05;8:25;8:45;9:05;9:25;9:45;10:15;10:45;11:15;11:45;12:15;12:45;13:15;13:45;14:15;14:45;15:15;15:45;16:25;16:45;17:05;17:25;17:45;18:05;18:25;18:45;19:05;19:45;20:15;20:45;21:15;21:45
L-1,Can Gili - Hospital - La Torreta,Foment,"(41.602959, 2.290545)",Laborable,Anada Hospital - La Torreta,17,6:46;7:26;7:46;8:06;8:26;8:46;9:06;9:26;9:46;10:16;10:46;11:16;11:46;12:16;12:46;13:16;13:46;14:16;14:46;15:16;15:46;16:26;16:46;17:06;17:26;17:46;18:06;18:26;18:46;19:06;19:46;20:16;20:46;21:16;21:46
