CODI,EPÍGRAF,NOM,ADREÇA,SUPERFICIE (m2),ÚS,SERVEI RESPONSABLE
105,1.1.a Parcs i Jardins,Sobrant atermenament Riu Congost,PLA DE PALOU                  ,1989,parc-camí,Urbanisme
109,1.1.a Parcs i Jardins,Sobrant atermenament Riu Congost,SERRA DE LLEVANT              ,11703,parc-camí,Urbanisme
154,1.1.a Parcs i Jardins,Sobrant atermenament Riu Congost,PG FLUVIAL,325,zona verde,
172,1.1.a Parcs i Jardins,Jardins de Can Corts,"C LLORENÇ VILLALONGA,      SUELO",5084,Jardins,Espais Verds
179,1.1.a Parcs i Jardins,Lateral riu Congost,PG FLUVIAL,3263,passeig,Urbanisme
187,1.1.a Parcs i Jardins,Sobrant de Rotonda,"PG RIBERA,    1B",86,vialitat,
200,1.1.a Parcs i Jardins,Jardins de c/ Can Muntanyola,"C CAMI RAL,      SUELO",898,Jardins,Espais Verds
230,1.1.a Parcs i Jardins,Jardins de Bernart de Rocafort,"AV MARIE CURIE,    7B",3453,Parc,Espais Verds
244,1.1.a Parcs i Jardins,Jardins Montserrat Roig,"C MONTSERRAT ROIG,   21",681,Jardins,Espais Verds
262,1.1.a Parcs i Jardins,Parc en el Lledoner,"C RAFAEL CASANOVA,      SUELO",52229,Parc,Espais Verds
263,1.1.a Parcs i Jardins,Espai lliure en UA-23-1a,"C PONENT,      SUELO",1487,Espai lliure,Urbanisme
264,1.1.a Parcs i Jardins,Espai  lliure en UA-23-2,C RAMON LLULL,2526,Espai lliure,Urbanisme
265,1.1.a Parcs i Jardins,Espai lliure UA-23-2,C FONT DE L'ESCOT,603,Espai lliure,Urbanisme
269,1.1.a Parcs i Jardins,Espai Lliure,"C SANT PLACID,   23 SUELO",2692,Plaça,Urbanisme
271,1.1.a Parcs i Jardins,Espai Lliure,"C RAFAEL CASANOVA,  128-134 SUELO",1847,Plaça,Urbanisme
273,1.1.a Parcs i Jardins,Solar,"C RAFAEL CASANOVA,  142-148 SUELO",1848,Espai lliure,
274,1.1.a Parcs i Jardins,Espai Lliure,"C RAFAEL CASANOVA,  158-164 SUELO",1847,Plaça,Urbanisme
275,1.1.a Parcs i Jardins,Espai Liure  en Jaume Corbera,"C JAUME CORBERA,      SUELO",14558,Parc,Espais Verds
297,1.1.a Parcs i Jardins,Jardins la Bobila-Lope de Vega,"C LOPE DE VEGA,      SUELO",3481,Jardins,Espais Verds
302,1.1.a Parcs i Jardins,Jardins en Costa Rica,"C COSTA RICA,    4",5759,Jardins,Espais Verds
318,1.1.a Parcs i Jardins,Espai lliure,"C FREDERIC SOLER,    4 SUELO",247,Jardins,Espais Verds
325,1.1.a Parcs i Jardins,Espai lliure Granularius,"C JOSEP UMBERT,      SUELO",516,Jardins,Espais Verds
332,1.1.a Parcs i Jardins,Espai lliures,"C DIONIS PUIG,   23 SUELO",2653,Jardins,Espais Verds
337,1.1.a Parcs i Jardins,Espai lliures,"C GALILEU GALILEI,   64",3140,jardins -aparcament,Urbanisme
341,1.1.a Parcs i Jardins,Bosc de Can Ferran (part),"C COPERNIC,    6-8",9866,Parc,Espais Verds
345,1.1.a Parcs i Jardins,Espai lliure,"CTRA N-152A,      Km 25,8",1880,Jardins,Espais Verds
348,1.1.a Parcs i Jardins,espai lliure,C MARIAN LASSUS,88,Terreny,Urbanisme
352,1.1.a Parcs i Jardins,Espai lliure,"CTRA N-152A,      Km 26",8967,Jardins,Espais Verds
357,1.1.a Parcs i Jardins,Espai lliure,"C MIQUEL SERVET,   26",486,Jardins,Espais Verds
374,1.1.a Parcs i Jardins,Espai lliure,"C CAMI VELL LLIÇA A.,      SUELO",2994,Pendent urbanització,Urbanisme
377,1.1.a Parcs i Jardins,Atermenament rio Congost,. CAN BRUTAU,17374,Vial-horts-zona verda,Urbanisme
382,1.1.a Parcs i Jardins,Atermenament rio Gongost,"AV SANT JULIA,   85 SUELO",11812,Jardins,Urbanisme
385,1.1.a Parcs i Jardins,Espai lliure-via Renfe,"C JOANOT MARTORELL,  272 SUELO",6382,Jardins,Espais Verds
390,1.1.a Parcs i Jardins,Enderrocada,". CAN MORAGAS,      TODOS",77,Jardins,Espais Verds
392,1.1.a Parcs i Jardins,Atermenament riu Congost,"AV SANT JULIA,  227-229",6136,Jardins,Urbanisme
451,1.1.a Parcs i Jardins,Jardins Maria Corbera,carrer Girona 146,2184,Jardins,Espais Verds
469,1.1.a Parcs i Jardins,Jardins en C. Xile,,3145,Jardins,Espais Verds
520,1.1.a Parcs i Jardins,Jardins en plaça C/.Magallanes,carrer Camí Ral 13,77,Jardins,Espais Verds
333,1.1.a Parcs i Jardins,Parc del Ramassar,"CAMI CEMENTIRI,    7",32028,Parc,Espais Verds
334,1.1.a Parcs i Jardins,espai lliure,"C GALILEU GALILEI,   64B",436,Jardins,Espais Verds
335,1.1.a Parcs i Jardins,Bosc de Can Ferran,"C GALILEU GALILEI,   49-53",38619,Bosc-Parc,Medi Ambient
