CODI,NOMBRE DE PLACES,LOCALITZACIÓ
AP067,8,"(41.611542, 2.289895)"
AP068,8,"(41.605638, 2.290953)"
AP069,8,"(41.597858, 2.290147)"
AP070,8,"(41.612975, 2.289419)"
AP056,8,"(41.605266, 2.283278)"
AP001,16,"(41.611417, 2.27697)"
AP002,8,"(41.611653, 2.281943)"
AP003,16,"(41.611643, 2.281468)"
AP004,16,"(41.61344, 2.281231)"
AP005,6,"(41.613968, 2.281482)"
AP006,10,"(41.614074, 2.281571)"
AP007,10,"(41.614195, 2.281091)"
AP008,8,"(41.614019, 2.274922)"
AP009,8,"(41.614648, 2.274828)"
AP010,12,"(41.61305, 2.276864)"
AP011,5,"(41.613355, 2.286133)"
AP012,8,"(41.612604, 2.286072)"
AP013,8,"(41.611191, 2.287134)"
AP014,6,"(41.610148, 2.28803)"
AP015,6,"(41.609168, 2.287974)"
AP016,8,"(41.608139, 2.286707)"
AP018,8,"(41.606466, 2.2828)"
AP019,20,"(41.608019, 2.283039)"
AP020,6,"(41.590884, 2.289312)"
AP021,8,"(41.590913, 2.28808)"
AP022,8,"(41.590838, 2.286745)"
AP023,8,"(41.59132, 2.286908)"
AP024,8,"(41.591585, 2.286359)"
AP025,8,"(41.599965, 2.289909)"
AP026,6,"(41.601058, 2.285541)"
AP027,8,"(41.601591, 2.285059)"
AP028,12,"(41.600607, 2.283053)"
AP029,12,"(41.600948, 2.282317)"
AP030,12,"(41.60132, 2.281952)"
AP031,12,"(41.598553, 2.281064)"
AP032,8,"(41.604793, 2.282742)"
AP033,8,"(41.604452, 2.282136)"
AP034,8,"(41.604215, 2.282215)"
AP035,8,"(41.603791, 2.282733)"
AP036,8,"(41.603513, 2.28272)"
AP037,8,"(41.605312, 2.287844)"
AP038,8,"(41.60591, 2.288918)"
AP039,14,"(41.605353, 2.288477)"
AP040,6,"(41.611671, 2.287792)"
AP041,8,"(41.613818, 2.288909)"
AP042,5,"(41.618482, 2.289277)"
AP043,5,"(41.6212, 2.29287)"
AP044,8,"(41.621563, 2.295109)"
AP045,8,"(41.599476, 2.291173)"
AP046,5,"(41.607837, 2.29103)"
AP047,6,"(41.599121, 2.286812)"
AP048,16,"(41.613335, 2.293947)"
AP049,5,"(41.621311, 2.291383)"
AP050,5,"(41.607712, 2.292788)"
AP051,5,"(41.606394, 2.290798)"
AP074,8,"(41.602864, 2.294479)"
AP073,8,"(41.600066, 2.280553)"
AP062,8,"(41.60819, 2.284815)"
AP060,4,"(41.609674, 2.280696)"
AP061,4,"(41.609475, 2.280547)"
AP063,8,"(41.605771, 2.283174)"
AP064,8,"(41.604923, 2.285648)"
AP065,8,"(41.606277, 2.286264)"
AP066,6,"(41.597975, 2.28583)"
AP072,8,"(41.617304, 2.288204)"
