PROJECTE,DESCRIPCIÓ,ADREÇA,LOCALITZACIÓ
MILLORES PLAÇA CAN MÒNIC,Incorporació de mobiliari i 2 nous projectors,Plaça Can Mònic,"(41.621781, 2.294744)"
REMONTABLES CAN BATZACS,Construcció de tres remontables per control velocitat,Camí de Can Batzacs,"(41.581276, 2.280379)"
ENLLUMENAT MUSEU,Substitució enllumenat expositiu per tecnoliga led,Museu de Granollers,"(41.606922, 2.28839)"
SALA FITNESS PISTES ATLETISME,Acondicionament de sala de musculació (fitness),Gimnàs pistes atletisme,"(41.600787, 2.280457)"
NOU PAS VIANANTS JOANOT MARTORELL,Creació d'un pas de vianants,"Carrer Joanot Martorell , pas vianants sota vies a prop C Arenys","(41.608424, 2.276016)"
COL·LECTOR PAVELLÓ MUNICIPAL  Fase 1,Millora d'un tram de col·lector,Jadins Lluís Companys,"(41.601963, 2.282175)"
APARCAMENT AVDA ST JULIÀ,Creació d'un aparcament,Avda Sant Julià,"(41.57697, 2.273303)"
ADAPTACIÓ VORERES C GIRONA,Renovació de la vorera,Voreres costat llevant entre Felip II i Figueres,"(41.614723, 2.292329)"
FOSSA COMÚ CEMENTIRI,Construcció d'una nova fossa comuna,Cementiri municipal,"(41.608821, 2.299384)"
TRIANGLE CARRER EQUADOR,Urbanització espai no urbanitzat,C Equador amb C Uruguay,"(41.603946, 2.29412)"
AMPLIACIÓ DEL CEMENTIRI,Ampliació del cementiri amb nous nínxols i columbari,Cementir Municipal,"(41.609308, 2.29985)"
ENLLUMENAT ESPAIS EXTERIORS ROCA UMBERT,Nou enllumenat amb tecnolgia led,Recinte de Roca Umbert,"(41.601109, 2.281503)"
NOU SISTEMA BÚSTIES BIBLIOTECA ROCA UMBERT,Bústies sistema RFIT,Bbilioteca Roca Umbert,"(41.601835, 2.281301)"
MILLORES MUSEU LA TELA,"Millora espais, instal·lació elèctrica i enllumenat",Museu La Tela,"(41.601752, 2.287835)"
