RUTA,TIPUS DE RUTA,DISTÀNCIA (Km),TEMPS ESTIMAT,PUNT D'INTERÈS,ORDRE,LOCALITZACIÓ
Itinerari del Padró,Ruta natural,7.6,1h 50min,Carrer de Josep Umbert,1,"(41.604218000000003, 2.2929349999999999)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,Cal Jardiner,2,"(41.594743000000001, 2.2934239999999999)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,Àrea de descans del Pedró,3,"(41.587623999999998, 2.2940719999999999)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,Els Quatre Camins,4,"(41.582915, 2.2919130000000001)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,El Camí Ral,5,"(41.581530000000001, 2.2801049999999998)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,El Parc Firal,6,"(41.596929000000003, 2.277936)"
Itinerari del Padró,Ruta natural,7.6,1h 50min,Plaça de la Constitució,7,"(41.610883000000001, 2.2833420000000002)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Plaça de Josep Oliveres,1,"(41.586855, 2.2790949999999999)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Camí de Can Pastor - Pas FFCC,2,"(41.598526, 2.275623)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Bosc de Sant Nicolau,3,"(41.602058, 2.2740490000000002)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Camí de l'Escanyat,4,"(41.607917, 2.2742930000000001)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Verneda de Can Gili,5,"(41.613038000000003, 2.2741980000000002)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Font del Ràdium - Àrea de descans,6,"(41.601823000000003, 2.2680189999999998)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Bosc de can Ferran,7,"(41.588549, 2.2626550000000001)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Bosc de Can Català,8,"(41.575982000000003, 2.265101)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Bosc de Can Gordi,9,"(41.569361999999998, 2.2620040000000001)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Can Cabanyes - bosc i aiguamoll,10,"(41.56756, 2.2673260000000002)"
Itinerari de la Font del Ràdium,Ruta natural,15.7,4h,Passeig Fluvial,11,"(41.597715000000001, 2.278308)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,," La Porxada, segle XVI",1,"(41.608141000000003, 2.2874910000000002)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XV",2,"(41.608314999999997, 2.2879659999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casal Masferrer-Perpinyà, segle XVI",3,"(41.608026000000002, 2.2881629999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Can Cunillera, segle XVI",4,"(41.607866000000001, 2.287671)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casal, segle XVI",5,"(41.607906999999997, 2.2874460000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XVI",6,"(41.608271000000002, 2.287623)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XVI",7,"(41.608488000000001, 2.2871079999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Casa, segle XV",8,"(41.608528, 2.2874680000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Can Bassa, segle XV",9,"(41.608497, 2.2874979999999998)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Can March, segle XVI",10,"(41.608474999999999, 2.2877540000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Les muralles, segle XIV-XVI",11,"(41.608784999999997, 2.2888709999999999)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Portal de Corró i capella de Sant Antoni, segles XIV-XVI",12,"(41.608916999999998, 2.287801)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Portal de la Roca i capella de Santa Esperança, segles XIV-XVI",13,"(41.607590000000002, 2.2885360000000001)"
"Itinerari del Patrimoni històric, medieval i modern de Granollers",Ruta de patrimoni,,,"Portal de Bell-lloc i capella de Sant Roc, segles XIV-XVI",14,"(41.608260000000001, 2.2887919999999999)"
