CODI CARRER,NÚMERO,PARITAT,LOCALITZACIÓ
2314,113,O,"(41.598723, 2.286324)"
2314,105,O,"(41.598922, 2.286363)"
2085,154,E,"(41.599091, 2.286773)"
2085,156,E,"(41.598767, 2.286708)"
2085,145,O,"(41.598485, 2.287008)"
2085,155,O,"(41.597022, 2.286745)"
2252,1,O,"(41.596908, 2.286861)"
2252,43,O,"(41.596691, 2.288354)"
2252,72,E,"(41.596072, 2.289695)"
2252,74,E,"(41.596053, 2.289798)"
2252,45,O,"(41.596655, 2.288608)"
2252,75,O,"(41.596515, 2.2896)"
2252,10-12,E,"(41.596432, 2.28703)"
2185,29B,O,"(41.606914, 2.293136)"
2185,31,O,"(41.60712, 2.29316)"
2185,33,O,"(41.607531, 2.293219)"
2260,15,O,"(41.598246, 2.289014)"
2087,1,E,"(41.59808, 2.288937)"
2087,3,E,"(41.598059, 2.289258)"
2084,1,O,"(41.61326, 2.291051)"
1889,2,E,"(41.597, 2.286289)"
1812,28,E,"(41.598411, 2.282548)"
1813,23,O,"(41.598829, 2.280123)"
2257,28,E,"(41.598785, 2.280556)"
1812,67-69,O,"(41.598196, 2.281831)"
1812,63-65,O,"(41.598014, 2.282864)"
2444,35,O,"(41.597466, 2.285382)"
2399,3,O,"(41.597208, 2.286955)"
2399,1,O,"(41.597219, 2.286863)"
2399,4,E,"(41.597048, 2.286908)"
2399,44,E,"(41.596868, 2.28839)"
2395,14,E,"(41.595975, 2.288225)"
2252,44,E,"(41.596282, 2.288262)"
2252,70,E,"(41.59612, 2.289407)"
2242,6,E,"(41.595852, 2.289364)"
2428,32,E,"(41.595497, 2.289834)"
2222,21,O,"(41.618085, 2.292328)"
2222,41,O,"(41.618437, 2.292426)"
2222,32,E,"(41.618494, 2.292584)"
2181,8,E,"(41.618861, 2.293108)"
2087,7,O,"(41.598035, 2.289635)"
2181,10,E,"(41.61884, 2.293216)"
1943,71,O,"(41.61721, 2.292479)"
2138,9,O,"(41.616235, 2.292366)"
1943,44,E,"(41.617204, 2.292664)"
2094,203,O,"(41.617226, 2.29282)"
1943,20,E,"(41.616101, 2.291742)"
2138,18,E,"(41.616069, 2.292447)"
1943,10,E,"(41.615568, 2.291359)"
2100,13,O,"(41.614536, 2.291864)"
1899,27,O,"(41.61548, 2.293063)"
1899,29,O,"(41.61544, 2.293308)"
1899,31,O,"(41.615405, 2.293514)"
2076,1,O,"(41.615026, 2.292678)"
2076,2,E,"(41.614916, 2.2926)"
2076,16-18,E,"(41.614826, 2.293361)"
2113,1,O,"(41.613943, 2.29323)"
2086,5,O,"(41.613623, 2.291135)"
2100,14,E,"(41.614432, 2.291728)"
2100,16,E,"(41.614418, 2.29187)"
2118,162,E,"(41.61376, 2.290587)"
2086,1,O,"(41.613681, 2.290719)"
2107,1,B,"(41.614162, 2.290365)"
2153,1,O,"(41.615296, 2.29003)"
2178,40,E,"(41.615058, 2.289661)"
2244,16,E,"(41.613885, 2.288933)"
2253,2,E,"(41.614013, 2.288799)"
2244,20,E,"(41.613958, 2.28846)"
2244,30,E,"(41.614069, 2.287774)"
2046,2,E,"(41.612161, 2.288792)"
2118,149,O,"(41.613529, 2.290299)"
2118,160,E,"(41.613498, 2.290519)"
2359,2,E,"(41.61204, 2.2897)"
2051,169,O,"(41.613195, 2.289511)"
2193,8,E,"(41.613903, 2.283417)"
2193,1,O,"(41.613682, 2.283872)"
2300,87,O,"(41.610657, 2.284158)"
1912,14,E,"(41.609926, 2.28449)"
1912,11,O,"(41.609866, 2.284676)"
2198,2,E,"(41.609057, 2.285162)"
2086,74,E,"(41.612307, 2.296046)"
2385,110,E,"(41.608056, 2.297409)"
2658,11,O,"(41.611723, 2.302854)"
2658,3,O,"(41.610608, 2.300671)"
2658,1,O,"(41.610409, 2.300331)"
2218,1,O,"(41.609198, 2.293839)"
1909,19,O,"(41.609509, 2.294729)"
2176,32,E,"(41.612129, 2.292523)"
2176,34,E,"(41.612118, 2.292677)"
2297,101,O,"(41.611943, 2.292698)"
2063,16,E,"(41.609488, 2.29093)"
2063,44,E,"(41.609349, 2.291953)"
1921,56,E,"(41.608738, 2.292786)"
1921,58,E,"(41.608734, 2.29284)"
2249,73,O,"(41.606671, 2.2833)"
1895,56,E,"(41.606606, 2.283339)"
2171,12,E,"(41.606208, 2.283805)"
2235,36,E,"(41.605428, 2.284193)"
1895,43,O,"(41.606654, 2.284209)"
2280,1,O,"(41.608542, 2.287038)"
2270,2,E,"(41.607802, 2.285392)"
2306,28,E,"(41.609182, 2.286721)"
2067,61,O,"(41.612251, 2.28802)"
2370,5,B,"(41.607899, 2.286864)"
2212,1,O,"(41.601089, 2.288381)"
2212,21,O,"(41.601016, 2.28896)"
1891,15,O,"(41.600757, 2.288357)"
2212,16,E,"(41.600925, 2.289018)"
2212,2,E,"(41.601004, 2.288377)"
2314,44,E,"(41.60101, 2.286664)"
1900,60,E,"(41.601248, 2.285833)"
2271,158,E,"(41.600169, 2.288935)"
2263,92,E,"(41.601288, 2.290233)"
2271,99,O,"(41.601426, 2.289314)"
1891,31,O,"(41.600649, 2.289231)"
2212,38,E,"(41.60078, 2.290167)"
1891,46,E,"(41.600408, 2.290146)"
2189,37,O,"(41.602276, 2.289474)"
2189,61,O,"(41.602182, 2.290226)"
2045,12,E,"(41.605129, 2.289184)"
2045,2,E,"(41.605189, 2.288752)"
1886,1,O,"(41.605205, 2.288415)"
2204,20,E,"(41.605088, 2.289029)"
2238,2,E,"(41.604319, 2.290761)"
2131,56,E,"(41.605636, 2.290877)"
2263,1,O,"(41.605596, 2.29074)"
2219,1,O,"(41.603988, 2.290808)"
2219,7,O,"(41.603807, 2.291389)"
2347,33,O,"(41.603941, 2.291202)"
2189,63,O,"(41.602114, 2.290755)"
2263,55,O,"(41.602629, 2.290643)"
2144,54,E,"(41.602543, 2.291592)"
2399,75,O,"(41.596861, 2.28984)"
2242,1,O,"(41.596025, 2.289683)"
2339,16,E,"(41.598872, 2.289527)"
2339,14,E,"(41.599092, 2.289578)"
2284,8,E,"(41.599059, 2.28949)"
2135,1,O,"(41.599856, 2.28847)"
2038,22,E,"(41.599874, 2.288543)"
2038,30,E,"(41.599816, 2.289008)"
2038,14,E,"(41.599924, 2.288223)"
2072,22,E,"(41.598308, 2.290032)"
2087,13,E,"(41.598003, 2.28992)"
2238,18,E,"(41.604128, 2.291714)"
2172,2,E,"(41.61256, 2.275185)"
2172,10,E,"(41.612093, 2.275215)"
2019,2,E,"(41.613767, 2.277121)"
2291,23,O,"(41.614806, 2.276616)"
2291,1,O,"(41.614047, 2.276949)"
2019,1,O,"(41.614254, 2.277064)"
0,1,,"(41.613994, 2.280641)"
1911,7,O,"(41.612249, 2.281375)"
1944,19,O,"(41.612599, 2.282208)"
1944,21,O,"(41.612789, 2.282342)"
2160,12-14,E,"(41.613221, 2.27933)"
2259,20,E,"(41.611498, 2.27757)"
2377,38,E,"(41.611235, 2.278509)"
2102,4,E,"(41.61175, 2.278732)"
2102,2,E,"(41.611864, 2.278779)"
2247,31,O,"(41.606224, 2.28637)"
2050,12,B,"(41.605976, 2.288295)"
2197,24,E,"(41.607146, 2.28834)"
2211,9,B,"(41.606356, 2.287783)"
2099,1,O,"(41.606619, 2.287547)"
1804,23-25,O,"(41.600017, 2.2808)"
2042,2,E,"(41.601608, 2.287187)"
2045,1-3,O,"(41.605252, 2.288865)"
2045,24,E,"(41.605039, 2.290155)"
1806,1,O,"(41.598506, 2.286503)"
2101,5,O,"(41.612239, 2.275831)"
2101,1,O,"(41.612459, 2.27577)"
2070,1,O,"(41.612, 2.278199)"
2070,15,O,"(41.61205, 2.277703)"
2071,5,O,"(41.591685, 2.287274)"
2071,1,O,"(41.591889, 2.287316)"
2075,1,O,"(41.613863, 2.292489)"
2075,11,O,"(41.613786, 2.293015)"
2150,9,O,"(41.600216, 2.285935)"
2150,11,O,"(41.600227, 2.285848)"
2314,50,E,"(41.600036, 2.286459)"
2314,68,E,"(41.599546, 2.28638)"
2314,77,O,"(41.600053, 2.286607)"
2033,34,E,"(41.610312, 2.287125)"
2033,36,E,"(41.610402, 2.287149)"
