OBRA,BARRI,DATA APROVACIÓ,PRESSUPOST PROJECTE,DATA ADJUDICACIÓ,CONTRACTISTA,DATA INICI OBRES,DATA FI OBRES,PRESSUPOST FINAL
REFORMA PLAÇA DE LES HORTES,Instituts,17/05/2010,€870344.78,26/07/2010,"AMSA-ASTUSTIN MAS OLIVER, SA",06/09/2010,11/03/2011,€660800.00
PROJECTE REMODELACIÓ PLAÇA INTERIOR CAN MONIC,Can Monic,17/05/2010,€821830.09,02/05/2012,"OBRES I SERVEIS ROIG, SA",28/05/2012,15/10/2012,€542349.20
REFORMA I AMPLIACIÓ MUSEU LA TELA (Fase 1),Sant Miquel,19/01/2009,€3174932.17,07/12/2009,CYCONS GRUPO CAÑA S.L.U.,19/02/2010,25/05/2011,€2855436.22
CENTRE SERVEIS CAN MUNTANYOLA,Palou,26/04/2010,€3624700.51,02/11/2010,"EXCOVER, SA",25/11/2010,15/02/2012,€2836089.78
REURBANITZACIÓ ENTORN PAVELLÓ CONGOST,Congost,10/12/2010,€235936.00,24/01/2011,"EXCAVACIONS I OBRES PÚBLIQUES REQUENA, SA",31/01/2011,20/05/2011,€146382.92
MAGATZEMS I TALLERS BLANCS I BLAUS A ROCA UMBERT,Tres Torres,11/02/2011,€58730.51,12/04/2011,"EDIFICACIONS BARÓ, SL",28/02/2011,12/05/2011,€58730.51
ADEQUACIÓ ESPAI RÀDIO CENTRE AUDIOVISUAL ROCA UMBERT,Tres Torres,08/05/2014,€59893.58,17/06/2014,"ELECTROCAMPS INSTAL·LACIONS, SL",01/07/2014,28/08/2014,€48888.68
AMPLIACIÓ VORERES CARRER GIRONA,Granollers Centre,23/10/2012,€2392293.12,12/03/2013,"OBRES I SERVEIS ROIG, SA",02/04/2013,13/01/2014,€1708918.96
ADEQUACIÓ PLANTA BAIXA EDIFICI PORXADA,Granollers Centre,29/11/2012,€16709.41,03/12/2012,VARIS INDUSTRIALS,16/11/2012,04/12/2012,€16077.92
VORERA ACCÈS HABITATGES CTRA RIBES-JOANOT MARTORELL,Congost,15/07/2014,€129410.30,14/10/2014,"SERXAR, S.A.",22/10/2014,02/12/2014,€89820.50
PINTURA SALA TARAFA,Granollers Centre,03/03/2011,€14160.00,18/03/2011,APLICACIONES Y RESTAURACIONES BARNA SL,28/03/2011,08/04/2011,€13750.54
VORERA AL CARRER FREDERIC SOLER,Granollers Nord,04/10/2012,€25918.20,31/10/2012,"CONSTRUCCIONS DEUMAL, SA",03/12/2012,22/01/2013,€25803.25
DESPLAÇAMENT CAIXA DISTRIBUCIÓ AL CARRER MARIA PALAU,Congost,23/12/2010,€11286.20,29/12/2010,"Cobra Instalaciones y Servicios, SA",03/01/2011,24/01/2011,€9358.58
ADEQUACIÓ ESPAI INTERIOR CARRER VALÈNCIA - URBANITZACIÓ,Ponent,07/01/2014,€421340.49,16/09/2014,"EUROCATALANA OBRES I SERVEIS, SL",13/10/2014,17/04/2015,€345846.24
ADAPTACIÓ ENTRADA CAN PUNTAS,Granollers Centre,16/05/2011,€7173.00,20/06/2011,"ELECTROCAMPS INSTAL·LACIONS, SL",05/07/2011,22/07/2011,€7173.00
