Actuació,% d'execució
"Treballar la cohesi&oacute;, tenint present les poblacions d'origen de les persones immigrades, mitjan&ccedil;ant accions bidireccionals (&ldquo;aut&ograve;ctons&rdquo;- nouvinguts).",67%
Al parc de Ponent: millorar la connectivitat del parc amb altres espais de la ciutat,
"Millorar l&rsquo;acc&eacute;s de la ciutadania a informaci&oacute; i gesti&oacute; de conflictes en temes de consum, tot prioritzant la utilitzaci&oacute; de les TIC",75%
"Treballar amb el grup de joves nouvinguts, entre els 16 i 18 anys amb accions formatives que els permetin reincorporar-se a accions reglades.",83%
"En el marc d&rsquo;una administraci&oacute; oberta, millorar els canals de comunicaci&oacute; amb la ciutadania i la gesti&oacute; de les respostes: sistema de gesti&oacute; de queixes i suggeriments.",67%
Consolidar una oferta estable d&rsquo;activitats de formaci&oacute; i sensibilitzaci&oacute; envers de la igualtat de g&egrave;nere,56%
"Enfortir les l&iacute;nies d'actuaci&oacute; envers la viol&egrave;ncia de g&egrave;nere, intervenint-hi de manera integral",50%
Implementaci&oacute; de la transversalitzaci&oacute; de g&egrave;nere en la pol&iacute;tica p&uacute;blica local,50%
Mantenir i millorar el Pla local de Protecci&oacute; Civil i desenvolupar consci&egrave;ncia ciutadana sobre la prevenci&oacute; del risc i l'auto-protecci&oacute;,61%
"Incrementar l'apoderament de les dones, ja sigui ampliant coneixements i/o estimulant capacitats",39%
"Prestar acompanyament a les fam&iacute;lies en els diferents processos d'arrelament, reagrupament i d'altres.",73%
"Reprendre el programa Fem un Jard&iacute;, que promou la participaci&oacute; dels escolars de la ciutat en tot el proc&eacute;s de transformaci&oacute; de l&rsquo;espai p&uacute;blic. Un proper projecte a impulsar seria el de la millora dels jardins de Llu&iacute;s Companys.",33%
"Dur a terme accions de promoci&oacute; del voluntariat entre la ciutadania, conjuntament amb les entitats: exposicions, confer&egrave;ncies, publicacions.",67%
Dissenyar i dur a terme tallers educatius de conviv&egrave;ncia i civisme adre&ccedil;ats a escoles i tamb&eacute; a altres col&middot;lectius.,67%
"Crear l&rsquo;oficina de suport a la gesti&oacute; de les comunitats ve&iuml;nals, proporcionant a presidents i presidentes d&rsquo;escala assessorament, eines i formaci&oacute; a fi de contribuir a millorar la seva gesti&oacute; i promoure la conviv&egrave;ncia i les bones pr&agrave;ctiques ve&iuml;nals",67%
Desenvolupar recursos d&rsquo;atenci&oacute; amb visi&oacute; pedag&ograve;gica i preventiva que permetin resoldre els conflictes familiars que afecten negativament el desenvolupament d&rsquo;infants i joves: recurs d&rsquo;atenci&oacute; a nens i joves afectats per conflictes de viol&egrave;ncia dins,67%
"Crear instruments que afavoreixin la cohesi&oacute; social, el di&agrave;leg intergeneracional i el respecte per l&rsquo;espai p&uacute;blic.",33%
Enfortir les actuacions inspectores.,67%
Elaborar el projecte d&rsquo;un nou pont per a vianants sobre el riu Congost que uneixi el parc de Ponent amb el passeig de la Ribera i la futura prolongaci&oacute; del carrer de Joan Vidal i Jumbert.,
"Intervenir educativament en l'espai p&uacute;blic amb els infants i adolescents a trav&eacute;s dels/de les educadors/es de medi obert aportant refer&egrave;ncies i valors socials positius, com a estrat&egrave;gia per a millorar la resposta a les necessitats detectades.",67%
"Augmentar les actuacions d'informaci&oacute; i sensibilitzaci&oacute; sobre aquells ciutadans, comer&ccedil;os i empreses que embruten els espais p&uacute;blics sistem&agrave;ticament.",
Defensar la rehabilitaci&oacute; i la revitalitzaci&oacute; dels teixits urbans existents front dels creixements en extensi&oacute; per mantenir la m&agrave;xima integritat possible de l'entorn (sistema d&rsquo;espais obert),67%
Executar la primera fase de remodelaci&oacute; de la pla&ccedil;a de Sant Miquel.,33%
"Fomentar l&rsquo;arrelament al municipi de les persones nouvingudes, mitjan&ccedil;ant el teixit associatiu, la participaci&oacute; en esdeveniments socials i l'entramat ciutad&agrave;.",100%
"Millorar la sensaci&oacute; de tranquil&middot;litat i seguretat de la ciutadania i facilitar el civisme en l'espai p&uacute;blic, mitjan&ccedil;ant accions de policia de proximitat i de foment del civisme",33%
"Refor&ccedil;ar la seguretat dels vianants en els seus despla&ccedil;aments, especialment la de les persones amb mobilitat redu&iuml;da i col&middot;lectius m&eacute;s fr&agrave;gils (infants, gent gran...) en relaci&oacute; amb els itineraris i els entorns escolars o les obres de remodelaci&oacute;",67%
"Redactar un pla d&rsquo;intervenci&oacute; integral de la zona Nord de la ciutat, seguint la metodologia emprada en el Pla de Barris de Congost i a Sant Miquel.",
Elaborar un pla de suport a la conviv&egrave;ncia i el civisme en les comunitats ve&iuml;nals treballant per la gesti&oacute; i millora de la conviv&egrave;ncia ve&iuml;nal i les bones relacions de ve&iuml;natge,67%
"Realitzar, a trav&eacute;s de l&rsquo;Observatori local de G&egrave;nere, un proc&eacute;s diagn&ograve;stic continu sobre la igualtat de g&egrave;nere a Granollers",40%
"Desenvolupar el Programa de mediaci&oacute; ciutadana, com a eina per a la resoluci&oacute; pac&iacute;fica dels conflictes que sorgeixin a la comunitat.",67%
Comunicaci&oacute; i informaci&oacute; a la ciutadania envers la igualtat de g&egrave;nere,0%
"Crear i coordinar el nou Pla d&rsquo;Actuaci&oacute; pel civisme i la conviv&egrave;ncia (2015-2019), que agrupi els programes adre&ccedil;ats a millorar la conviv&egrave;ncia c&iacute;vica a la ciutat. Amb la implicaci&oacute; de les entitats i col.lectius de la ciutat.",89%
