Actuació,% d'execució
"Crear un espai web de transpar&egrave;ncia i establir els canals que permetin l'acc&eacute;s a una informaci&oacute; exhaustiva, oberta i actualitzada de la gesti&oacute; municipal, com una eina per al rendiment de comptes de l'acci&oacute; de govern",67%
Publicar l&rsquo;organigrama t&egrave;cnic municipal i el cat&agrave;leg de serveis que presta l&rsquo;Ajuntament de Granollers,100%
Millorar el control de les activitats amb incid&egrave;ncia ambiental (llic&egrave;ncies d&rsquo;activitat i disciplina),67%
"Utilitzar les xarxes socials basades en  les tecnologies de la informaci&oacute; i la comunicaci&oacute;, tot aprofitant el seu ampli &uacute;s per part de la ciutadania, com a vehicle per realitzar activitats de comunicaci&oacute; i promoci&oacute; de la salut",67%
"Fer cr&eacute;ixer el Portal de Dades Obertes, que proporciona  informaci&oacute; actualitzada sobre la ciutat i els serveis municipals i donar-lo a con&egrave;ixer als diferents p&uacute;blics perqu&egrave; puguin utilitzar-les en els seus projectes o negocs",67%
"Facilitar l&rsquo;escolta activa de l&rsquo;Ajuntament de Granollers mitjan&ccedil;ant la institucionalitzaci&oacute; de mitjans de participaci&oacute; ciutadana en l&rsquo;impuls, execuci&oacute; i avaluaci&oacute; de les pol&iacute;tiques p&uacute;bliques locals.",33%
Promoure l&rsquo;extensi&oacute; de nous serveis cloud en infraestructura (servidors) i programari a l&rsquo;administraci&oacute; per a la gesti&oacute; de determinats serveis.,0%
"Dotar de capacitat els sistemes d'informaci&oacute; per compartir dades i reutilitzar la informaci&oacute; que disposen, tant en els seus sistemes com accedint a sistemes d&rsquo;altres administracions.",0%
Prosseguir amb la instal&middot;laci&oacute; de fibra &ograve;ptica en el conjunt dels pol&iacute;gons industrials de la ciutat.,
"Disseny, execuci&oacute; i implantaci&oacute; del nou Pla Integral de la Societat del coneixement",67%
"Generar aliances per aconseguir una infraestructura tecnol&ograve;gica al n&uacute;vol (cloud) p&uacute;blica, al servei dels municipis, preferentment a trav&eacute;s de la Diputaci&oacute; de Barcleona",67%
"Formar part proactivament en la creaci&oacute; i participaci&oacute; d'entorns col&middot;laboratius entre administracions (xarxa Smartcat, xarxa de t&egrave;cnics inform&agrave;tics, Grup de treball &quot;Grans ciutats&quot;, ...",100%
Posicionar Granollers com a ciutat innovadora i intel&middot;ligent,56%
Implantar les solucions tecnol&ograve;giques que millorin l'efici&egrave;ncia dels serveis de l'Ajuntament,67%
"Posar a l&rsquo;abast de la ciutadania el coneixement del Programa d'Actuaci&oacute; Municipal, aix&iacute; com el seu seguiment i avaluaci&oacute;",67%
Implantar l'Esquema Nacional de Seguretat (&agrave;mbit inform&agrave;tica) a Ajuntament,33%
"Implantar l&rsquo;administraci&oacute; electr&ograve;nica i caminar decididament cap a una administraci&oacute; &quot;paper zero&quot;, buscant que els ciutadans i ciutadanes puguin realitzar els seus tr&agrave;mits amb l&rsquo;Ajuntament de forma electr&ograve;nica i accessible.",67%
Pla de Formaci&oacute; 2016-2019,0%
