Actuació,% d'execució
"Elaborar un mapa d&rsquo;efici&egrave;ncia energ&egrave;tica dels edificis, a partir de la realitzaci&oacute; d&rsquo;auditories energ&egrave;tiques.",33%
Accentuar el manteniment de la nova gespa del camp de les pistes d&rsquo;atletisme i aprofitar la xarxa de reg d&rsquo;aigua no potable per connectar amb amb el dip&ograve;sit procedent del pou Mogent de Roca Umbert.,100%
"Incloure criteris ambientals en el planejament i vetllar per la qualitat dels informes ambientals, els estudis de mobilitat i d&rsquo;integraci&oacute; paisatg&iacute;stica i connectivitat del no urbanitzable o d&rsquo;inter&egrave;s natural",67%
"Promoure una biodiversitat urbana en els espais verds mitjan&ccedil;ant un disseny, gesti&oacute; i manteniment sostenible dels parcs i jardins de la ciutat",67%
Projectar la viabilitat d&rsquo;un segon aiguamoll al nord del de Can Cabanyes que es nodreixi de l&rsquo;efluent de sortida de l&rsquo;estaci&oacute; depuradora de Granollers que tingui la funci&oacute; de bassa de retenci&oacute; d'aig&uuml;es pluvials de l'&agrave;rea del Circuit,
Consolidar l&rsquo;oficina de control energ&egrave;tic ampliant-la al control d'altres serveis.,67%
Promoure la mobilitat equilibrada i fonamentar la intermodalitat. Treballar per una mobilitat sostenible de persones i mercaderies,33%
"En el comprom&iacute;s ambiental vers la implantaci&ograve; de les energies renovables, prosseguri amb la instal&middot;laci&oacute; de plaques solars t&egrave;rmiques en aquells equipaments on sigugi aconsellable instal&middot;lar-ne",
"Facilitar la instal&middot;laci&oacute;, per part d&rsquo;aquelles empreses privades que hi estiguin interessades, de plaques solars fotovoltaiques en les cobertes dels equipaments municipals que el Pla d&rsquo;acci&oacute; per l&rsquo;energia sostenible fixa com a id&ograve;nies.",33%
Implantar el nou contracte per a la recollida i neteja vi&agrave;ria amb la renovaci&oacute; d'equips i maquin&agrave;ria que incorporin aven&ccedil;os t&egrave;cnics en mat&egrave;ria mediambiental.,100%
"Implementar bones pr&agrave;ctiques ambientals (efici&egrave;ncia, estalvi, a&iuml;llament, materials, jardineria) en el planejament i els projectes urban&iacute;stics p&uacute;blics i privats i a les intervencions a l&rsquo;espai p&uacute;blic i xarxa d&rsquo;equipaments i instal&middot;lacions municipals",78%
