SCensal,the_geom,Colegi,Adreca
1-1,"MULTIPOLYGON (((2.2857015522482795 41.60621425563756, 2.285677227988199 41.60691321869178, 2.285646577744656 41.607793934662915, 2.2856408024085533 41.60795988216952, 2.2858027159209016 41.6083362989229, 2.285880820157197 41.60882975746098, 2.28588889231548 41.60882739397652, 2.2872429873529274 41.608549729274635, 2.2878559256771642 41.60849685101194, 2.288277695188192 41.608368423632356, 2.288496064076663 41.60833081791259, 2.288942637692231 41.608305241715684, 2.2886346668427575 41.606993424489666, 2.288428390625875 41.6059121665457, 2.2878489815470964 41.60328717740033, 2.2856964954334758 41.60290939441316, 2.285700143189495 41.60529324839314, 2.2857015522482795 41.60621425563756)))",GRA,"PL ESGLESIA NUM, 8"
1-3,"MULTIPOLYGON (((2.283045945190927 41.60529801784007, 2.2856977085118952 41.60529325279799, 2.285700143189495 41.60529324839314, 2.2856964954334758 41.60290939441316, 2.2854047592019207 41.60286003029523, 2.282787222295856 41.602417085584214, 2.2829981072290058 41.60476535035143, 2.283045945190927 41.60529801784007)))",A.V.SOTA C.RAL,"AV ENRIC PRAT DE LA RIBA NUM, 82"
1-4,"MULTIPOLYGON (((2.283156712482963 41.6065437484846, 2.285677227988199 41.60691321869178, 2.2857015522482795 41.60621425563756, 2.285700143189495 41.60529324839314, 2.2856977085118952 41.60529325279799, 2.283045945190927 41.60529801784007, 2.2829981072290058 41.60476535035143, 2.2829958774427426 41.60476537027929, 2.2798442149939304 41.604793488559245, 2.2803486379091726 41.60757168763505, 2.2812162521395924 41.60888749798807, 2.282946937820864 41.61103558109761, 2.2835453670262518 41.610788548130756, 2.2832388341071748 41.60744070601642, 2.283156712482963 41.6065437484846)))",E. DEL TREBALL,"C ROGER DE FLOR NUM, 66"
1-5,"MULTIPOLYGON (((2.2835453670262518 41.610788548130756, 2.283901099339746 41.61053222864487, 2.2847115451010103 41.60998477631342, 2.2850159631517726 41.60967500979311, 2.2853806944443478 41.609071666677295, 2.285881119930799 41.60883165143058, 2.285880820157197 41.60882975746098, 2.2858027159209016 41.6083362989229, 2.2856408024085533 41.60795988216952, 2.285646577744656 41.607793934662915, 2.285677227988199 41.60691321869178, 2.283156712482963 41.6065437484846, 2.2832388341071748 41.60744070601642, 2.2835453670262518 41.610788548130756)))",E. SALVADOR LLOBET,"C ROGER DE FLOR NUM, 64"
1-6,"MULTIPOLYGON (((2.2798442149939304 41.604793488559245, 2.2829958774427426 41.60476537027929, 2.2829981072290058 41.60476535035143, 2.282787222295856 41.602417085584214, 2.2794394006449945 41.60184706271735, 2.279840066582777 41.604770639450344, 2.2798442149939304 41.604793488559245)))",C.P. FERRER I GUARDIA,"C ROGER DE FLOR NUM, 123"
1-9,"MULTIPOLYGON (((2.28311027183875 41.61422901472134, 2.28622717916233 41.61720407774975, 2.286337078454634 41.61758220614367, 2.2863713078332455 41.61766137726436, 2.2864022099616768 41.6173170958757, 2.2864622174675326 41.616648539290885, 2.286201462015901 41.61598443961081, 2.2860886330475667 41.61569707910434, 2.2857061471824043 41.61487468056766, 2.2854719518043867 41.61450076182462, 2.284757525463581 41.61336007199896, 2.282946937820864 41.61103558109761, 2.2814553906920154 41.61161120448156, 2.2789621742927157 41.61273600117718, 2.2792965659960256 41.61346766171053, 2.2805230488178716 41.61314154519802, 2.281087687731591 41.61446520047921, 2.281100816500705 41.61449597692926, 2.2829319450703567 41.6140587924739, 2.28311027183875 41.61422901472134)))",PAVELLÓ CONGOST,"C MARIA PALAU NUM, 21"
1-10,"MULTIPOLYGON (((2.2755843633669803 41.61505347251688, 2.2784129750736564 41.61502585527189, 2.280327219821698 41.61468066361219, 2.281100816500705 41.61449597692926, 2.281087687731591 41.61446520047921, 2.2805230488178716 41.61314154519802, 2.2792965659960256 41.61346766171053, 2.2789621742927157 41.61273600117718, 2.2814553906920154 41.61161120448156, 2.282946937820864 41.61103558109761, 2.2812162521395924 41.60888749798807, 2.2803486379091726 41.60757168763505, 2.2798442149939304 41.604793488559245, 2.279840066582777 41.604770639450344, 2.2794394006449945 41.60184706271735, 2.277992924517512 41.60160628488783, 2.277466370393453 41.60136215363781, 2.276869468625167 41.60091215917795, 2.275274473748856 41.599697975825634, 2.2741215414106946 41.59886197184381, 2.2751154788857777 41.6046291481517, 2.275505888456296 41.60684156322653, 2.2759012296556937 41.60859659404693, 2.2772154909493842 41.61357328673708, 2.2769549133591385 41.61367080986609, 2.276099465953369 41.614055010587855, 2.275805920175661 41.6143152369374, 2.2755843633669803 41.61505347251688)))",CEIP FÀTIMA,"C MARIA PALAU NUM, 2"
1-11,"MULTIPOLYGON (((2.2615016670493437 41.592788602777915, 2.2615290218136543 41.592862367598194, 2.2607558871271616 41.59474238235521, 2.2615528198065724 41.596074399187586, 2.261633810628364 41.59623585103825, 2.2617786303523055 41.59624718357706, 2.261938326421267 41.596213413090986, 2.2624164687105512 41.59656857146901, 2.262105927134414 41.59851735616436, 2.2633108632618733 41.59931509134037, 2.2634050478948464 41.60037974437906, 2.264065279765298 41.601539289025006, 2.265866660255002 41.60506002578838, 2.266387555762002 41.6068791120187, 2.268219816327804 41.607904739178565, 2.2656416449887145 41.61335570505403, 2.265990470127359 41.614370439247395, 2.272668679480576 41.61508186700429, 2.2755843633669803 41.61505347251688, 2.275805920175661 41.6143152369374, 2.276099465953369 41.614055010587855, 2.2769549133591385 41.61367080986609, 2.2772154909493842 41.61357328673708, 2.2759012296556937 41.60859659404693, 2.275505888456296 41.60684156322653, 2.2751154788857777 41.6046291481517, 2.2741215414106946 41.59886197184381, 2.2724533062762062 41.59771104921117, 2.2700609318699687 41.59636425144123, 2.2668379243020538 41.595068778822075, 2.2615016670493437 41.592788602777915)))",MASIA CAN GILI,"C CAMI VELL LLIÇÀ D'AMUNT NUM, 1"
2-1,"MULTIPOLYGON (((2.2904436607441916 41.6136092706068, 2.291839752028691 41.61343598835215, 2.290795662086282 41.61019961757433, 2.290573806572817 41.60821768085877, 2.289674979845686 41.608280239290885, 2.2889686330888432 41.608332541089545, 2.2889490038570632 41.60833399447838, 2.2893632648974704 41.61020494842339, 2.2900438984366893 41.612349663653674, 2.2904436607441916 41.6136092706068)))",BIBLIOTECA CAN PEDRALS,"C ANTONI ESPI I GRAU NUM, 2"
2-3,"MULTIPOLYGON (((2.2835453670262518 41.610788548130756, 2.28614585522182 41.610659604718336, 2.288202189255268 41.61038219217585, 2.287875461580609 41.60911202046686, 2.2872727303098057 41.60917912138061, 2.2869199409747014 41.60916984694518, 2.2861423346934426 41.60909419262784, 2.285882187046685 41.60883113962516, 2.285880820157197 41.60882975746098, 2.285881119930799 41.60883165143058, 2.2853806944443478 41.609071666677295, 2.2850159631517726 41.60967500979311, 2.2847115451010103 41.60998477631342, 2.283901099339746 41.61053222864487, 2.2835453670262518 41.610788548130756)))",ANTIGA E. M.MUSICA JM.RUERA,"C SANTA ELISABETH NUM, 16"
