N Ref;Carrer;Nº;Data inspecció;Nº Elements;Senyal vertical;Equipament;Observacions;Compartit amb moto;Protegit amb pilona
1;Príncep de Viana/Estació Lleida-Pirineus;;13/03/2014;5;NO;Estació Lleida-Pirineus;;NO;NO
2;Ferran;44;13/03/2014;3;NO;Centre de Salut de Rambla Ferran;;NO;NO
3;Nord;2;13/03/2014;3;SI;Centre de Salut de Rambla Ferran;;NO;NO
4;Ferran;16;13/03/2014;3;NO;Oficina de Correus;;NO;NO
5;Francesc Macià;45;13/03/2014;3;NO;;;NO;NO
6;La Pau;;13/03/2014;4;SI;;;NO;NO
7;Pavelló municipal del Secà-Balàfia;;26/09/2014;9;NO;Pavelló municipal del Secà-Balàfia;;NO;NO
8;Blondel;8;13/03/2014;3;NO;Paeria;;NO;NO
9;Madrid;24;13/03/2014;3;SI;;;NO;NO
10;Blondel;66;13/03/2014;4;NO;IEI;;NO;NO
11;Blondel;58;13/03/2014;3;NO;CaixaFòrum;;NO;NO
12;Blondel;27;13/03/2014;4;NO;;;NO;NO
13;Blondel;35;13/03/2014;3;NO;CCOO Terres de Lleida;;NO;NO
14;Espanya;1;13/03/2014;3;NO;Estació d'Autobusos;;NO;NO
15;Catalunya;3;13/03/2014;9;NO;;;NO;NO
16;Espanya;3;13/03/2014;3;NO;;;NO;NO
17;Comerç;25;14/03/2014;2;NO;Centre Excursionista de Lleida;;NO;NO
18;Noguerola;6;14/03/2014;3;NO;Mercadona;;NO;NO
19;Riu;4;14/03/2014;5;NO;;;NO;NO
20;Palau de Vidre: entrada 1;;14/03/2014;3;NO;Palau de Vidre;;NO;NO
21;Jaume II;17;14/03/2014;4;NO;Comissaria Policia Nacional;;NO;NO
22;Jaume II;11;14/03/2014;3;NO;Comissaria Policia Nacional;;NO;NO
23;Jaume II;37;14/03/2014;4;NO;;;NO;NO
24;Jaume II;67;14/03/2014;5;NO;Edifici C-1 UdL;;NO;NO
25;Jaume II;71;14/03/2014;8;SI;Edifici C-2 UdL;;NO;NO
26;Catalunya;14;14/03/2014;2;NO;Residència Femenina Cor de Maria;;NO;NO
27;Aragó;4;14/03/2014;2;NO;;;NO;NO
28;Aragó;8;14/03/2014;3;NO;;;NO;NO
29;Aragó;10;14/03/2014;4;SI;Biblioteca Pública;;NO;NO
30;Aragó;16;14/03/2014;3;NO;Abacus;;NO;NO
31;Cervantes;3;14/03/2014;2;NO;;;NO;NO
32;Cervantes;;14/03/2014;4;NO;Edifici d'Hisenda;;NO;NO
33;Alcalde Rovira Roure;4;14/03/2014;2;NO;;;NO;NO
34;Montserrat Roig;1;14/03/2014;5;SI;Col·legi Pràctiques II;;NO;NO
35;Roc Pifarré;;14/03/2014;11;NO;Arnau de Vilanova - Unitat Docent;;NO;NO
36;Alcalde Rovira Roure;3;14/03/2014;3;SI;;;NO;NO
37;Balmes;35;14/03/2014;5;NO;;;NO;NO
38;Balmes;3;30/12/2016;2;NO;;;NO;NO
39;Víctor Siurana;;14/03/2014;9;NO;Universitat de Lleida - Rectorat;;NO;NO
40;Dra. Castells;37;14/03/2014;3;NO;;;NO;NO
41;Riu Ebre;12;14/03/2014;3;SI;Pavelló de Cappont;;NO;NO
42;Dra. Castells;11;14/03/2014;3;NO;;;NO;NO
43;Dra. Castells;10;14/03/2014;1;SI;;;SI;SI
44;Dra. Castells;22;14/03/2014;2;NO;;;NO;NO
45;Riu Besos;4;14/03/2014;2;SI;;;NO;NO
46;València;36;14/03/2014;3;NO;;;NO;NO
47;València;35;06/03/2015;1;SI;;;SI;SI
48;Riu Ebre;13;14/03/2014;1;SI;;;SI;SI
49;Riu Ebre;5;14/03/2014;1;SI;;;SI;SI
50;Lluís Companys;2;17/03/2014;2;NO;;;NO;NO
51;Escorxador;;17/03/2014;3;NO;Escorxador;;NO;NO
52;Lluís Companys;22;17/03/2014;3;NO;Escorxador;;NO;NO
53;Roca Labrador;2;17/03/2014;6;NO;;;NO;NO
54;Lluís Companys;32;17/03/2014;2;NO;;;NO;NO
55;Castella;1;17/03/2014;2;NO;Intèrpret;;NO;NO
56;Bisbe Messeguer;6;17/03/2014;3;NO;Universitat de Lleida - Rectorat;;NO;NO
57;Bisbe Messeguer;6;17/03/2014;6;SI;Universitat de Lleida - Rectorat;;NO;NO
58;Gran Passeig de Ronda;41;17/03/2014;3;NO;;;NO;NO
59;Mercè - Jardins del 1er de Maig;7;17/03/2014;2;NO;Espai de les Moreres;;NO;NO
60;Mercè;5;17/03/2014;3;NO;Àrea Bàsica de Salut;;NO;NO
61;Gran Passeig de Ronda;73;17/03/2014;4;NO;Carrefour/Hotel NH Pirineos;;NO;NO
62;Joc de la Bola;17;15/01/2015;1;SI;;;SI;SI
63;Gran Passeig de Ronda;97;17/03/2014;2;NO;;;NO;NO
64;Onze de Setembre;38;17/03/2014;5;SI;Pavelló Onze de Setembre;;NO;NO
65;Edifici E-2 Campus ETSEA;;17/03/2014;40;SI;Campus ETSEA UdL;;NO;NO
66;Edifici E-3 Campus ETSEA;;17/03/2014;16;NO;Campus ETSEA UdL;;NO;NO
67;Edifici E-B Campus ETSEA;;17/03/2014;13;NO;Campus ETSEA UdL;;NO;NO
68;Edifici 6 CIPA (Campus ETSEA);;17/03/2014;20;NO;Campus ETSEA UdL;;NO;NO
69;Edifici 6 CIPA (Campus ETSEA);;17/03/2014;10;NO;Campus ETSEA UdL;;NO;NO
70;Edifici E-A Campus ETSEA;;17/03/2014;8;NO;Campus ETSEA UdL;;NO;NO
71;Victòria Kent;1;17/03/2014;7;NO;Centre Penitenciari Obert de Lleida;;NO;NO
72;Arquitecte Gomà;38;17/03/2014;4;NO;IES Guindàvols;;NO;NO
73;Nou;3;18/03/2014;4;NO;Seu dels Castellers de Lleida;;NO;NO
74;La Palma;10;18/03/2014;5;SI;Centre de Recursos Juvenils;;NO;NO
75;Aurembiaix d'Urgell;20;18/03/2014;2;NO;;Permet aparcar diverses bicis;NO;NO
76;Doctor Fleming;2;18/03/2014;4;NO;;;NO;NO
77;Vallcalent;24;18/03/2014;2;NO;;;NO;NO
78;Europa - Onze de Setembre;;18/03/2014;3;SI;;;NO;NO
79;Alcalde Porqueras;25;18/03/2014;2;NO;;;NO;NO
80;Humbert Torres;12;18/03/2014;1;SI;;;SI;SI
82;Prat de la Riba;56;18/03/2014;2;NO;CUAP Lleida;;NO;NO
83;Prat de la Riba;79;18/03/2014;3;NO;Clínica de Ponent;;NO;NO
84;Sant Ruf;52;18/03/2014;3;NO;;;NO;NO
85;Treball;4;18/03/2014;3;NO;Escola del Treball;;NO;NO
86;Valls d'Andorra;18;18/03/2014;1;SI;;;SI;SI
87;Valls d'Andorra;12;18/03/2014;1;SI;;;SI;SI
88;Jaume Gort;94;18/03/2014;1;NO;;Permet aparcar diverses bicis;NO;NO
89;Jaume II;71;20/03/2014;5;NO;Edifici C-3 Campus Cappont;;NO;NO
90;Jaume II;73;20/03/2014;5;NO;Edifici C-4 Campus Cappont;;NO;NO
91;Acadèmia;31;20/03/2014;4;NO;Oficina del SOC;;NO;NO
92;Exèrcit;6;20/03/2014;1;SI;;;SI;SI
