TIPUS;;CARRER;NUMERO;BARRI;OBSERVACIONS ;CODI CONT;MANETA ACCESSIBLE
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA ALCALDE ARENY;8;INSTITUTS - TEMPLERS;;23800;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER LLUIS COMPANYS;11;INSTITUTS - TEMPLERS;;21480;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA CATALUNYA;1;INSTITUTS - TEMPLERS;;21070;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER ACADEMIA;23;INSTITUTS - TEMPLERS;;24037;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER ACADEMIA;43;INSTITUTS - TEMPLERS;;19491;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER REPUBLICA DEL PARAGUAI;14;INSTITUTS - TEMPLERS;;23867;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;PL;EXERCIT;3;INSTITUTS - TEMPLERS;;19492;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA BLONDEL;21;CENTRE HISTÒRIC;;23327;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA BLONDEL;1;CENTRE HISTÒRIC;FRENTE 1;22671;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA BLONDEL;16;CENTRE HISTÒRIC;;23482;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA MADRID;1;INSTITUTS - TEMPLERS;;21287;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER ISAAC ALBENIZ;6;INSTITUTS - TEMPLERS;;16833;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER VALLCALENT;69;UNIVERSITAT;;22788;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA DOCTOR FLEMING;17;UNIVERSITAT;FRENTE 17;16505;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA DOCTOR FLEMING;11;UNIVERSITAT;;17418;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER ROCA LABRADOR;19;UNIVERSITAT;;22604;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA PIUS XII;17;UNIVERSITAT;;23792;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER LLUIS COMPANYS;24;UNIVERSITAT;;22673;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;CA;CARRER CANONGE BRUGULAT;1;UNIVERSITAT;;21940;SI
CONTENIDOR RSU CARREGA LATERAL 3200 LITRES;AV;AVINGUDA PIUS XII;13;UNIVERSITAT;BISBE MESSEGUER;19490;SI
