BARRI;PAIS;TOTAL
CENTRE HISTORIC;ALEMANIA;5
CENTRE HISTORIC;ANDORRA;2
CENTRE HISTORIC;ANGOLA;3
CENTRE HISTORIC;ARGELIA;299
CENTRE HISTORIC;ARGENTINA;20
CENTRE HISTORIC;ARMENIA;2
CENTRE HISTORIC;AUSTRIA;2
CENTRE HISTORIC;BANGLADESH;7
CENTRE HISTORIC;BELGICA;7
CENTRE HISTORIC;BENIN;5
CENTRE HISTORIC;BIELORRUSIA;3
CENTRE HISTORIC;BOLIVIA;134
CENTRE HISTORIC;BRASIL;78
CENTRE HISTORIC;BULGARIA;75
CENTRE HISTORIC;BURKINA FASSO;10
CENTRE HISTORIC;BURUNDI;1
CENTRE HISTORIC;CABO VERDE;1
CENTRE HISTORIC;CAMERUN;64
CENTRE HISTORIC;CHILE;10
CENTRE HISTORIC;CHINA;163
CENTRE HISTORIC;COLOMBIA;129
CENTRE HISTORIC;CONGO;18
CENTRE HISTORIC;COSTA DE MARFIL;17
CENTRE HISTORIC;CROACIA;1
CENTRE HISTORIC;CUBA;9
CENTRE HISTORIC;DINAMARCA;1
CENTRE HISTORIC;DOMINICA;1
CENTRE HISTORIC;E.E.UNIDOS AMERI;9
CENTRE HISTORIC;ECUADOR;61
CENTRE HISTORIC;EGIPTO;15
CENTRE HISTORIC;ESLOVAQUIA;8
CENTRE HISTORIC;ESLOVENIA;2
CENTRE HISTORIC;ESTONIA;3
CENTRE HISTORIC;FRANCIA;17
CENTRE HISTORIC;GAMBIA;121
CENTRE HISTORIC;GHANA;62
CENTRE HISTORIC;GRECIA;2
CENTRE HISTORIC;GUATEMALA;3
CENTRE HISTORIC;GUINEA;84
CENTRE HISTORIC;GUINEA BISSAU;16
CENTRE HISTORIC;GUINEA ECUATORIA;105
CENTRE HISTORIC;HONDURAS;14
CENTRE HISTORIC;HUNGRIA;2
CENTRE HISTORIC;INDIA;28
CENTRE HISTORIC;INDONESIA;1
CENTRE HISTORIC;IRLANDA;2
CENTRE HISTORIC;ITALIA;20
CENTRE HISTORIC;LETONIA;2
CENTRE HISTORIC;LIBERIA;2
CENTRE HISTORIC;LIBIA;4
CENTRE HISTORIC;LITUANIA;7
CENTRE HISTORIC;MALI;243
CENTRE HISTORIC;MALTA;6
CENTRE HISTORIC;MARRUECOS;1012
CENTRE HISTORIC;MAURITANIA;62
CENTRE HISTORIC;MEXICO;3
CENTRE HISTORIC;MOLDAVIA;3
CENTRE HISTORIC;NICARAGUA;1
CENTRE HISTORIC;NIGER;1
CENTRE HISTORIC;NIGERIA;158
CENTRE HISTORIC;NORUEGA;1
CENTRE HISTORIC;PAISES BAJOS;16
CENTRE HISTORIC;PAKISTAN;55
CENTRE HISTORIC;PANAMA;2
CENTRE HISTORIC;PARAGUAY;14
CENTRE HISTORIC;PERU;22
CENTRE HISTORIC;POLONIA;73
CENTRE HISTORIC;PORTUGAL;59
CENTRE HISTORIC;REINO UNIDO G.B.;13
CENTRE HISTORIC;REP.CHECA;1
CENTRE HISTORIC;REP.DOMINICANA;83
CENTRE HISTORIC;RUANDA;2
CENTRE HISTORIC;RUMANIA;833
CENTRE HISTORIC;RUSIA;40
CENTRE HISTORIC;SENEGAL;232
CENTRE HISTORIC;SERBIA;13
CENTRE HISTORIC;SIERRA LEONA;2
CENTRE HISTORIC;SIRIA;1
CENTRE HISTORIC;SUECIA;2
CENTRE HISTORIC;TANZANIA;2
CENTRE HISTORIC;TOGO;6
CENTRE HISTORIC;TUNEZ;9
CENTRE HISTORIC;UCRANIA;84
CENTRE HISTORIC;URUGUAY;16
CENTRE HISTORIC;VENEZUELA;15
CENTRE HISTORIC;YUGOSLAVIA;4
CENTRE HISTORIC;ZAIRE;3
RAMBLA FERRAN - ESTACIO;ALEMANIA;4
RAMBLA FERRAN - ESTACIO;ANGOLA;2
RAMBLA FERRAN - ESTACIO;ARGELIA;117
RAMBLA FERRAN - ESTACIO;ARGENTINA;7
RAMBLA FERRAN - ESTACIO;ARMENIA;5
RAMBLA FERRAN - ESTACIO;AUSTRIA;2
RAMBLA FERRAN - ESTACIO;BELGICA;2
RAMBLA FERRAN - ESTACIO;BIELORRUSIA;1
RAMBLA FERRAN - ESTACIO;BOLIVIA;23
RAMBLA FERRAN - ESTACIO;BRASIL;80
RAMBLA FERRAN - ESTACIO;BULGARIA;21
RAMBLA FERRAN - ESTACIO;CAMERUN;7
RAMBLA FERRAN - ESTACIO;CANADA;1
RAMBLA FERRAN - ESTACIO;CHILE;4
RAMBLA FERRAN - ESTACIO;CHINA;34
RAMBLA FERRAN - ESTACIO;COLOMBIA;48
RAMBLA FERRAN - ESTACIO;COSTA DE MARFIL;8
RAMBLA FERRAN - ESTACIO;COSTA RICA;1
RAMBLA FERRAN - ESTACIO;CUBA;3
RAMBLA FERRAN - ESTACIO;E.E.UNIDOS AMERI;2
RAMBLA FERRAN - ESTACIO;ECUADOR;11
RAMBLA FERRAN - ESTACIO;EGIPTO;4
RAMBLA FERRAN - ESTACIO;ESLOVAQUIA;1
RAMBLA FERRAN - ESTACIO;ESLOVENIA;1
RAMBLA FERRAN - ESTACIO;FRANCIA;14
