NOM BARRI,PAIS,TOTAL
CENTRE HISTORIC,ALBANIA,1
CENTRE HISTORIC,ALEMANIA,7
CENTRE HISTORIC,ANDORRA,3
CENTRE HISTORIC,ANGOLA,1
CENTRE HISTORIC,ARGELIA,333
CENTRE HISTORIC,ARGENTINA,25
CENTRE HISTORIC,ARMENIA,2
CENTRE HISTORIC,AUSTRIA,2
CENTRE HISTORIC,BANGLADESH,2
CENTRE HISTORIC,BELGICA,3
CENTRE HISTORIC,BENIN,3
CENTRE HISTORIC,BIELORRUSIA,1
CENTRE HISTORIC,BOLIVIA,74
CENTRE HISTORIC,BRASIL,49
CENTRE HISTORIC,BULGARIA,69
CENTRE HISTORIC,BURKINA FASSO,13
CENTRE HISTORIC,CAMERUN,59
CENTRE HISTORIC,CANADA,1
CENTRE HISTORIC,CHILE,8
CENTRE HISTORIC,CHINA,91
CENTRE HISTORIC,COLOMBIA,87
CENTRE HISTORIC,CONGO,11
CENTRE HISTORIC,COSTA DE MARFIL,24
CENTRE HISTORIC,COSTA RICA,1
CENTRE HISTORIC,CUBA,12
CENTRE HISTORIC,DOMINICA,1
CENTRE HISTORIC,E.E.UNIDOS AMERI,7
CENTRE HISTORIC,ECUADOR,45
CENTRE HISTORIC,EGIPTO,22
CENTRE HISTORIC,EL SALVADOR,2
CENTRE HISTORIC,ESLOVAQUIA,2
CENTRE HISTORIC,ESLOVENIA,1
CENTRE HISTORIC,ESTONIA,2
CENTRE HISTORIC,FRANCIA,17
CENTRE HISTORIC,GAMBIA,100
CENTRE HISTORIC,GHANA,63
CENTRE HISTORIC,GRECIA,1
CENTRE HISTORIC,GUATEMALA,4
CENTRE HISTORIC,GUINEA,88
CENTRE HISTORIC,GUINEA BISSAU,12
CENTRE HISTORIC,GUINEA ECUATORIA,70
CENTRE HISTORIC,HONDURAS,22
CENTRE HISTORIC,HUNGRIA,4
CENTRE HISTORIC,INDIA,16
CENTRE HISTORIC,INDONESIA,1
CENTRE HISTORIC,IRAN,1
CENTRE HISTORIC,IRLANDA,1
CENTRE HISTORIC,ITALIA,18
CENTRE HISTORIC,LETONIA,11
CENTRE HISTORIC,LIBANO,1
CENTRE HISTORIC,LIBERIA,2
CENTRE HISTORIC,LIBIA,1
CENTRE HISTORIC,LITUANIA,7
CENTRE HISTORIC,MALI,252
CENTRE HISTORIC,MALTA,1
CENTRE HISTORIC,MARRUECOS,902
CENTRE HISTORIC,MAURITANIA,46
CENTRE HISTORIC,MEXICO,7
CENTRE HISTORIC,MOLDAVIA,5
CENTRE HISTORIC,NICARAGUA,1
CENTRE HISTORIC,NIGERIA,127
CENTRE HISTORIC,NORUEGA,1
CENTRE HISTORIC,PAISES BAJOS,5
CENTRE HISTORIC,PAKISTAN,88
CENTRE HISTORIC,PANAMA,2
CENTRE HISTORIC,PARAGUAY,7
CENTRE HISTORIC,PERU,14
CENTRE HISTORIC,POLONIA,97
CENTRE HISTORIC,PORTUGAL,30
CENTRE HISTORIC,REINO UNIDO G.B.,8
CENTRE HISTORIC,REP.CHECA,1
CENTRE HISTORIC,REP.DEMOCR.CONGO,2
CENTRE HISTORIC,REP.DOMINICANA,49
CENTRE HISTORIC,RUMANIA,724
CENTRE HISTORIC,RUSIA,15
