COD_parada_ATM,nom_p_sinoptic,nom_parada,UTM_X,UTM_Y,tipus,Plataforma
20001,ESTAC D1,ESTACIÓ D'AUTOBUSOS,301923,4609320,M,
20002,CATALU 2,CATALUNYA,301718,4609420,M,
20003,UNIVER 1,UNIVERSITAT,301704,4609586,M,
20004,HISENDA1,HISENDA,301758,4609959,M,
20005,R VIES 1 ,RICARD VIÑES / PRAT DE LA RIBA,301694,4610225,P,
20006,ENSENYA,ENSENYANÇA / PRAT DE LA RIBA,301980,4610373,M,
20007,AMBULATO,AMBULATORI,302173,4610473,M,SI
20010,ESTAC R1,ESTACIÓ RENFE / RAMBLA FERRAN,302699,4610276,P,
20011,AUDINCI,AUDIÈNCIA,302551,4610069,P,
20013,P VELL 1,PONT VELL / PAERIA,302290,4609712,M,
20014,CAVALL 1,CAVALLERS,302098,4609496,M,
20017,UNIO,RONDA / UNIÓ,301351,4609247,P,SI
20018,P PAGE 1,PLAÇA PAGESOS,301210,4609490,M,
20019,COMISSAR,RONDA / PIUS XII,301153,4609747,M,
20020,SEGRI,RONDA / SEGRIÀ,301207,4610070,M,
20021,M FLEMIN,MERCAT FLEMING,301360,4610320,P,
20022,E GRANAD,RONDA / ENRIC GRANADOS,301576,4610524,M,
20023,H TORRES,RONDA / HUMBERT TORRES,301758,4610696,P,SI
20024,P EURO 1,RONDA / PLAÇA EUROPA,301932,4610868,M,SI
20025,P TREBAL,P. VIANA / PLAÇA DEL TREBALL,302232,4610716,M,SI
20027,ESTAC R3,ESTACIÓ RENFE / P. VIANA,302705,4610350,M,
20029,R LLRIA,COMTES D'URGELL / ROGER DE LLÚRIA ,302722,4610722,,
20035,MITJANA,PARC LA MITJANA,303647,4611329,,
20036,A PEARSO,AVINGUDA PEARSON,303575,4611081,,
20037,PARDINYE,ESCOLA PARDINYES,303395,4610991,,
20038,J PUJADE,JERONI PUJADES / RAMBLA,303180,4610715,M,
20039,B MAIALS,JERONI PUJADES / BARÓ DE MAIALS,303050,4610555,P,
20040,P PARDI,BARÓ DE MAIALS / TORTOSA,303207,4610378,P,
20043,P SANAJ,PASSAREL·LA CAMPS ELISIS,302647,4609911,P,SI
20045,ESCORX2,ESCORXADOR 2,301379,4609424,,
20049,E MORERA,CARDENAL CISNEROS,300896,4609297,M,
20053,BL J C 1,BLOCS JOAN CARLES,300849,4609555,P,
20055,CASTE,CASTELLA,301201,4609690,P,
20058,AUDITO 1,AUDITORI,302373,4610377,M,
20059,ELISIS 1,CAMPS ELISIS 2,302567,4609554,P,
20060,D CAST 1,GARRIGUES / DRA.CASTELLS,302676,4609375,P,SI
20061,B CAIX 1,GARRIGUES / BLOCS LA CAIXA 2,302804,4609194,P,SI
20062,CANAL 1,GARRIGUES / CANAL 2,303143,4608810,P,
20063,SICORI 1,GARRIGUES / SÍCORIS 2,303314,4608694,P,
20064,ARTESA,AV. ARTESA 2,303460,4608432,P,
20067,D'URGELL,PLA D'URGELL 2,303795,4608281,M,
20069,I BASTUS,CENTRE / IES MARIA RÚBIES,303798,4608573,P,
20071,PALAUET,PALAUET / GARRIGUES,303447,4608693,M,
20072,SICORI 2,GARRIGUES / SÍCORIS,303299,4608722,P,
20073,CANAL 2,GARRIGUES / CANAL,303129,4608836,P,
20074,B CAIX 2,GARRIGUES / BLOCS LA CAIXA,302811,4609209,P,
20075,D CAST 2,GARRIGUES / ALACANT,302677,4609402,P,
20076,ELISIS 2,CAMPS ELISIS,302559,4609599,P,
20077,RI SEGRE,PONT VELL / AV. SEGRE,302390,4609799,M,
20078,BO CAP 1,PALAUET / BOQUÉ 2,303728,4608831,P,
20079,ASTRI 1,PALAUET / ASTURIES 2,304054,4609133,P,
20080,T.PALA 1,PALAUET / ALMERIA 2,304241,4609367,P,
20081,CEMENT 1,ROTONDA CEMENTIRI,304260,4609550,M,
20082,CEMENT 2,CEMENTIRI 2,304783,4609628,P,
20083,MECANOVA,MECANOVA,304812,4609408,P,
20084,J.GAVAR,JOAN GAVARRA,305438,4609336,P,
20085,MAGRANER,LOCAL SOCIAL MAGRANERS,305270,4608981,M,
20086,M.SALVAD,FLORIDA / LA MAGRANA,305350,4608936,P,
20087,COS.MAGR,COSTA MAGRANERS / PLA STA.MARIA,305237,4608930,P,
20088,CEMENT 3,CEMENTIRI 3,304651,4609227,M,
20089,T.PALA 2,PALAUET / ALMERIA,304233,4609372,P,
20090,ASTRI 2,PALAUET / ASTÚRIES,304044,4609144,P,
20091,BO CAP 2,PALAUET / BOQUÉ,303762,4608860,P,SI
20093,SA RUF 2,PRAT DE LA RIBA / SANT RUF,302460,4610634,P,
20094,CP BALA1,CAP BALÀFIA - PARDINYES 2,302617,4610974,P,SI
20097,TO VICE1,TORRE VICENS 2,302609,4611505,P,
20098,P.SEGUR1,LLIBERTAT / POBLA DE SEGUR 2,302706,4611631,P,
20099,LA CREU1,LLIBERTAT / LA CREU 2,302564,4611973,P,
20100,SEC 1,LOCAL SOCIAL SECÀ 2,302530,4612080,M,
20101,ES.PONEN,ESCOLA TERRES DE PONENT,302460,4612306,P,
20102,LA LLUM,LA LLUM,302391,4612653,P,
20103,AV.PERE,AV. SANT PERE,302430,4612365,P,
20104,T MARIMU,A.E.M.,302116,4612854,P,
20105,PICABAIX,MARIMUNT / PICABAIX,302328,4612297,P,
20106,SEC 2,LOCAL SOCIAL SECÀ,302468,4612064,M,
20107,LA CREU2,LLIBERTAT / LA CREU,302547,4611965,P,
20108,P.SEGUR2,LLIBERTAT / POBLA DE SEGUR,302696,4611628,P,
20109,TO VICE2,TORRE VICENS,302604,4611525,P,
20111,SABADE 2,BARÓ DE MAIALS / SABADELL,302440,4611164,P,
20112,CP BALA2,CAP BALÀFIA - PARDINYES,302606,4610970,P,SI
20114,A.PEREA,ENSENYANÇA / ALCALDE PORQUERES,301952,4610430,P,
20115,MOS.REIG,CLOT DE LES GRANOTES 2,301994,4610717,P,
20116,BERGUED1,ALCALDE PORQUERES / PL. EUROPA 2,301973,4611047,P,
20117,ME.BALF,MERCAT BALÀFIA 2,301950,4611316,P,
20118,CANTBRI ,CANTÀBRIA 2,301913,4611557,P,
20119,FIGUERO1,LAUREÀ FIGUEROLA 2,301866,4611869,P,
20120,C.URGEL1,COMERCIAL URGELL 2,301764,4612485,P,
20121,GUALDA  ,GUALDA / CN LLEIDA  ,301661,4612853,B,
20122,C.MONTC1,GUALDA / CAMÍ DE MONTCADA 2,301290,4612919,P,
20124,SA JORDI ,ESC. SANT JORDI / IES,301157,4613091,M,
20125,C.MONTC2,GUALDA / CAMÍ DE MONTCADA,301290,4612910,P,
20126,C.URGEL2,COMERCIAL URGELL,301753,4612482,P,
20127,FIGUERO2,LAUREÀ FIGUEROLA,301854,4611867,P,
20128,AL.FOLCH,CANTÀBRIA,301897,4611556,P,
20132,ESTAC D2,ESTACIÓ D'AUTOBUSOS / PL. ESPANYA,301877,4609290,M,
20133,SANITAT,RICARD VIÑES / SANITAT,301650,4610271,M,
20135,H.MARIA1,HOSPITAL SANTA MARIA 2,301329,4610445,P,SI
20138,GERMANI1,ARNAU DE VILANOVA 2,300974,4611023,M,
20139,GERMANI2,ARNAU DE VILANOVA,300967,4610980,P,
20140,JARD 2,ONZE DE SETEMBRE,301201,4610853,P,
20141,H.MARIA2,HOSPITAL SANTA MARIA,301318,4610433,P,
20142,GARRIGUE,DRA. CASTELLS / GARRIGUES,302632,4609401,P,
20143,RIU EBRE,CAP CAPPONT,302474,4609231,P,SI
20144,RI BESOS,DRA.CASTELLS / ESTUDI GENERAL,302267,4608993,P,
20145,P.UNIVE1,PONT UNIVERSITAT,302073,4609121,P,
20146,ESTAC D3,EST. D'AUTOBUSOS / PONT UNIVERSITAT,301925,4609280,P,
20147,CAVALL 2,CAVALLERS 2,302132,4609508,P,
20148,P VELL 2,PONT VELL / BLONDEL,302291,4609682,M,SI
20150,R FERRAN,AUDIÈNCIA 2,302537,4610016,P,SI
20151,ESTAC R2,ESTACIÓ RENFE,302733,4610350,P,
20152,P D RIBA,P. VIANA / PRAT DE LA RIBA 2,302384,4610620,P,
20153,CORS CAT,P. VIANA / CORTS CATALANES,302184,4610775,P,SI
20154,P EURO 2,RONDA / PLAÇA EUROPA 2,301924,4610884,P,SI
20155,ERMEN VI,RONDA / ROVIRA ROURE,301566,4610544,P,
20156,FLEMING,MERCAT FLEMING 2,301301,4610280,M,
20157,JOC BOLA,RONDA / SEGRIÀ 2,301183,4610080,M,
20158,PIUS XII,RONDA / PIUS XII 2,301137,4609642,M,
20159,P PAGE 2,PLAÇA PAGESOS 2,301230,4609389,M,SI
20160,CISNEROS,RONDA / UNIÓ 2,301342,4609227,P,
20162,ER LLUCH,PASSAREL·LA MARISTES,301721,4609069,P,
20163,BL J C 2,BLOCS  JUAN CARLOS 2,301257,4603638,P,
20178,A.ESPEN1,ALCALDE RECASENS / AMB. ESPENS 2,302716,4611163,P,
20179,PAR SOL1,CTRA. ALBESA 2,303118,4612728,P,
20180,VERDEROL,DEL VERDEROL,303164,4613240,P,
20181,CEIP.LLI,C.E.I.P. LLÍVIA,303450,4613544,P,
20182,A.VILAPL,ANTONI VILAPLANA,303632,4613537,P,
20183,LLVIA,LLÍVIA,303376,4613486,P,
20184,PAR SOL2,CTRA. ALBESA,303118,4612728,ATM,
20185,A.ESPEN2,ALCALDE RECASENS / AMB. ESPENS ,302708,4611165,P,
20194,R VIES 2,RICARD VIÑES / BALMES,301673,4610153,P,
20195,HISENDA2,HISENDA 2,301736,4609965,P,
20196,UNIVER 2,UNIVERSITAT 2,301663,4609568,P,SI
20197,P.ESPANY,ESTACIÓ D'AUTOBUSOS / CATALUNYA,301832,4609291,P,
20206,JARD 1,ONZE DE SETEMBRE 2,301160,4610927,P,
20207,ROVIRA,CIUTAT JARDÍ 2,300670,4611143,P,
20209,AGRNOM1,AGRÒNOMS,299835,4611494,P,
20216,FU.FELIP,CIUTAT JARDÍ,300666,4611132,P,
20217,PAR SOL,CAPARRELLA,299359,4608180,B,
20218,CAPARREL,COMPLEX CAPARRELLA,298413,4608065,M,
20219,PAR SOL,CAPARRELLA 2,298872,4607968,B,
20220,SEG/NORD,PASSAREL·LA CAMPS ELISIS 2,302785,4609937,P,
