"Institut Municipal d'Ocupació ""Salvador Seguí"". Pressupost d'ingressos per conceptes 2014";;
;;
;Capítol;Import € 
;3. Taxes, preus públics i altres ingressos;134.000,00
;4. Transferències corrents;3.241.914,84
;8. Actius financers;24.020,00
;;
;;
;Total general;3.399.934,84
;;
;;
;;
 Concepte;Denominació;Import € 
;;
;Capítol 3. Taxes, preus públics i altres ingressos;
;;
;Article 39. Altres ingressos;
39903;Ingressos alumnes . Cursos Àrea de Formació;125.000,00
39904;VENDA SERVEIS CET;3.000,00
39905;INGRESSOS ALUMNES ESCOLA JARDINERIA;6.000,00
;Total article 39;134.000,00
;;
;Total capítol 3;134.000,00
;;
;;
;;
;Capítol 4. Transferències corrents;
;;
;Article 40. De l'administració general de l'entitat local;
40000;TRANSFERÈNCIA CORRENT AJUNTAMENT DE LLEIDA;2.324.946,00
;Total article 40;2.324.946,00
;;
;Article 45. De comunitates autònomes;
45053;SUBVENCIONS EDUCACIÓ GENCAT;444.000,00
45054;SUBVENCIONS GENERALITAT. TREBALLADORS CET;195.000,00
45056;TRANFERÈNCIES GENERALITAT. USAPS;140.000,00
45080;SUBV CORRENTS DE LA ADMÓN GENERAL DE LA C.A;10.000,00
;Total article 45;789.000,00
;;
;Article 46. D'entitats locals;
46600;TRANSFERÈNCIES CONSELL COMARCAL DEL SEGRIÀ;7.000,00
;Total article 46;7.000,00
;;
;Article 48. De famílies e institucions sense fi de lucre;
48000;TRANSFERENCIES INFORM. PROGRAMA SEFED;120.968,84
;Total article 48;120.968,84
;;
;Total capítol 4;3.241.914,84
;;
;;
;;
;Capítol 8. Actius financers;
;;
;Article 83. Reintegraments de prèstecs de fora del sector públic;
83100;REINTEGRAMENT DE PRÈSTECS AL PERSONAL;24.020,00
;Total article 83;24.020,00
;;
;Total capítol 8;24.020,00
;;
;;
;Total general;3.399.934,84
;;
;;
