nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación de Padres de Alumnos La Merced del Colegio Madre de Dios Madres Mercedarias","Asociación de Padres y Madres de Alumnos","156","G-30064224","C/ Zapatería s/n","30800","","","968 442 311","","",""
"Asociación de de Madres y Padres de Alumnos del CEIP Ana Caicedo Richard, de Lorca","Asociación de Padres y Madres de Alumnos","421","G-73612616","Rancisco Escobar Barberán, nº35","30800","","","968 478 335","","anacaicedoampa@hormail.com","20/10/2008 0:00:00"
"Asociación de Madres y Padres de Alumnos del C.P. Juan Navarro García","Asociación de Padres y Madres de Alumnos","165","G-30277222","C/ Mayor, Camino de las Escuelas","30816","","","660 334 782","","","16/01/2011 0:00:00"
"Asociación de Madres y Padres de Alumnos del C.P. Ntra. Sra. Virgen del Rosario de Ramonete","Asociación de Padres y Madres de Alumnos","219","G-73244022","Las Librilleras, s/n","30800","","","","","","14/03/2003 0:00:00"
"Asociación de Madres y Padres de Alumnos del C.P. de Educación Infantil y Primaria Campillo","Asociación de Padres y Madres de Alumnos","49","G-30147144","Diputación de Campillo, Ctra. de Almenara, 20","30813","","","968 469 758","","","12/12/1980 0:00:00"
"Asociación de Madres y Padres Ana María de Haro del Colegio Público Juan González de Lorca.","Asociación de Padres y Madres de Alumnos","233","G-73318503","C/ Cañada de Morales, C.P. Juan González, nº 12","30800","","","678 666 587","968469160","","22/06/2004 0:00:00"
"Asociación de Padres de Alumnos del Instituto Mixto de Bachillerato num. 3 Ramón Arcas","Asociación de Padres y Madres de Alumnos","59","G-30293666","Avenida Juan Carlos I, nº 72","30800","","","618 253 772","","","30/10/2003 0:00:00"
"Asociación de Madres y Padres de Alumnos y Alumnas Colegio Público Ginés Pérez de Hita","Asociación de Padres y Madres de Alumnos","60","G-30117535","C/ Don Diego Pallarés Cachá","30800","","","620 679 290","","",""
"Asociación de Padres de Alumnos del Instituto de Bachillerato Mixto nº 1 J. Ibáñez Martín","Asociación de Padres y Madres de Alumnos","61","G-30273395","C/ Jerónimo Santa Fe, s/n ","30800","","","606 157 448","","","07/12/2005 0:00:00"
"Asociación de Madres y Padres del Colegio Público de Purias","Asociación de Padres y Madres de Alumnos","245","G-30285340","CEIP PURIAS","30813","","","610787777","","","21/09/1974 0:00:00"
"Asociación de Madres y Padres de Alumnos del Conservatorio Profesional Narciso Yepes","Asociación de Padres y Madres de Alumnos","81","G-30293161","C/ Abad de los Arcos, 2 ","30800","","","968 441 514","","","13/05/1991 0:00:00"
"Asociación de Padres de Alumnos del Colegio Público Alfonso X el Sabio","Asociación de Padres y Madres de Alumnos","103","G-30112585","C/ Sagrada Familia","30800","","","968 461 996","","",""
"Asociación de Padres del Colegio Andrés García Soler","Asociación de Padres y Madres de Alumnos","113","G-30314587","C/ Cañada de Guevara","30800","","","968 443 606","","",""
"APA del Instituto de Bachillerato Mixto nº 2 de Lorca","Asociación de Padres y Madres de Alumnos","139","G-30295232","C/ María Agustina, s/n","30800","","","","","",""
"Asociación de Padres de Alumnos del Centro Público de Educación Especial Pilar Soubrier de Lorca","Asociación de Padres y Madres de Alumnos","141","G-30266845","Urbanización La Viña - Colegio Pilar Soubrier","30800","","","","","",""
"Asociación de Padres de Alumnos del Colegio Público José Robles de Lorca","Asociación de Padres y Madres de Alumnos","142","G-30287957","Alameda de los Tristes, s/n","30800","","","659 396 002","","juana.serranovera@yahoo.com","11/12/2002 0:00:00"
"Asociación de Padres de Alumnos de la Graduada Mixta Comarcal de La Hoya de Lorca","Asociación de Padres y Madres de Alumnos","143","G-30277222","C.P.C. Juan Navarro García, C/ Mayor s/n. La Hoya","","","","","","",""
