nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociacion de Amigos del Pueblo Saharaui","Asociación de Cooperación Social","185","G-30525976","C/Eugenio Ubeda,17 7ºk    ","30800","","","619370416","","",""
"Asociación Antiguas Alumnas del Colegio San Francisco","Asociación de Cooperación Social","89","G-30273486","Plaza del Negrito s/n (escalinata)","30800","","","669 375 364","","","07/04/1986 0:00:00"
"Asociación Atenea Promoción y Desarrollo Social","Asociación de Cooperación Social","209","G-73231946","C/ Granero, Edificio Armonía, nº 3, 1º A","30800","","","677423407","","","18/03/2003 0:00:00"
"Asociación Misión Río Lindo","Asociación de Cooperación Social","237","G-30365035","Avda. Juan Carlos I, nº 42. Esc. B. Pl 3ª","30800","","","","","","17/05/1993 0:00:00"
"UNICEF - COMITÉ ESPAÑOL","Asociación de Cooperación Social","247","G-28382406","Alameda Fajardo el Bravo ","30800","","","968470188","","","29/11/2001 0:00:00"
"Familias Solidarias con el Pueblo Bielorruso","Asociación de Cooperación Social","121","G-73011447","C/ Eugenio Úbeda -Edifico Cruz Roja- , nº 7","30800","","","647 368 860","","familiassolidarias@lorca.es","13/04/2004 0:00:00"
"Federación de Asociaciones Familias Solidarias","Asociación de Cooperación Social","160","F-73067670","Alameda de Cervantes, Centro Social Paso a Nivel","30800","","","","","",""
"Asociación Socioeducativa ALDEA ACTIVA","Asociación de Cooperación Social","382","G-73568388","Alameda de Cervantes, 16 - 8º C","30800","","","666 005 123","","","19/12/2007 0:00:00"
"Asociación Instituto de Desarrollo Comunitario de Murcia","Asociación de Cooperación Social","372","G-30485858","C/ Lope Gisbert, nº 18","30800","","","968257466","968351290","mercedes.idc@gmail.com","13/01/1995 0:00:00"
"Asociación Ghaneses de Lorca","Asociación de Cooperación Social","496","G-73721565","Camino Viejo del Puerto, 52, Bj.","30800","","","698506180 - 698849667","","ghanalorca@yahoo.es",""
"FUNDACIÓN UNICEF. COMITE ESPAÑOL","Asociación de Cooperación Social","293","G-28382406","","","","","","","",""
"Federación de Cooperativas Agrarias de la Región de Murcia, Unión de Cooperativas -FECOAM-","Asociación de Cooperación Social","557","F301154441","Camino de Cartagena","30815","","","968351282","","fecoam|@fecoam.es","15/10/1986 0:00:00"
