nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación Gitana de Lorca","Asociación de Minorías Sociales","53","G-30426316","C/ Mayor  de San Pedro, 2","30800","","","","","",""
"Asociación Cultural SALAM","Asociación de Minorías Sociales","109","G-73004186","C/ Alburquerque, 15 - bajo","30800","","","968 460 737","","",""
"Asociación de Mujeres Gitanas de Lorca Sinando Romis","Asociación de Minorías Sociales","178","G-73169443","C/ Andrés Pascual, nº 6","30800","","","968 477 354","","",""
"Asociación Juvenil Gitana Chavorrí Caló","Asociación de Minorías Sociales","179","G-73169377","C/ Andrés Pascual, nº 1","30800","","","673 169 377","","",""
"ASOCIACIÓN INTIRAYMI DE VOLUNTARIOS ECUATORIANOS POR LA CULTURA Y LA SOLIDARIDAD (AIVECS)","Asociación de Minorías Sociales","194","G-73210239","C/ Juan Francisco Potous, 26","30800","","","616 054 799 / 616079 000","","","21/10/2002 0:00:00"
"ASOCIACIÓN GITANA DE LORCA (SINELO CALO)","Asociación de Minorías Sociales","197","","C/ Abellán, num. 6","30800","","","","","",""
"Asociación Burkina Faso de Lorca","Asociación de Minorías Sociales","412","G-73605495","C/ Pedro Cárceles, 21","30800","","","680 960 843","","zas_ta@yahoo.fr","10/06/2008 0:00:00"
"ASOCIACIÓN PARA LA PROMOCIÓN SOCIO CULTURAL E INSERCIÓN LABORAL DE LA ETNIA GITANA Y OTROS COLECTIVOS EN RIESGO DE EXCLUSIÓN SOCIAL -ASPROSOCU-","Asociación de Minorías Sociales","413","G-30432231","Placica Nueva, 13, bajo","30800","","","868 922 123","868 922 123                                       ","lorca@asprosocu.org","30/11/1994 0:00:00"
"Asociación Cultural Virgen del Quinche","Asociación de Minorías Sociales","458","G-73694317","C/ Abellaneda, 92","30800","","","610 897 513","","","21/11/2010 0:00:00"
"Asociación Intercultural Boliviamur","Asociación de Minorías Sociales","472","G-73721433","Alameda Corregidor Lapuente, 5","30800","","","638 882 424","","","15/11/2010 0:00:00"
"Asociación de Nigeria en Lorca","Asociación de Minorías Sociales","507","G-73796716","Plaza Saavedra, 2 - 2º E","30800","","","632 130 784 / 602 085 196","","","03/09/2012 0:00:00"
