nombre,tipoasociacion,numRegistro,cif,direccion,codpostal,longitud,latitud,telefono,fax,email,fconstitucion
"Asociación Nuestra Señora de Lourdes de Lorca","Asociación Religiosa","164","G-73087637","Avda Juan Carlos I, Edif. Goya, bajo","30813","","","666 548 452","","","01/01/2001 0:00:00"
"Asociación Jóvenes Bautistas de Lorca","Asociación Religiosa","203","G-73138984","C/ Juan XXIII, nº 5","30800","","","","","",""
"Cofradía del Santísimo Cristo del Perdón - Paso Morado","Asociación Religiosa","207","G-30321095","C/ Nogalte, 25","30800","","","","","",""
"Muy Ilustre Cabildo de Nuestra Señora la Virgen de la Amargura, en la Real y Muy Ilustre Orden-Archicofradía de Nuestra Señora del Rosario -Paso Blanco-","Asociación Religiosa","248","G-30040372","Conjunto Monumental Santo Domingo, C/ Santo Domingo, nº 8","30800","","","","","secretaria@elpasoblanco.com",""
"Hermandad de Labradores, Paso Azul","Asociación Religiosa","294","G-30040364","C/ Nogalte, nº 7","30800","","","968 47 20 77","","info@pasoazul.com",""
"Archicofradía del Santísimo Cristo de la Sangre, Paso Encarnado.","Asociación Religiosa","326","G-30244883","C/ Eulogio Periago, nº 2","30800","","","968472456","","",""
"Asociación de Damas de la Virgen de la Piedad","Asociación Religiosa","183","G-73159543","C/ José Mouliaá, Casa del Paso Morado","30800","","","968 461 452","","",""
"Manos Unidas","Asociación Religiosa","337","G-28567790","C/ Lope Gisbert (Parroquia San Mateo)","30800","","","","","murcia@manosunidas.org","01/01/1960 0:00:00"
"HERMANDAD VIRGEN DE LAS HUERTAS","Asociación Religiosa","378","G-30416226","Plaza del Rey Sabio, Apartado de Correos nº 400","30800","","","","","","03/06/1994 0:00:00"
"Asociación Ntra. Sra. Virgen de la Salud, la Hoya","Asociación Religiosa","386","G-73577918","Dip. La Hoya, C/ Mayor, Escuela Juan Navarro García","30816","","","968 481 747","","","05/12/2007 0:00:00"
"Asociación de Costaleros de Santa Ana de Felí","Asociación Religiosa","391","G-73370454","Dip. Purias, Ermita de Felí","30813","","","608 469 613","","","15/03/2005 0:00:00"
"Asociación Cultural Cristiana Casa de la Esperanza","Asociación Religiosa","479","G-73739021","C/ Atrio de Santa María, s/n","30800","","","616 380 629","","","20/10/2011 0:00:00"
"Archicofradía de Jesús Resucitado","Asociación Religiosa","483","G-30133748","Colegiata de San Patricio","30800","","","968 468 089","","",""
"Centro Islámico de Lorca Tawhid","Asociación Religiosa","524","g-73407819","C/ Juan de Toledo, 1 -1","30800","","","660460140","","","05/12/2005 0:00:00"
