foto,idbiblio,nombre,direccion,longitud,latitud,descripcion
"","1","Pilar Barnés","Plaza Real, 30800 Lorca","-1.69624787327871E+16","376773051387146","Construida en el año 1999, situada en Plaza Real, cubre las necesidades de información para adultos, actuando de cabecera de la red y desde donde se coordina y gestiona todo el sistema.<br>Horario: De Lunes a Viernes: de 9 a 21 horas. Sábados: de 10 a 14 horas. 
"
"","2","Biblioteca Infantil y Juvenil del Centro Cultural","C/ Presbítero Emilio García, 30800 Lorca","-1.69722956177816E+16","3.76741717069438E+16","Situada en la 3ª planta del Centro Cultural de la Ciudad, ofrece un servicio de biblioteca para niños y jóvenes hasta 15 años. <br>Horario: De lunes a Viernes: mañanas, actividades concertadas  tardes: de 17 a 20 h. <br>Sábados : de 10 a 14 h. <br>Así mismo en el Centro Cultural de la Ciudad existe en la planta sótano una Sala de Estudio con 126 puntos de lectura.
"
"","3","Biblioteca de La Paca","Centro de usos múltiples. Avda. Juan Carlos I, 5.  30812 La Paca - Lorca","-1.83774129474398E+15","3.78744569931657E+16","Horario: Martes, Miércoles y Jueves de 16 a 19 horas.<br>Centro de usos múltiples. Avda. Juan Carlos I, 5.  La Paca.<br>Abierta a los vecinos desde el año 2003 con un pequeño lote de libros inicial. Desde 2007,  la Biblioteca pública ocupa una de las salas de la planta baja del nuevo  Centro  Municipal de Usos Múltiples.
"
"","4","Biblioteca de Almendricos","Casa del médico. C/ Centro Rural s/n. 30893 Almendricos","-1.77599542667497E+16","3.74737625146321E+15","Está instalada en la reformada casa del médico, compartiendo local con la Sala de Nuevas Tecnologías.   Se abrió al público en el año 2006.<bR>Horario: Lunes, Martes, Miércoles y Jueves de 16 a 19 horas
"
"","5","Biblioteca de Purias","Colegio público de Purias. C/ Cruce de Purias s/n.  30813 Purias","-167080991794694","3.75777232776283E+15","Se trata de una Biblioteca Integrada. Por acuerdo con la Dirección del Colegio Público de Purias, su  uso  es compartido como biblioteca escolar (horario de mañana) y biblioteca municipal (horario de tarde). Se inauguró en el mes de Abril de 2007.<br>Horario: Martes, Miércoles y Jueves de 16 a 19 horas

"
"","6","Biblioteca Pública Príncipe de Asturias","C/ Juan Antonio Dimas, 3. 30800 Lorca","-1.69051878978837E+16","3.76794460271097E+15","Biblioteca Integrada en este caso con un Instituto de Educación Secundaria. Por acuerdo con la Dirección de este  centro educativo, en el curso 2007/2008 se abrió la biblioteca del centro en horario extraescolar como servicio municipal. <br>Horario: Martes, Miércoles y Jueves 17 a 20 horas.
"
"","7","Biblioteca Pública La Hoya","Colegio Público Juan Navarro. 30816 La Hoya","-1.59563104350264E+16","3.77067906748142E+15","En diciembre de 2008  en La Hoya, una de las pedanías lorquinas más pobladas, la biblioteca se instaló en un local de nueva construcción, independiente,  aunque ubicado dentro del recinto escolar del Colegio Público Juan Navarro. También, de acuerdo con el centro educativo, funciona como biblioteca escolar en horario de mañana y como biblioteca pública en horario de tarde. <bR>Horario: Martes, Miércoles y Jueves de 16 a 19 horas.
"
"","8","Biblioteca Pública Marchena-Aguaderas","Colegio Público de Marchena. 30815 Marchena","-1.64325634677107E+15","3.76675736337298E+15","En  Febrero de 2009,  la Biblioteca Pública Marchena ? Aguaderas abría sus puertas como biblioteca integrada. Debe su nombre a que da  servicio a los vecinos de estas dos pedanías colindantes. Esta  biblioteca ocupa el local de la Biblioteca Escolar del CEIP Narciso Yepes de Marchena y también tiene doble uso. <br>Horario: Martes, Miércoles y Jueves de 16 a 19 hora"
"","9","Biblioteca Pública Zarcilla de Ramos","CEIP  Zarcilla de Ramos. 30810","-1.87370922629464E+16","3.78413840633009E+15","En Mayo de 2009, se celebraba la apertura del quinto centro integrado de la red municipal de bibliotecas, la denominada Biblioteca Pública Zarcilla de Ramos, situada en el CEIP de esta pedanía del norte, la mayor en extensión del término municipal. Además este colegio público tiene la particularidad de ser un CRA (Colegio Rural Agrupado) por lo que esta biblioteca sirve no sólo a los vecinos y el  colectivo escolar de Zarcilla de Ramos sino también al resto de comunidades rurales que cubre. "
"","10","Biblioteca Pública Cazalla","CEIP Virgen de Las Huertas. 30818 Vereda Alta, Cazalla.","-1.67814931942144E+16","3.76608790554789E+15","En marzo de 2010, fue inaugurada una nueva biblioteca en la pedanía de Cazalla. Este nuevo centro comparte local con la ya existente  Biblioteca Escolar del CEIP Virgen de las Huertas. Se trata pues de una nueva Biblioteca Integrada (de doble uso, escolar y público), que da servicio a cerca de 3500 habitantes de las pedanías lorquinas de Cazalla y Pulgara.<br>Horario: Martes, Miércoles y Jueves de 16 a 19 horas
"
