idtrafico,nombreincidencia,detalleincidencia,fechainicio,fechafin,calle,longitud,latitud,url
"14022","Calle cortada","PROHIBIDO ESTACIONAR DE 05 A 15 HORAS PARA CELEBRACION MERCADO SEMANAL TODOS LOS LUNES.","28/10/2013 0:00:00","31/12/2017 0:00:00","CALLE MURCIA   DE LA POBLACION LA PACA,exp. 2466","-1.83725001779101","37.8747009106304","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=14022"
"18898","Calle cortada","VALLADA -SEÑALIZADA ZONA DE PELIGRO CAIDA ELEMENTOS FACHADA INMUEBLE. ","05/01/2017 0:00:00","31/12/2017 0:00:00","C/. MURCIA, N  10-16, DE POBLACIÓN LA PACA,EXP. 37/2017","-1.836873817791","37.8743638966484","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=18898"
"20060","Calle cortada","OBRAS RENOVACIÓN SANEAMIENTO POR AGUAS DE LORCA, empresa responsable debe señalizar según normativa vigente, DESVIO TRÁFICO POR C/. BARRIONUEVO (calle paralela a C/. Fuente de Arriba)","19/10/2017 0:00:00","22/12/2017 0:00:00","C/. FUENTE DE ARRIBA, desde C/. Sastre sentido Norte,EN POBLACIÓN DE COY.exp. 1456/2017","-1.81214272750856","37.9494877993815","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=20060"
"18539","Calle cortada","CORTADA AL TRAFICO RODADO Y ACORDONADO EL INMUEBLE, POR INCENDIO","17/10/2016 0:00:00","31/03/2018 0:00:00","C/. CURETA, N  85 DE COY, con algunas calles adyacentes,exp. 1380/2016","-1.81172616441802","37.9474333336431","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=18539"
"12136","Calle cortada","CELEBRACION MERCADO SEMANAL LOS LUNES","03/09/2012 0:00:00","31/12/2017 0:00:00","POBLACION ALMENDRICOS: C/. MAYOR DE ALMENDRICOS, tramo entre C/. Industrias y C/. Olivo CON adyacentes,exp. 1849","-1.77675937011418","37.473240992891","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=12136"
"20043","Calle cortada","OBRAS CANALIZACIÓN DE GAS NATURAL,ASFALTO,  empresa responsable debe señalizar según normativa vigente.","16/10/2017 0:00:00","30/10/2017 0:00:00","C/. TOMAS BENITEZ,  C/. ENRIQUE ZUMEL, Y C/. MARISCAL PEDRO MUSSO,entre C/. Manuel Tamayo y Rambla Los Peñones. EXP. 1441/2017","-1.71032691653295","37.6586115540868","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=20043"
"16092","Calle cortada","PROHIBIDO ESTACIONAR DE 0 A 18 HORAS, PARA MERCADO LA  VIÑA LOS SABADOS","21/03/2015 0:00:00","31/12/2017 0:00:00","LOS SABADOS: AVDA. LA VENDIMIA, PLAZA LOS OFICIOS, C/. IMPRESORES B  LA VIÑA,EXP. 429","-1.70754419178775","37.661595479502","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=16092"
"17673","Calle cortada","ENTRADA PROHIBIDA, R-101, EXCEPTO VEHICULOS AUTORIZADOS, con tarjeta  de autorizacion visible  en 21  vehículos","08/03/2016 0:00:00","31/12/2017 0:00:00","CALLE DE CALZADA SIN SALIDA DE ACCESO AL COLEGIO  INFANTILCEIP ALFONSO X EL SABIO  DE ACCESO POR ROTONDA PINTADA EN PAVIMENTO DE C/. RAMBLA LAS CHATAS CON C/. TORRECILLA,EXP. 407","-1.70662560436858","37.6649641623855","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=17673"
"12762","Calle cortada","CORTADO   ACCESO  AL MODULO EDUCACION INFANTIL CON VALLA PORTATIL CON SEÑAL DE ENTRADA PROHIBIDO R-101,  EN HORARIO ESCOLAR DE 8,45 A 9,15 Y DE 13,45 A 14,15 HORAS DE LUNES A VIERNES LABORABLES, EXCEPTO MESES DE OBRAS RENOVACIÓN BARRIO ALFONSO X","15/01/2013 0:00:00","31/12/2017 0:00:00","CALLE DE CALZADA SIN SALIDA DE ACCESO AL MODULO DE EDUCACION INFANTIL CEIP ALFONSO X EL SABIO, altura con su acceso C/. Torrecilla,exp. 48","-1.70660817000999","37.6649450533177","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=12762"
"18334","Calle cortada","PROHIBIDO ESTACIONAR, PARA VALLADO Y RECONSTRUCCIÓN EDIFICIO POR DAÑOS SEISMOS, EMPRESA RESPONSABLE SEÑALIZA SEGÚN NORMATIVA VIGENTE, INCLUIDO SEÑALIZACIÓN s-30, ZONA 10 KM/H. PRIORIDAD PEATONAL.","22/08/2016 0:00:00","31/12/2017 0:00:00","CORTADO TRAFICO RODADO EN C/. ALBAÑILERIA DE 8 A 20 HORAS-C/. ALBAÑILERIA CON CTRA. GRANADA(C/. CURTIDORES),EXP. 1174/2016","-1.70634220290219","37.6620058267727","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=18334"
"19610","Calle cortada","PROHIBIDO ESTACIONAR,  PARA OBRAS MEJORAS ACCESOS AL RECINTO DEL CALVARIO, EMPRESA RESPONSABLE SEÑALIZA SEGÚN NORMATIVA VIGENTE. ","13/06/2017 0:00:00","08/12/2017 0:00:00","ACCESOS Y RECINTO MONTE CALVARIO, EN SU ACCESO POR C/. SEGUNDA CAIDA Y ROTONDA C/. JUAN BAYONAS,EXP. 959/2017","-1.7047125970978","37.6702782011059","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19610"
"19559","Calle cortada","OBRAS MEJORA DE INFRAESTRUCTURAS, EMPRESA RESPONABLE SEÑALIZA SEGÚN NORMATIVA VIGENTE.","25/05/2017 0:00:00","28/02/2018 0:00:00","C/. LAS PALAS, C/. CABEZO, TRAVESÍAS Y ESCUELAS, EXP. 807/2017","-1.70333725752494","37.6739457498073","http://www.lorca.es/ficheros/File/trafico/detalle.asp?id=470&trafico=19559"
