codigo_via,tipo_via,nombre_via,nombre_colectiva,nombre_singular,nombre_nucleo
"90002","CMNO"," PASO (DEL)","","HINOJAR","*DISEMINADO*"
"42056","CMNO","17 ARCOS (DE LOS)","PARRILLA","ALCALA","*DISEMINADO*"
"42056","CMNO","17 ARCOS (DE LOS)","PARRILLA","ALCALA","CONSEJERO (EL)"
"42056","CMNO","17 ARCOS (DE LOS)","PARRILLA","CAMPICO BLANCO","*DISEMINADO*"
"42056","CMNO","17 ARCOS (DE LOS)","RIO (EL)","CANALES (LAS)","*DISEMINADO*"
"100","CALLE","ABAD DE LOS ARCOS","","LORCA","PARROQUIAS ALTAS"
"17015","CMNO","ABADES (DE LOS)","ESCUCHA","ABADES (LOS) Y LAS NORIAS","*DISEMINADO*"
"17015","CMNO","ABADES (DE LOS)","PURIAS","ALTOBORDO","*DISEMINADO*"
"18008","CALLE","ABADES Y LAS NORIAS (LOS)","ESCUCHA","ABADES (LOS) Y LAS NORIAS","NORIAS (LAS)"
"18001","LUGAR","ABADES Y LAS NORIAS (LOS)","ESCUCHA","ABADES (LOS) Y LAS NORIAS","*DISEMINADO*"
"306","PLAZA","ABASTOS","","LORCA","SAN MATEO"
"101","CALLE","ABELLAN","","LORCA","PARROQUIAS ALTAS"
"101","CALLE","ABELLAN","","LORCA","SAN MATEO"
"962","CALLE","ABELLANEDA","","LORCA","SAN CRISTOBAL"
"966","TRVA","ABELLANEDA","","LORCA","SAN CRISTOBAL"
"416","CALLE","ABENHALAJ","","LORCA","SAN MATEO"
"60098","CALLE","ABETO (DEL)","TERCIA","TRAVIESA","VILLA DE TERCIA"
"21100","CALLE","ABOGADO AGUSTIN ARAGON","","LORCA","SAN ANTONIO"
"22107","CALLE","ABOGADO JOSE LUIS ARAGON VILLODRE","TORRECILLA","CEMENTERIO (EL)","*DISEMINADO*"
"922","CALLE","ABRIL","","LORCA","SAN CRISTOBAL"
"60082","VREDA","ABRILES (DE LOS)","TERCIA","BERENGUELES (LOS)","*DISEMINADO*"
"60082","VREDA","ABRILES (DE LOS)","TERCIA","DON JUDAS","*DISEMINADO*"
"32001","CALLE","ACACIA","TOVA (LA)","FUENSANTA (LA)","PARROQUIA DE LA FUENSANTA"
"32001","CALLE","ACACIA","ZARCILLA DE RAMOS","ZARCILLA DE RAMOS","ZARCILLA DE RAMOS"
"28054","CALLE","ACACIA (TOVA LA)","TOVA (LA)","FUENSANTA (LA)","PARROQUIA DE LA FUENSANTA"
"60104","CALLE","ACEBUCHE (DEL)","TERCIA","TRAVIESA","VILLA DE TERCIA"
"62201","CMNO","ACEITES (DE LOS)","TERCIA","AMARGUILLO","*DISEMINADO*"
"60071","CMNO","ACEITUNAS (DE LAS)","TERCIA","BERENGUELES (LOS)","*DISEMINADO*"
"554","CALLE","ACTOR ANTONIO TUDELA","","LORCA","SUTULLENA"
"41037","CALLE","ACTOR ERNESTO VILCHES","","LORCA","SAN CRISTOBAL"
"555","CALLE","ACTOR RAMON MECA","","LORCA","SUTULLENA"
"700","CALLE","AGRICULTORES","","LORCA","VIÑA (LA)"
"700","CALLE","AGRICULTORES","HOYA (LA)","HOYA (LA)","HOYA (LA)"
"80096","CALLE","AGRICULTORES (HOYA LA)","HOYA (LA)","HOYA (LA)","HOYA (LA)"
"21045","CALLE","AGRICULTURA","ALMENDRICOS","ALMENDRICOS","ALMENDRICOS"
"344","CALLE","AGUADORES","","LORCA","SAN MATEO"
"28029","PRAJE","AGUAS AMARGAS","TOVA (LA)","LUCHENA","*DISEMINADO*"
"26001","PRAJE","AGUILA (EL)","HUMBRIAS","AGUILA (EL)","*DISEMINADO*"
"21001","AVDA","AGUILAS","ALMENDRICOS","ALMENDRICOS","ALMENDRICOS"
"19035","CALLE","AGUILAS","POZO HIGUERA","CABILDO (EL) Y LA CAMPANA","CAMPANA (LA)"
"10016","CTRA","AGUILAS (DE)","","TIATA - LA GRANJA","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","CAMPILLO","CAMPILLO","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","CAMPILLO","CASA CASTILLO Y EL VADO","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","CAZALLA","CAÑAREJO","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","CAZALLA","CASAS NUEVAS Y DE GALLARDO","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","PURIAS","CASA DE LAS MONJAS","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","PURIAS","CONVENTOS (LOS)","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","PURIAS","FELI","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","PURIAS","PURIAS","PURIAS (CENTRO)"
"10016","CTRA","AGUILAS (DE)","PURIAS","QUIMERAS (LAS)","*DISEMINADO*"
"10016","CTRA","AGUILAS (DE)","PURIAS","VILLARREAL","*DISEMINADO*"
"20004","TRVA","ALAMEDA VIRGEN DE LAS HUERTAS","","LORCA","VIRGEN DE LAS HUERTAS"
"302","CALLE","ALAMO (DEL)","","LORCA","SAN MATEO"
"392","CALLE","ALARCON","","LORCA","SAN MATEO"
"701","CALLE","ALBAÑILERIA","","LORCA","VIÑA (LA)"
"350","CALLE","ALBARICOS","","LORCA","SAN MATEO"
"202","CLLON","ALBERCA (DE LA)","","LORCA","SANTIAGO"
"22031","CMNO","ALBERQUILLA II","TORRECILLA","ALBERQUILLA (LA)","*DISEMINADO*"
"200","CALLE","ALBURQUERQUE","","LORCA","SAN MATEO"
"200","CALLE","ALBURQUERQUE","","LORCA","SANTIAGO"
"43001","LUGAR","ALCALA","PARRILLA","ALCALA","*DISEMINADO*"
"540","PLAZA","ALCALDE FERNANDO CHUECOS","","LORCA","SUTULLENA"
"559","AVDA","ALCALDE JOSE LOPEZ FUENTES","","LORCA","SUTULLENA"
"801","CALLE","ALCALDE PELEGRIN RODRIGUEZ","","LORCA","SAN CRISTOBAL"
"17042","CTRA","ALCANARA (DE LA)","PURIAS","ALTOBORDO","*DISEMINADO*"
"17001","LUGAR","ALCANARA Y LOS BUCANOS (LA)","PURIAS","ALCANARA (LA) Y LOS BUCANOS","*DISEMINADO*"
"10006","CRRIL","ALCANTARILLA REINALDOS","CAMPILLO","CAMPILLO","*DISEMINADO*"
"102","CALLE","ALCARAZ","","LORCA","PARROQUIAS ALTAS"
"258","CALLE","ALCAZAR","","LORCA","SANTIAGO"
"378","PLCET","ALCOLEA","","LORCA","SAN MATEO"
"963","CALLE","ALEGRIA","","LORCA","SAN CRISTOBAL"
"13010","CLLON","ALEGRIA (DE LA)","CARRASQUILLA","CAMPO LOPEZ","CAMPO LOPEZ"
"33018","CALLE","ALEMAN","PACA (LA)","PACA (LA)","PACA (LA)"
"41049","CMNO","ALEMANES (DE LOS)","RIO (EL)","ALTRITAR","*DISEMINADO*"
"702","CALLE","ALFARERIA","","LORCA","VIÑA (LA)"
"103","CALLE","ALFONSINA","","LORCA","PARROQUIAS ALTAS"
"418","CALLE","ALFONSO X EL SABIO","","LORCA","SAN MATEO"
