IdCentro,Centro,Direccion,Longitud,Latitud,Pedania,Web,Email,Telefono,Fax
"1","C.E.I.P  ALMENDRICOS.","C/ Trasvase  Nº 29","-1.77638411521912E+16","3.74695341272659E+16","Lorca","www.murciaeduca.es/cpdealmendricos","30003494@murciaeduca.es","968440107","968440107"
"2","C.E.I.P. ALFONSO GARCIA LOPEZ","Crta/  RM-D26  s/n","-1.67134881019592E+16","3.75774313586094E+16","Purias","www.murciaeduca.es/cpdepurias","30003822@murciaeduca.es","968482220","968482261"
"3","C.E.I.P. PETRA GONZALEZ","C/ Petra Gonzalez Nº 2","-1.83389604091644E+16","3.7868713224667E+15","La Paca","www.murciaeduca.es/cppetragonzalez","30003779@murciaeduca.es","968491023","968491023"
"4","C.E.I.P. VILLAESPESA","Cmno/ Villaespesa  s/n","-1.64493441581726E+16","3768281841025","Tercia","www.murciaeduca.es/cpvillaespesa","300039500@murciaeduca.es","968468556","968468556"
"5","C.E.I.P. TORRECILLA","Crta/ de Granada  s/n","-1.72550797462463E+16","3.76429090612429E+16","Torrecilla","www.murciaeduca.es/cptorrecilla.es","30008303@murciaeduca.es","968465505","968465505"
"6","C.C. CIUDAD DEL SOL","Cmno/ San Julián Viejo  s/n","-1.65715456008911E+16","3.76944155283608E+15","Tercia","www.colegiociudadelsol.com","coopccs@hotmail.com","968477687","968469492"
"7","C.E.I.P. NUESTRA SEÑORA DEL ROSARIO","C/ Las Librilleras s/n","-1.4545351266861E+16","3.75350194601699E+16","Ramonete","www.murciaeduca@ramonete.es","30003895@murciaeduca.es","968150500","968158060"
"8","C.E.I.P. SAN JUAN","C/ Morata  s/n","-1.49042308330536E+16","3.75887521405593E+15","Morata","www.murciaeduca/morata.es","30003706@murciaeduca.es","968130014",""
"9","C.E.I.P. LA ESCUCHA","Crta/ de PulpÍ  s/n","-1.69740378856659E+16","3.75447984940481E+16","Escucha","www.murciaeduca.es/cplaescucha","30003640@murciaeduca.es","968436379","968443214"
"10","C.E.I.P. NARCISO YEPES","Cmno/ Condomina s/n","-1.64333581924438E+16","3.76678092711879E+15","Marchena","www.murciaeduca.es/cpnarcisoyepes","30003691@murciaeduca.es","968.472.660       673.762.286","968477979"
"11","C.E.I.P. JUAN NAVARRO GARCIA","Cmn/ Escuelas Nuevas Nº 4","-1.58627986907959E+16","3.77134895962251E+15","La Hoya","www.colegiojuannavarro.es","30003676@murciaeduca.es","968481949","968481949"
"12","C.E.I.P. LA CAMPANA","C/ La Campana  s/n","-1.68386936187744E+16","3.76768915429778E+15","Escucha","www.murciaeduca.es/cplacampana","30003810@murciaeduca.es","968485695","968485695"
"13","C.E.I.P. VIRGEN DE LAS HUERTAS","Vereda Alta","-1.67760640382767E+16","3.76610378608719E+15","Cazalla","ceipvirgendelashuertas@blogspost.com","30003962@murcieduca.es","968468627","968468627"
"14","C.E.I.P. PASICO-CAMPILLO","Crta/ La Almenara  s/n","-1.6901296377182E+16","3.76494672520732E+15","Campillo","http://www.murciaeduca.es/cppasicocampillo/sitio/","30003561@murciaeduca.es        pasico3@gmail.com","968.467.958             968.464.104","968467958"
"17","C.R.A. GINES ARCAS ROMERA","Crta/ de Lorca  Nº 18","-1.8737804889679E+16","3.78411227326501E+15","Zarcilla de Ramos","www.murciaeduca.es/cralorca","300012458@murciaeduca.es","968499488","968499488"
"18","C.E.I.P. SAN MIGUEL","C/ Grupo Escolar  s/n","-1.70841962099075E+16","3.78803304157376E+16","Zarzadilla de Totana","www.murciaeduca.es/cralorca","300012458@murciaeduca.es","968494079",""
"19","C.E.I.P. ANDRES MANJON","Crta/ de Coy  s/n","-1.80078148841858E+15","3.79081792271776E+15","Avilés","www.murciaeduca.es/cralorca","300012458@murciaeduca.es","968491407",""
"20","C.E.I.P. VIRGEN DEL ROSARIO","C/ Consultorio s/n","-1.81294798851013E+16","3.79498153019163E+16","Coy","www.murciaeduca.es/cralorca","300012458@murciaeduca.es","968499022",""
"21","C.E.I.P. NUESTRA SEÑORA DE LA ASUNCIÓN","Paraje de la Fuensanta","-1.89719080924988E+15","3.77289180148179E+16","La Tova","www.murciaeduca.es/cralorca","300012458@murciaeduca.es","968495028",""
"22","C.E.I.P. SAN JOSE- EL CONSEJERO","Rambla del Cambrón   (El Consejero)","-1.69683570000007E+16","376735925","Lorca","www.murciaeduca.es/cralorca","300012458@murciaeduca.es","968439193","968439193"
