idconcejalia,concejalia,telefono,fax,email,web,horario,ubicada,direccion,longitud,latitud,nombreconcejal,biografia,foto,cargo
"30","Concejalía de Plazas y Mercados","","","","","","Oficina Municipal del Consumidor (OMIC)","C/ Carmen Ayala Gabarrón nº3 Bajo","-1.69598466826596","37.6787724613466","María del Carmen Ruiz Jódar","Nace en Lorca el día 1 de junio de 1.981. Está casada y tiene dos hijas. 
Estudia enfermería en la Universidad de Murcia, profesión que ha ejercicido en el Area III de Salud hasta 2.007 en que es nombrada Concejal del Excmo. Ayuntamiento de Lorca. 
Asumió durante la legislatura 2.007-2.011 la Concejalía de Política del Mayor y ONG´s, estando actualmente al frente de la Concejalía del Mayor y Servicios Sociales. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20mari%20carmen%20[min].jpg","Teniente de Alcalde"
"29","Concejalía de Comercio y Artesanía","","","","","","Centro regional de artesanía","C/ Lope Gisbert","-1.69779381824651","37.6747389662682","María del Carmen Ruiz Jódar","Nace en Lorca el día 1 de junio de 1.981. Está casada y tiene dos hijas. 
Estudia enfermería en la Universidad de Murcia, profesión que ha ejercicido en el Area III de Salud hasta 2.007 en que es nombrada Concejal del Excmo. Ayuntamiento de Lorca. 
Asumió durante la legislatura 2.007-2.011 la Concejalía de Política del Mayor y ONG´s, estando actualmente al frente de la Concejalía del Mayor y Servicios Sociales. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20mari%20carmen%20[min].jpg","Teniente de Alcalde"
"14","Concejalía de Sanidad y Consumo","968466542","968442466","sanidad.consumo@lorca.es","http://www.sanidadyconsumo.lorca.es/","","Oficina Municipal del Consumidor (OMIC)","C/ Carmen Ayala Gabarrón nº3 Bajo","-1.69598466826596","37.6787724613466","María del Carmen Ruiz Jódar","Nace en Lorca el día 1 de junio de 1.981. Está casada y tiene dos hijas. 
Estudia enfermería en la Universidad de Murcia, profesión que ha ejercicido en el Area III de Salud hasta 2.007 en que es nombrada Concejal del Excmo. Ayuntamiento de Lorca. 
Asumió durante la legislatura 2.007-2.011 la Concejalía de Política del Mayor y ONG´s, estando actualmente al frente de la Concejalía del Mayor y Servicios Sociales. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20mari%20carmen%20[min].jpg","Teniente de Alcalde"
"13","Concejalía de Sociedad de la Información y Transparencia","968499715","968479715","sociedaddelainformacion@lorca.es","http://www.sociedaddelainformacion.lorca.es/","","Oficina de Sociedad de la Información","C/ Santiago 10 bajo","-1.69861457420507","37.6769043435184","Francisco José García García","Nace en Murcia el 25 de enero de 1.974. Está casado. 
Licenciado en Derecho por la Universidad de Murcia en 1999, abogado colegiado en el Ilustre Colegio de Abogados de Lorca desde el año 2000; actualmente colegiado no ejerciente. 
Es Master en Estudios Urbanísticos e Inmobiliarios por ENAE (año 1999/2000), Master en Investigación Avanzada y Especializada en Derecho por la Universidad de Murcia (2012) y Doctorando en Derecho Internacional Público por la Universidad de Murcia. 
Desde el año 2.007 es Concejal del Ayuntamiento de Lorca y Teniente de Alcalde, ostentando en la actualidad las delegaciones de Urbanismo, Desarrollo Sostenible, Contratación, Patrimonio y Sociedad de la Información.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20paco%20garcia%20[min].jpg","Teniente de Alcalde"
"111","Concejalía de Patrimonio y Estadística","","","","","","Archivo Municipal","Casa de los Alburquerque (C/ Selgas, nº 8)","-1.70036605669179","37.6761337312107","Francisco José García García","Nace en Murcia el 25 de enero de 1.974. Está casado. 
Licenciado en Derecho por la Universidad de Murcia en 1999, abogado colegiado en el Ilustre Colegio de Abogados de Lorca desde el año 2000; actualmente colegiado no ejerciente. 
Es Master en Estudios Urbanísticos e Inmobiliarios por ENAE (año 1999/2000), Master en Investigación Avanzada y Especializada en Derecho por la Universidad de Murcia (2012) y Doctorando en Derecho Internacional Público por la Universidad de Murcia. 
Desde el año 2.007 es Concejal del Ayuntamiento de Lorca y Teniente de Alcalde, ostentando en la actualidad las delegaciones de Urbanismo, Desarrollo Sostenible, Contratación, Patrimonio y Sociedad de la Información.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20paco%20garcia%20[min].jpg","Teniente de Alcalde"
"33","Concejalía de Movilidad urbana","","","movilidad@lorca.es","http://movilidad.lorca.es/","","Centro Integral de Seguridad Ciudadana","Avda. alcalde José López Fuentes","-1.69938005608276","37.657982574535","Belén Pérez Martínez","Nacida en Lorca el 26 de febrero de 1.973. Está casada y tiene una hija. 
Es licenciada en Derecho por la Universidad de Murcia y abogada. 
Es Concejal del Ayuntamiento de Lorca desde el año 2.007, siendo en la actualidad Teniente de Alcalde y Concejal Delegada de Seguridad y Movilidad Urbana.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20belen%20perez%20[min].jpg","Teniente de Alcalde"
"5","Concejalía de Personal y Régimen Interior","968479739","","","","","Ayuntamiento de Lorca","Plaza de España s/n","-1.69980011058965","37.6764882563243","Belén Pérez Martínez","Nacida en Lorca el 26 de febrero de 1.973. Está casada y tiene una hija. 
Es licenciada en Derecho por la Universidad de Murcia y abogada. 
Es Concejal del Ayuntamiento de Lorca desde el año 2.007, siendo en la actualidad Teniente de Alcalde y Concejal Delegada de Seguridad y Movilidad Urbana.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20belen%20perez%20[min].jpg","Teniente de Alcalde"
"21","Concejalía de Seguridad Ciudadana y Tráfico","968477323","968443398","policialocal@lorca.es","http://www.policialocal.lorca.es/","","Centro Integral de Seguridad Ciudadana","Avda. alcalde José López Fuentes","-1.69938005608276","37.657982574535","Belén Pérez Martínez","Nacida en Lorca el 26 de febrero de 1.973. Está casada y tiene una hija. 
Es licenciada en Derecho por la Universidad de Murcia y abogada. 
Es Concejal del Ayuntamiento de Lorca desde el año 2.007, siendo en la actualidad Teniente de Alcalde y Concejal Delegada de Seguridad y Movilidad Urbana.","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20belen%20perez%20[min].jpg","Teniente de Alcalde"
"15","Concejalía de Agricultura, Ganadería, Desarrollo Rural y Agua","968479719","","","","","Archivo Municipal","Casa de los Alburquerque (C/ Selgas, nº 8)","-1.70036605669179","37.6761337312107","Ángel Ramón Meca Ruzafa","Nacido en Lorca el 2 agosto 1.971. Está casado y tiene 4 hijos. 
Agricultor a título principal de una explotación agrícola y cooperativista. 
Vicepresidente del Consejo Rector de Agroter. 
Es Concejal del Excmo. Ayuntamiento de Lorca desde el año 2.007, siendo en la actualidad Teniente de Alcalde y Concejal Delegado de Agricultura, Política Rural y Obras y Servicios. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20angel%20meca%20[min].jpg","Teniente de Alcalde"
"3","Concejalía de Fomento e Infraestructuras","968477999","","","","","Archivo Municipal","Casa de los Alburquerque (C/ Selgas, nº 8)","-1.70036605669179","37.6761337312107","Ángel Ramón Meca Ruzafa","Nacido en Lorca el 2 agosto 1.971. Está casado y tiene 4 hijos. 
Agricultor a título principal de una explotación agrícola y cooperativista. 
Vicepresidente del Consejo Rector de Agroter. 
Es Concejal del Excmo. Ayuntamiento de Lorca desde el año 2.007, siendo en la actualidad Teniente de Alcalde y Concejal Delegado de Agricultura, Política Rural y Obras y Servicios. 
","http://www.lorca.es//ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20angel%20meca%20[min].jpg","Teniente de Alcalde"
