idexpediente,objeto,Nombre,Precio,TipoContrato
"1/2017","OBRAS DE EMERGENCIA A REALIZAR EN CARRETERA DE ACCESO AL CASTILLO DE LORCA, TRAS LAS PRECIPITACIONES DE DICIEMBRE DE 2016.","HERMANOS GONZALEZ LUCAS S.A.","37980.4","Obras"
"2/2017","SUMINISTRO DE SEMÁFORO MOTIVADO POR EL CORTE DE EL TRAFICO EN CIRCUNVALACIÓN SUR DEL CASTILLO","SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS SA","1733.33","Suministros"
"3/2017","MANTENIMIENTO DE LA RED DE EQUIPOS DE TRANSMISIONES DE LA POLICÍA LOCAL PARA EL EJERCICIO DE 2017","TEINSA, S.L","9982.52","Servicios"
"4/2017","CONTRATO DEL SERVICIO DE SOPORTE TÉCNICO Y MANTENIMIENTO DE EUROCOP PARA LA POLICÍA LOCAL EN EL EJERCICIO 2017","EUROCOP SECURITY SYSTEMS S.L.","11035.2","Servicios"
"5/2017","SERVICIO DE MANUTENCIÓN A DETENIDOS EN DEPÓSITO CARCELARIO DE LA POLICÍA LOCAL EN EL EJERCICIO 2017","JUAN ANTONIO DIAZ SÁNCHEZ","1250","Servicios"
"6/2017","SERVICIO DE LAVANDERÍA REFERENTE A MATERIAL DE MENAJE EXISTENTE EN EL DEPÓSITO DE DETENIDOS DE LA POLICÍA LOCAL","ARADRA Y JODAR S.L.","250","Servicios"
"9/2017","SERVICIO DE ESTIMULACION GLOBAL EN EL CENTRO DE DESARROLLO INFANTIL Y ATENCION TEMPRANA DE LORCA","MARIA LUISA SEGURA MARTINEZ","5937.18","Servicios"
"10/2017","SERVICIO DE LOGOPEDA EN EL CENTRO DE DESARROLLO INFANTIL Y ATENCIÓN TEMPRANA DE LORCA","MARIA DOLORES LOPEZ ORTEGA","5937.18","Servicios"
"15/2017","EJECUCIÓN SUBSIDIARIA DE LAS  OBRAS INDICADAS EN EL EXPEDIENTE URBANÍSTICO OE-94/2015, EN INMUEBLE SITUADO EN CALLE BODEGONES Nº 240","HERMANOS GONZALEZ LUCAS S.A.","3750","Obras"
"19/2017","SERVICIO DE REALIZACIÓN DE TRABAJOS DE CAMPO Y FORMALIZACIÓN DE FICHAS, PARA ALTA DE CONSTRUCCIONES URBANAS , ASÍ COMO CONSTRUCCIONES INDISPENSABLES AGRICOLAS Y GANADERAS (RUSTICA)","INTOP SURESTE S.L.","21538","Servicios"
"20/2017","SUMINISTRO DE SEMÁFOROS PORTÁTILES PARA REGULAR TRÁFICO ALTERNATIVO EN LA CIRCUNVALACIÓN NORTE DEL CASTILLO Y PARADOR DE LORCA","SOCIEDAD IBERICA DE CONSTRUCCIONES ELECTRICAS SA","2611.05","Suministros"
