nombre,cargo,biografia,twitter,facebook,foto,idconcejal,idgrupo,grupo,logotipo,facebook1,twitter1,email,web
"Fulgencio Gil Jódar","Alcalde-Presidente","Nacido en Lorca el 23/11/1972 <br> Titulación: Licenciado en Derecho por el Centro de Estudios Superiores San Pablo C.E.U., adscrito a la Universidad Complutense de Madrid, Promoción 1.990- 1.995.  <br><br> Cursados los estudios de Doctorado en Derecho por la Universidad de Murcia, bienio 2.006-2.008, en la rama de Derecho Público, habiendo finalizado los dos cursos del periodo de docencia, consistentes en seminarios de Derecho Administrativo, Derecho Penal, Derecho Internacional Público y Derecho Procesal. Obtenida la suficiencia investigadora por la Universidad de Murcia en Diciembre de 2.008, y actualmente en proceso de elaboración de tesis doctoral en materia de Derecho Administrativo.  <br><br> Otros Títulos: <br> -. Diploma del Curso Práctico de Procedimientos Jurídicos, realizado del 17 de Octubre de 1.994 al 31 de Mayo de 1.995 en la Escuela de Práctica Jurídica del Centro de Estudios Superiores San Pablo C.E.U. <br> -. Diploma del Curso sobre el Nuevo Código Penal, organizado por la Escuela de Práctica Jurídica de Murcia y el Ilustre Colegio de Abogados de Lorca, celebrado en Lorca, en Junio de 1.996. <br> -. Diploma del Curso de negociación con proveedores, organizado por CECLOR, celebrado en Lorca en Noviembre de 1.998. <br> -. Diploma del Curso de gestión de impagados y prevención de la morosidad, impartido por la Agrupación Iniciativas Empresariales, en Madrid en Marzo de 1.998. <br> -. Diploma del Curso sobre la Ley Penal del Menor, celebrado por el Ilustre Colegio de Abogados de Lorca en colaboración con la Escuela de Práctica Jurídica de Murcia, en Febrero y Marzo de 2.001. <br>  -. Diploma del Curso sobre la Ley Reguladora de la Orden de Protección para las Víctimas de la Violencia Doméstica, organizado por el Instituto de la Mujer de la Región de Murcia en colaboración con el Ilustre Colegio de Abogados de Lorca, celebrado los días 25 y 26 de Enero de 2.005. <br>  -. Diploma del Curso de formación en materia de Extranjería, organizado por el Colegio de Abogados de Lorca en colaboración con la Escuela de Práctica Jurídica de la Universidad de Murcia, que constó de 20 horas lectivas, celebrado en Marzo de 2.005.  <br><br> 3.- IDIOMAS. <br> Inglés: Nivel alto. Hablado y escrito. Certificado del South Australian College of English de haber realizado el curso de doce semanas en dicho Centro, en la ciudad de Adelaida (Australia del Sur) alcanzando el nivel Upper Intermediate.  <br><br> 4.- EXPERIENCIA PROFESIONAL. <br> -. Estancia desde el 1 de Febrero al 24 de Mayo de 1.996 en la Mercantil Michell Leather Pty. Ltd. de Adelaida, Estado de Australia del Sur realizando trabajos propios de la dirección de una empresa de Curtidos. <br> -. Director Comercial y asesor jurídico de grupo familiar de empresas del sector del curtido de Lorca entre Junio de 1.996 y Junio de 2.007. <br> -. Abogado Colegiado del Ilustre Colegio de Abogados de Lorca con el número 676, desde Noviembre de 1.995. Adscrito a los turnos ordinarios civiles y penales, violencia de género, juicios rápidos y de Asistencia al detenido que presta dicho Colegio, desde el 1 de Julio de 1.996 y con despacho profesional abierto en Lorca, Cuesta de San Francisco nº 5, 2º Izda. -. Presidente de la Entidad Saneamiento del Curtido, S.A., (SACURSA) integrada por las 23 industrias de curtidos de Lorca, desde Mayo de 2.003 hasta Mayo de 2.007, llevando a cabo las negociaciones con las Administraciones Públicas y la empresa Aguas de Barcelona para la contratación y posterior operación y funcionamiento de la depuradora de aguas residuales industriales del sector, así como la asesoría jurídica y defensa procesal de dicha entidad. -. Actividad profesional como Abogado: Alto volumen de asuntos dirigidos, especialmente en materia mercantil, civil, penal y administrativa y contencioso-administrativa, habiendo litigado en todas las instancias procesales nacionales (Audiencias Provinciales de Murcia, Ciudad Real, Albacete y Alicante, Tribunal Supremo y Tribunal Constitucional). ","@Pencho_Gil","https://www.facebook.com/profile.php?id=100010644250806","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/PenchoGil.jpg","17","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"Francisco Félix Montiel Sánchez","Primer Teniente de Alcalde","Nace en Lorca el 24 de Agosto de 1.954, está casado y tiene 2 hijos. Es maestro en C.P. Pérez de Hita, en situación de servicios especiales. Es concejal del Excmo. Ayuntamiento de Lorca con dedicación exclusiva desde febrero de 2.005.  Desde el año 2.007 ocupa el cargo de Primer Teniente de Alcalde.","","","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20paco%20montiel%20[min].jpg","2","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"Francisco José García García","Teniente de Alcalde","Nace en Murcia el 25 de enero de 1.974. Está casado. Licenciado en Derecho por la Universidad de Murcia en 1999, abogado colegiado en el Ilustre Colegio de Abogados de Lorca desde el año 2000; actualmente colegiado no ejerciente. Es Master en Estudios Urbanísticos e Inmobiliarios por ENAE (año 1999/2000), Master en Investigación Avanzada y Especializada en Derecho por la Universidad de Murcia (2012) y Doctorando en Derecho Internacional Público por la Universidad de Murcia. Desde el año 2.007 es Concejal del Ayuntamiento de Lorca y Teniente de Alcalde.","","","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20paco%20garcia%20[min].jpg","5","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"Belén Pérez Martínez","Teniente de Alcalde","Nacida en Lorca el 26 de febrero de 1.973. Está casada y tiene una hija. Es licenciada en Derecho por la Universidad de Murcia y abogada. Es Concejal del Ayuntamiento de Lorca desde el año 2.007, siendo en la actualidad Teniente de Alcalde.","@m_belenperez","https://www.facebook.com/profile.php?id=100008663253911","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20belen%20perez%20[min].jpg","6","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"Ángel Ramón Meca Ruzafa","Teniente de Alcalde","Nacido en Lorca el 2 agosto 1.971. Está casado y tiene 4 hijos. Agricultor a título principal de una explotación agrícola y cooperativista. Vicepresidente del Consejo Rector de Agroter. Es Concejal del Excmo. Ayuntamiento de Lorca desde el año 2.007, siendo en la actualidad Teniente de Alcalde. ","@angelmeca1","https://www.facebook.com/angelramon.meca","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20angel%20meca%20[min].jpg","8","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"María del Carmen Ruiz Jódar","Teniente de Alcalde","Nace en Lorca el día 1 de junio de 1.981. Está casada y tiene dos hijas. Estudia enfermería en la Universidad de Murcia, profesión que ha ejercicido en el Area III de Salud hasta 2.007 en que es nombrada Concejal del Excmo. Ayuntamiento de Lorca. Asumió durante la legislatura 2.007-2.011 la Concejalía de Política del Mayor y ONG´s. ","","https://www.facebook.com/profile.php?id=100008776308869","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/1%20mari%20carmen%20[min].jpg","10","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"Sandra Martínez Navarro","Teniente de Alcalde","Nace en Lorca en 1.983.  Licenciada en Derecho por la Universidad de Murcia y Abogada Colegiada del Ilustre Colegio de Abogados de Lorca; actualmente no ejerciente. Inició su trayectoria profesional en el Sector Bancario.","","https://www.facebook.com/sandra.martineznavarro.9?lst=100003357923643%3A1176502495%3A1495608396","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/sandra.jpg","14","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"Saturnina Martínez Pérez","Teniente de Alcalde","Nacida en Lorca, en 1.956. Está casada y tiene dos hijas. Diplomada Universitaria por enfermería, profesión que ejerce hasta 2.011 en distintos ámbitos de la asistencia sanitaria. Master en Dirección y Gestión de Servicios Sanitarios por la Universidad de Barcelona. Ha desempeñado puestos de responsabilidad como Directora de los Hospitales del Altiplano, Morales Meseguer, Rafael Méndez y Área III de Salud. ","","","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/satur.jpg","16","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"Juan Francisco Martínez Carrasco","Teniente de Alcalde","Nacido en Lorca el 20 de Febrero de 1985<br><br> Licenciado en Ingeniería de Telecomunicación por la Universidad Alfonso X El Sabio (Madrid).<br><br> Certificación en la Ley 30/2007, de Contratos del Sector Público Facultad de Derecho en la Universidad de Zaragoza en 2010.<br><br> Titulación oficial de Cambridge ESOL Preliminary English en 2013.<br><br> Cursando actualmente Máster MBA de alta dirección empresarial en Escuela de Negocios de Murcia.","@juanframartinez","https://www.facebook.com/jfmc85","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/JFrancisco.jpg","19","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
"Agustín Llamas Gómez","Concejal","Nace en Lorca, 12 de Marzo de 1985. Ha sido Presidente del Consejo de la Juventud de Lorca durante los años 2006-2009 y del Consejo de la Juventud de la Región de Murcia desde el año 2.009 hasta el año 2.011 en que es nombrado Concejal del Ayuntamiento de Lorca. ","@agullamas","https://www.facebook.com/agustin.llamasgomez","http://www.lorca.es/ficheros/image/Ayuntamiento/corporacion%20Municipal/agustin.jpg","12","1","Grupo Municipal del Partipo Popular","http://www.lorca.es/ficheros/Image/Ayuntamiento/corporacion%20Municipal/logo-PP.jpg","https://www.facebook.com/pplorca","@PPLorca","populareslorca@gmail.com","http://www.ppmurcia.org/lorca/"
