tipo_servicio,servicio,telefono,fax,web,email,ubicado,direccion,localidad,provincia,cp,longitud,latitud
"Casa Consistorial","Tramitación e infracciones urbanísticas","34968479740","","http://www.lorca.es","","La Merced (Gerencia de Urbanismo)","Puente La Alberca s/n","Lorca","Murcia","30800","-1.69656134320417","37.679574888426"
"Casa Consistorial","Sanciones","34968479731","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Sala de prensa","34968479742","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Tesorería","34968479702","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Personal","34968479706","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Actas y asuntos generales","34968479710","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Intervención","34968479704","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Ayuntamiento","34968479700","34968466157","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Secretaría General","34968479708","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Servicio de Contratación","34968464911","968466062","http://www.lorca.es","","Archivo Municipal","Casa de los Alburquerque (C/ Selgas, nº 8)","Lorca","Murcia","30800","-1.70036605669179","37.6761337312107"
"Casa Consistorial","Informática","34968479715","","http://www.lorca.es","","Oficina de Sociedad de la Información","C/ Santiago 10 bajo","Lorca","Murcia","30800","-1.69861457420507","37.6769043435184"
"Casa Consistorial","Catastro","34968479737","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Alcaldía","34968466001","","http://www.lorca.es","","Ayuntamiento de Lorca","Plaza de España s/n","Lorca","Murcia","30800","-1.69980011058965","37.6764882563243"
"Casa Consistorial","Patrimonio","34968479725","34968479427","","","La Merced (Gerencia de Urbanismo)","Puente La Alberca s/n","Lorca","Murcia","30800","-1.69656134320417","37.679574888426"
"Empresas Municipales","LIMUSA Limpieza Municipal de Lorca, S.A.","34968467858","34968467887","http://www.limusa.es","buzon@limusa.es","LIMUSA","Óvalo de Santa Paula","Lorca","Murcia","30800","-1.69902763439336","37.6712062936258"
"Servicios al Consumidor","Oficina Municipal de Información al Consumidor (OMIC)","34968466542","34968442466","http://www.sanidadyconsumo.lorca.es","sanidadyconsumo@lorca.es","Oficina Municipal del Consumidor (OMIC)","C/ Carmen Ayala Gabarrón nº3 Bajo","Lorca","Murcia","30800","-1.69598466826596","37.6787724613466"
"Servicios culturales","Universidad Popular","34968460912","","http://www.culturayfestejos.lorca.es/universidadPopular/","universidadpopular@lorca.es","Universidad Popular","C/ Paso Blanco s/n","Lorca","Murcia","30800","-1.69638834072271","37.6788616203395"
