barrio,habitantes,km2,h_km2
"ANGELES (LOS)-APOLONIA","5057","0.331","15277.946"
"CORAZON DE MARIA","456","0.645","706.977"
"PARROQUIAS ALTAS","1470","0.141","10425.532"
"SAN ANTONIO","573","0.512","1119.141"
"SAN CRISTOBAL","14597","1.059","13783.758"
"SAN JOSE","12970","0.873","14856.816"
"SAN MATEO","9963","0.522","19086.207"
"SANTA QUITERIA","749","0.21","3566.667"
"SANTIAGO","5568","0.257","21665.37"
"SUTULLENA","4202","1.315","3195.437"
"VIÑA (LA)","4317","0.32","13490.625"
"VIRGEN DE LAS HUERTAS","1117","0.315","3546.032"
