edad,hombres_1,mujeres_1,hombres_2,mujeres_2
"0","326","312","164","120"
"1","394","370","167","139"
"2","396","343","211","167"
"3","345","404","192","172"
"4","363","387","165","170"
"5","391","385","200","186"
"6","392","394","189","182"
"7","398","350","207","143"
"8","411","379","184","186"
"9","410","424","180","171"
"10","439","308","171","180"
"11","395","319","181","193"
"12","376","368","173","151"
"13","401","336","164","168"
"14","396","379","174","150"
"15","354","374","172","168"
"16","401","336","168","174"
"17","319","327","181","174"
"18","363","345","204","173"
"19","368","324","187","185"
"20","344","347","194","175"
"21","357","348","185","154"
"22","353","337","178","182"
"23","368","330","181","190"
"24","381","352","193","175"
"25","390","380","167","194"
"26","379","407","188","192"
"27","443","357","190","188"
"28","390","339","227","197"
"29","368","379","211","200"
"30","415","401","215","189"
"31","419","390","220","171"
"32","425","399","219","189"
"33","431","432","256","177"
"34","514","444","257","198"
"35","581","502","297","230"
"36","610","451","311","212"
"37","704","508","278","250"
"38","664","535","326","236"
"39","668","546","285","249"
"40","678","522","313","230"
"41","675","518","341","229"
"42","698","518","344","248"
"43","594","532","300","225"
"44","625","474","294","245"
"45","547","514","261","268"
"46","555","467","259","246"
"47","560","476","255","242"
"48","508","440","271","220"
"49","482","465","282","201"
"50","499","476","280","246"
"51","483","446","243","203"
"52","477","431","262","214"
"53","463","438","237","232"
"54","414","388","211","226"
"55","400","386","219","193"
"56","360","336","206","211"
"57","311","331","230","189"
"58","324","337","219","197"
"59","321","294","185","155"
"60","277","323","180","180"
"61","281","246","189","172"
"62","224","266","176","186"
"63","225","223","165","164"
"64","230","233","198","163"
"65","228","246","174","174"
"66","217","256","172","181"
"67","178","207","171","148"
"68","199","221","195","174"
"69","195","238","164","193"
"70","200","190","159","184"
"71","173","222","171","200"
"72","175","188","162","162"
"73","142","166","147","150"
"74","154","183","111","132"
"75","100","142","96","137"
"76","117","155","122","154"
"77","146","174","160","162"
"78","69","106","83","86"
"79","97","163","101","126"
"80","104","146","106","112"
"81","93","153","106","132"
"82","85","151","99","108"
"83","77","150","95","135"
"84","86","133","78","104"
"85","65","122","67","102"
"86","55","99","63","104"
"87","64","100","52","80"
"88","35","93","36","54"
"89","41","90","51","57"
"90","26","49","22","64"
"91","23","70","21","43"
"92","14","41","21","42"
"93","14","33","11","35"
"94","9","14","5","12"
"95","13","17","7","16"
"96","3","12","10","6"
"97","1","11","2","5"
"98","2","6","2","4"
"99","0","5","1","4"
"100","0","0","0","3"
"101","0","2","0","0"
"102","1","0","0","1"
"103","2","0","1","0"
"104","0","1","0","0"
