edad,hombres,mujeres
"0","490","432"
"1","561","509"
"2","607","510"
"3","537","576"
"4","528","557"
"5","591","571"
"6","581","576"
"7","605","493"
"8","595","565"
"9","590","595"
"10","610","488"
"11","576","512"
"12","549","519"
"13","565","504"
"14","570","529"
"15","526","542"
"16","569","510"
"17","500","501"
"18","567","518"
"19","555","509"
"20","538","522"
"21","542","502"
"22","531","519"
"23","549","520"
"24","574","527"
"25","557","574"
"26","567","599"
"27","633","545"
"28","617","536"
"29","579","579"
"30","630","590"
"31","639","561"
"32","644","588"
"33","687","609"
"34","771","642"
"35","878","732"
"36","921","663"
"37","982","758"
"38","990","771"
"39","953","795"
"40","991","752"
"41","1016","747"
"42","1042","766"
"43","894","757"
"44","919","719"
"45","808","782"
"46","814","713"
"47","815","718"
"48","779","660"
"49","764","666"
"50","779","722"
"51","726","649"
"52","739","645"
"53","700","670"
"54","625","614"
"55","619","579"
"56","566","547"
"57","541","520"
"58","543","534"
"59","506","449"
"60","457","503"
"61","470","418"
"62","400","452"
"63","390","387"
"64","428","396"
"65","402","420"
"66","389","437"
"67","349","355"
"68","394","395"
"69","359","431"
"70","359","374"
"71","344","422"
"72","337","350"
"73","289","316"
"74","265","315"
"75","196","279"
"76","239","309"
"77","306","336"
"78","152","192"
"79","198","289"
"80","210","258"
"81","199","285"
"82","184","259"
"83","172","285"
"84","164","237"
"85","132","224"
"86","118","203"
"87","116","180"
"88","71","147"
"89","92","147"
"90","48","113"
"91","44","113"
"92","35","83"
"93","25","68"
"94","14","26"
"95","20","33"
"96","13","18"
"97","3","16"
"98","4","10"
"99","1","9"
"100","0","3"
"101","0","2"
"102","1","1"
"103","3","0"
"104","0","1"
